           m(kg)         x_cg(m)     Ixx(kg-m^2)     Iyy(kg-m^2)
          565.14            2.62           11.18          701.30
          564.72            2.62           11.17          700.92
          564.29            2.62           11.16          700.53
          563.87            2.62           11.16          700.14
          563.44            2.62           11.15          699.76
          563.01            2.62           11.14          699.37
          562.59            2.62           11.14          698.98
          562.16            2.62           11.13          698.60
          561.73            2.62           11.13          698.21
          561.30            2.62           11.12          697.82
          560.87            2.62           11.11          697.43
          560.44            2.62           11.11          697.04
          560.01            2.62           11.10          696.65
          559.58            2.62           11.09          696.26
          559.15            2.62           11.09          695.87
          558.72            2.62           11.08          695.48
          558.29            2.62           11.07          695.09
          557.86            2.62           11.07          694.70
          557.43            2.61           11.06          694.30
          556.99            2.61           11.05          693.91
          556.56            2.61           11.05          693.52
          556.13            2.61           11.04          693.12
          555.69            2.61           11.03          692.73
          555.26            2.61           11.03          692.34
          554.82            2.61           11.02          691.94
          554.39            2.61           11.01          691.55
          553.95            2.61           11.01          691.15
          553.52            2.61           11.00          690.76
          553.08            2.61           10.99          690.36
          552.64            2.61           10.99          689.96
          552.20            2.61           10.98          689.57
          551.77            2.61           10.97          689.17
          551.33            2.61           10.97          688.77
          550.89            2.61           10.96          688.37
          550.45            2.61           10.95          687.97
          550.01            2.61           10.95          687.57
          549.57            2.61           10.94          687.17
          549.13            2.61           10.93          686.77
          548.69            2.61           10.93          686.37
          548.24            2.61           10.92          685.97
          547.80            2.61           10.91          685.57
          547.36            2.60           10.91          685.17
          546.92            2.60           10.90          684.77
          546.47            2.60           10.89          684.37
          546.03            2.60           10.89          683.96
          545.58            2.60           10.88          683.56
          545.14            2.60           10.87          683.16
          544.69            2.60           10.86          682.75
          544.25            2.60           10.86          682.35
          543.80            2.60           10.85          681.94
          543.35            2.60           10.84          681.54
          542.91            2.60           10.84          681.13
          542.46            2.60           10.83          680.72
          542.01            2.60           10.82          680.32
          541.56            2.60           10.82          679.91
          541.11            2.60           10.81          679.50
          540.66            2.60           10.80          679.09
          540.21            2.60           10.80          678.69
          539.76            2.60           10.79          678.28
          539.31            2.60           10.78          677.87
          538.86            2.60           10.78          677.46
          538.41            2.60           10.77          677.05
          537.95            2.60           10.76          676.64
          537.50            2.59           10.76          676.23
          537.05            2.59           10.75          675.82
          536.59            2.59           10.74          675.40
          536.14            2.59           10.73          674.99
          535.68            2.59           10.73          674.58
          535.23            2.59           10.72          674.17
          534.77            2.59           10.71          673.75
          534.32            2.59           10.71          673.34
          533.86            2.59           10.70          672.92
          533.40            2.59           10.69          672.51
          532.95            2.59           10.69          672.09
          532.49            2.59           10.68          671.68
          532.03            2.59           10.67          671.26
          531.57            2.59           10.66          670.85
          531.11            2.59           10.66          670.43
          530.65            2.59           10.65          670.01
          530.19            2.59           10.64          669.59
          529.73            2.59           10.64          669.18
          529.27            2.59           10.63          668.76
          528.81            2.59           10.62          668.34
          528.34            2.59           10.62          667.92
          527.88            2.59           10.61          667.50
          527.42            2.58           10.60          667.08
          526.95            2.58           10.59          666.66
          526.49            2.58           10.59          666.24
          526.03            2.58           10.58          665.82
          525.56            2.58           10.57          665.40
          525.10            2.58           10.57          664.97
          524.63            2.58           10.56          664.55
          524.16            2.58           10.55          664.13
          523.70            2.58           10.54          663.70
          523.23            2.58           10.54          663.28
          522.76            2.58           10.53          662.86
          522.29            2.58           10.52          662.43
          521.82            2.58           10.52          662.01
          521.36            2.58           10.51          661.58
          520.89            2.58           10.50          661.15
          520.42            2.58           10.49          660.73
          519.95            2.58           10.49          660.30
          519.47            2.58           10.48          659.87
          519.00            2.58           10.47          659.45
          518.53            2.58           10.47          659.02
          518.06            2.58           10.46          658.59
          517.59            2.57           10.45          658.16
          517.11            2.57           10.44          657.73
          516.64            2.57           10.44          657.30
          516.16            2.57           10.43          656.87
          515.69            2.57           10.42          656.44
          515.21            2.57           10.41          656.01
          514.74            2.57           10.41          655.58
          514.26            2.57           10.40          655.15
          513.79            2.57           10.39          654.71
          513.31            2.57           10.39          654.28
          512.83            2.57           10.38          653.85
          512.36            2.57           10.37          653.42
          511.89            2.57           10.36          652.99
          511.42            2.57           10.36          652.57
          510.96            2.57           10.35          652.15
          510.49            2.57           10.34          651.72
          510.03            2.57           10.34          651.30
          509.57            2.57           10.33          650.89
          509.11            2.57           10.32          650.47
          508.65            2.57           10.31          650.05
          508.20            2.57           10.31          649.64
          507.74            2.56           10.30          649.23
          507.29            2.56           10.29          648.82
          506.84            2.56           10.29          648.42
          506.40            2.56           10.28          648.01
          505.95            2.56           10.27          647.61
          505.51            2.56           10.27          647.20
          505.07            2.56           10.26          646.80
          504.63            2.56           10.25          646.41
          504.19            2.56           10.25          646.01
          503.76            2.56           10.24          645.62
          503.33            2.56           10.23          645.22
          502.89            2.56           10.23          644.83
          502.47            2.56           10.22          644.44
          502.04            2.56           10.21          644.06
          501.61            2.56           10.21          643.67
          501.19            2.56           10.20          643.29
          500.77            2.56           10.19          642.91
          500.35            2.56           10.19          642.53
          499.94            2.56           10.18          642.15
          499.52            2.56           10.17          641.77
          499.11            2.56           10.17          641.40
          498.70            2.56           10.16          641.03
          498.29            2.56           10.16          640.66
          497.88            2.55           10.15          640.29
          497.48            2.55           10.14          639.92
          497.08            2.55           10.14          639.55
          496.67            2.55           10.13          639.19
          496.28            2.55           10.13          638.83
          495.88            2.55           10.12          638.47
          495.49            2.55           10.11          638.11
          495.09            2.55           10.11          637.76
          494.70            2.55           10.10          637.40
          494.31            2.55           10.10          637.05
          493.93            2.55           10.09          636.70
          493.54            2.55           10.08          636.35
          493.16            2.55           10.08          636.00
          492.78            2.55           10.07          635.66
          492.40            2.55           10.07          635.31
          492.02            2.55           10.06          634.97
          491.65            2.55           10.05          634.63
          491.28            2.55           10.05          634.29
          490.91            2.55           10.04          633.96
          490.54            2.55           10.04          633.62
          490.17            2.55           10.03          633.29
          489.81            2.55           10.03          632.96
          489.45            2.55           10.02          632.63
          489.09            2.55           10.02          632.31
          488.73            2.55           10.01          631.98
          488.37            2.55           10.00          631.66
          488.02            2.54           10.00          631.34
          487.66            2.54            9.99          631.02
          487.31            2.54            9.99          630.70
          486.97            2.54            9.98          630.38
          486.62            2.54            9.98          630.07
          486.28            2.54            9.97          629.76
          485.93            2.54            9.97          629.45
          485.59            2.54            9.96          629.14
          485.25            2.54            9.96          628.83
          484.92            2.54            9.95          628.53
          484.58            2.54            9.95          628.22
          484.25            2.54            9.94          627.92
          483.92            2.54            9.94          627.62
          483.59            2.54            9.93          627.32
          483.27            2.54            9.93          627.03
          482.94            2.54            9.92          626.73
          482.62            2.54            9.92          626.44
          482.30            2.54            9.91          626.15
          481.98            2.54            9.91          625.86
          481.67            2.54            9.90          625.58
          481.35            2.54            9.90          625.29
          481.04            2.54            9.89          625.01
          480.73            2.54            9.89          624.73
          480.42            2.54            9.88          624.45
          480.12            2.54            9.88          624.17
          479.81            2.54            9.87          623.89
          479.51            2.54            9.87          623.62
          479.21            2.54            9.86          623.35
          478.91            2.54            9.86          623.08
          478.62            2.54            9.86          622.81
          478.32            2.54            9.85          622.54
          478.03            2.53            9.85          622.28
          477.74            2.53            9.84          622.01
          477.45            2.53            9.84          621.75
          477.17            2.53            9.83          621.49
          476.88            2.53            9.83          621.23
          476.60            2.53            9.82          620.98
          476.32            2.53            9.82          620.72
          476.04            2.53            9.82          620.47
          475.77            2.53            9.81          620.22
          475.49            2.53            9.81          619.97
          475.22            2.53            9.80          619.73
          474.95            2.53            9.80          619.48
          474.68            2.53            9.79          619.23
          474.41            2.53            9.79          618.99
          474.14            2.53            9.79          618.75
          473.88            2.53            9.78          618.51
