           m(kg)         x_cg(m)     Ixx(kg-m^2)     Iyy(kg-m^2)
          426.36            2.48            9.06          575.40
          426.27            2.48            9.06          575.32
          426.19            2.48            9.05          575.25
          426.11            2.48            9.05          575.17
          426.02            2.48            9.05          575.09
          425.94            2.48            9.05          575.02
          425.85            2.48            9.05          574.94
          425.77            2.48            9.05          574.87
          425.68            2.48            9.05          574.79
          425.60            2.48            9.04          574.71
          425.52            2.48            9.04          574.64
          425.43            2.48            9.04          574.56
          425.35            2.48            9.04          574.48
          425.26            2.48            9.04          574.41
          425.18            2.48            9.04          574.33
          425.10            2.48            9.04          574.26
          425.01            2.48            9.04          574.18
          424.93            2.48            9.03          574.10
          424.84            2.48            9.03          574.03
          424.76            2.48            9.03          573.95
          424.68            2.48            9.03          573.87
          424.59            2.48            9.03          573.80
          424.51            2.48            9.03          573.72
          424.42            2.48            9.03          573.65
          424.34            2.48            9.03          573.57
          424.25            2.48            9.02          573.49
          424.17            2.48            9.02          573.42
          424.09            2.48            9.02          573.34
          424.00            2.48            9.02          573.26
          423.92            2.48            9.02          573.19
          423.83            2.48            9.02          573.11
          423.75            2.48            9.02          573.03
          423.67            2.48            9.02          572.96
          423.58            2.48            9.01          572.88
          423.50            2.48            9.01          572.81
          423.41            2.48            9.01          572.73
          423.33            2.48            9.01          572.65
          423.25            2.48            9.01          572.58
          423.16            2.48            9.01          572.50
          423.08            2.48            9.01          572.42
          422.99            2.48            9.01          572.35
          422.91            2.48            9.00          572.27
          422.82            2.48            9.00          572.20
          422.74            2.48            9.00          572.12
          422.66            2.48            9.00          572.04
          422.57            2.48            9.00          571.97
          422.49            2.48            9.00          571.89
          422.40            2.48            9.00          571.81
          422.32            2.48            8.99          571.74
          422.24            2.48            8.99          571.66
          422.15            2.48            8.99          571.58
          422.07            2.48            8.99          571.51
          421.98            2.48            8.99          571.43
          421.90            2.48            8.99          571.36
          421.82            2.48            8.99          571.28
          421.73            2.48            8.99          571.20
          421.65            2.48            8.98          571.13
          421.56            2.48            8.98          571.05
          421.48            2.48            8.98          570.97
          421.39            2.48            8.98          570.90
          421.31            2.48            8.98          570.82
          421.23            2.48            8.98          570.75
          421.14            2.48            8.98          570.67
          421.06            2.48            8.98          570.59
          420.97            2.48            8.97          570.52
          420.89            2.48            8.97          570.44
          420.81            2.48            8.97          570.36
          420.72            2.48            8.97          570.29
          420.64            2.48            8.97          570.21
          420.55            2.48            8.97          570.14
          420.47            2.48            8.97          570.06
          420.39            2.48            8.97          569.98
          420.30            2.48            8.96          569.91
          420.22            2.48            8.96          569.83
          420.13            2.48            8.96          569.75
          420.05            2.48            8.96          569.68
          419.97            2.48            8.96          569.60
          419.88            2.48            8.96          569.52
          419.80            2.48            8.96          569.45
          419.71            2.48            8.96          569.37
          419.63            2.48            8.95          569.30
          419.54            2.48            8.95          569.22
          419.46            2.48            8.95          569.14
          419.38            2.48            8.95          569.07
          419.29            2.48            8.95          568.99
          419.21            2.48            8.95          568.91
          419.12            2.48            8.95          568.84
          419.04            2.48            8.94          568.76
          418.96            2.48            8.94          568.69
          418.87            2.48            8.94          568.61
          418.79            2.48            8.94          568.53
          418.70            2.47            8.94          568.46
          418.62            2.47            8.94          568.38
          418.53            2.47            8.94          568.30
          418.45            2.47            8.94          568.23
          418.37            2.47            8.93          568.15
          418.28            2.47            8.93          568.07
          418.20            2.47            8.93          568.00
          418.11            2.47            8.93          567.92
          418.03            2.47            8.93          567.84
          417.94            2.47            8.93          567.77
          417.86            2.47            8.93          567.69
          417.77            2.47            8.93          567.61
          417.69            2.47            8.92          567.54
          417.61            2.47            8.92          567.46
          417.52            2.47            8.92          567.38
          417.44            2.47            8.92          567.31
          417.35            2.47            8.92          567.23
          417.27            2.47            8.92          567.15
          417.18            2.47            8.92          567.08
          417.10            2.47            8.92          567.00
          417.01            2.47            8.91          566.92
          416.93            2.47            8.91          566.85
          416.84            2.47            8.91          566.77
          416.76            2.47            8.91          566.69
          416.67            2.47            8.91          566.62
          416.59            2.47            8.91          566.54
          416.51            2.47            8.91          566.46
          416.42            2.47            8.90          566.39
          416.34            2.47            8.90          566.31
          416.25            2.47            8.90          566.23
          416.17            2.47            8.90          566.15
          416.08            2.47            8.90          566.08
          416.00            2.47            8.90          566.00
          415.91            2.47            8.90          565.92
          415.83            2.47            8.90          565.85
          415.74            2.47            8.89          565.77
          415.66            2.47            8.89          565.69
          415.57            2.47            8.89          565.61
          415.49            2.47            8.89          565.54
          415.40            2.47            8.89          565.46
          415.32            2.47            8.89          565.38
          415.23            2.47            8.89          565.31
          415.15            2.47            8.89          565.23
          415.06            2.47            8.88          565.15
          414.98            2.47            8.88          565.07
          414.89            2.47            8.88          565.00
          414.81            2.47            8.88          564.92
          414.72            2.47            8.88          564.84
          414.63            2.47            8.88          564.77
          414.55            2.47            8.88          564.69
          414.46            2.47            8.87          564.61
          414.38            2.47            8.87          564.53
          414.29            2.47            8.87          564.46
          414.21            2.47            8.87          564.38
          414.12            2.47            8.87          564.30
          414.04            2.47            8.87          564.22
          413.95            2.47            8.87          564.15
          413.87            2.47            8.87          564.07
          413.78            2.47            8.86          563.99
          413.70            2.47            8.86          563.91
          413.61            2.47            8.86          563.84
          413.52            2.47            8.86          563.76
          413.44            2.47            8.86          563.68
          413.35            2.47            8.86          563.60
          413.27            2.47            8.86          563.53
          413.18            2.47            8.86          563.45
          413.10            2.47            8.85          563.37
          413.01            2.47            8.85          563.29
          412.93            2.47            8.85          563.21
          412.84            2.47            8.85          563.14
          412.75            2.47            8.85          563.06
          412.67            2.47            8.85          562.98
          412.58            2.47            8.85          562.90
          412.50            2.47            8.84          562.83
          412.41            2.47            8.84          562.75
          412.33            2.47            8.84          562.67
          412.24            2.47            8.84          562.59
          412.15            2.47            8.84          562.51
          412.07            2.47            8.84          562.44
          411.98            2.47            8.84          562.36
          411.90            2.47            8.84          562.28
          411.81            2.47            8.83          562.20
          411.72            2.47            8.83          562.13
          411.64            2.47            8.83          562.05
          411.55            2.47            8.83          561.97
          411.47            2.47            8.83          561.89
          411.38            2.47            8.83          561.81
          411.29            2.47            8.83          561.74
          411.21            2.47            8.83          561.66
          411.12            2.47            8.82          561.58
          411.04            2.47            8.82          561.50
          410.95            2.47            8.82          561.42
          410.86            2.47            8.82          561.34
          410.78            2.47            8.82          561.27
          410.69            2.47            8.82          561.19
          410.61            2.47            8.82          561.11
          410.52            2.47            8.81          561.03
          410.43            2.47            8.81          560.95
          410.35            2.47            8.81          560.88
          410.26            2.47            8.81          560.80
          410.17            2.47            8.81          560.72
          410.09            2.47            8.81          560.64
          410.00            2.47            8.81          560.56
          409.91            2.47            8.81          560.48
          409.83            2.47            8.80          560.41
          409.74            2.47            8.80          560.33
          409.66            2.47            8.80          560.25
          409.57            2.47            8.80          560.17
          409.48            2.47            8.80          560.09
          409.40            2.47            8.80          560.01
          409.31            2.47            8.80          559.93
          409.22            2.47            8.79          559.86
          409.14            2.47            8.79          559.78
          409.05            2.47            8.79          559.70
          408.96            2.47            8.79          559.62
          408.88            2.47            8.79          559.54
          408.79            2.46            8.79          559.46
          408.70            2.46            8.79          559.38
          408.62            2.46            8.79          559.31
          408.53            2.46            8.78          559.23
          408.44            2.46            8.78          559.15
          408.36            2.46            8.78          559.07
          408.27            2.46            8.78          558.99
          408.18            2.46            8.78          558.91
          408.10            2.46            8.78          558.83
          408.01            2.46            8.78          558.76
          407.92            2.46            8.77          558.68
          407.84            2.46            8.77          558.60
          407.75            2.46            8.77          558.52
          407.66            2.46            8.77          558.44
          407.58            2.46            8.77          558.36
          407.49            2.46            8.77          558.28
          407.40            2.46            8.77          558.20
          407.31            2.46            8.77          558.12
          407.23            2.46            8.76          558.05
          407.14            2.46            8.76          557.97
          407.05            2.46            8.76          557.89
          406.97            2.46            8.76          557.81
          406.88            2.46            8.76          557.73
          406.79            2.46            8.76          557.65
          406.70            2.46            8.76          557.57
          406.62            2.46            8.75          557.49
          406.53            2.46            8.75          557.41
          406.44            2.46            8.75          557.33
          406.36            2.46            8.75          557.26
          406.27            2.46            8.75          557.18
          406.18            2.46            8.75          557.10
          406.09            2.46            8.75          557.02
          406.01            2.46            8.75          556.94
          405.92            2.46            8.74          556.86
          405.83            2.46            8.74          556.78
          405.75            2.46            8.74          556.70
          405.66            2.46            8.74          556.62
          405.57            2.46            8.74          556.54
          405.48            2.46            8.74          556.46
          405.40            2.46            8.74          556.38
          405.31            2.46            8.73          556.30
          405.22            2.46            8.73          556.23
          405.13            2.46            8.73          556.15
          405.05            2.46            8.73          556.07
          404.96            2.46            8.73          555.99
          404.87            2.46            8.73          555.91
          404.78            2.46            8.73          555.83
          404.70            2.46            8.73          555.75
          404.61            2.46            8.72          555.67
          404.52            2.46            8.72          555.59
          404.43            2.46            8.72          555.51
          404.34            2.46            8.72          555.43
          404.26            2.46            8.72          555.35
          404.17            2.46            8.72          555.27
          404.08            2.46            8.72          555.19
          403.99            2.46            8.71          555.11
          403.91            2.46            8.71          555.03
          403.82            2.46            8.71          554.95
          403.73            2.46            8.71          554.87
          403.64            2.46            8.71          554.79
          403.55            2.46            8.71          554.71
          403.47            2.46            8.71          554.63
          403.38            2.46            8.71          554.55
          403.29            2.46            8.70          554.47
          403.20            2.46            8.70          554.39
          403.11            2.46            8.70          554.31
          403.03            2.46            8.70          554.24
          402.94            2.46            8.70          554.16
          402.85            2.46            8.70          554.08
          402.76            2.46            8.70          554.00
          402.67            2.46            8.69          553.92
          402.59            2.46            8.69          553.84
          402.50            2.46            8.69          553.76
          402.41            2.46            8.69          553.68
          402.32            2.46            8.69          553.60
          402.23            2.46            8.69          553.52
          402.15            2.46            8.69          553.44
          402.06            2.46            8.69          553.36
          401.97            2.46            8.68          553.28
          401.88            2.46            8.68          553.20
          401.79            2.46            8.68          553.12
          401.70            2.46            8.68          553.04
          401.62            2.46            8.68          552.96
          401.53            2.46            8.68          552.88
          401.44            2.46            8.68          552.80
          401.35            2.46            8.67          552.72
          401.26            2.46            8.67          552.64
          401.18            2.46            8.67          552.56
          401.09            2.46            8.67          552.47
          401.00            2.46            8.67          552.39
          400.91            2.46            8.67          552.31
          400.82            2.46            8.67          552.23
          400.73            2.46            8.66          552.15
          400.64            2.46            8.66          552.07
          400.56            2.46            8.66          551.99
          400.47            2.46            8.66          551.91
          400.38            2.46            8.66          551.83
          400.29            2.46            8.66          551.75
          400.20            2.46            8.66          551.67
          400.11            2.46            8.66          551.59
          400.03            2.46            8.65          551.51
          399.94            2.46            8.65          551.43
          399.85            2.46            8.65          551.35
          399.76            2.46            8.65          551.27
          399.67            2.46            8.65          551.19
          399.58            2.46            8.65          551.11
          399.50            2.46            8.65          551.03
          399.41            2.46            8.64          550.95
          399.32            2.46            8.64          550.87
          399.23            2.46            8.64          550.79
          399.14            2.46            8.64          550.71
          399.05            2.46            8.64          550.63
          398.96            2.46            8.64          550.55
          398.88            2.45            8.64          550.47
          398.79            2.45            8.64          550.39
          398.70            2.45            8.63          550.31
          398.61            2.45            8.63          550.23
          398.52            2.45            8.63          550.15
          398.43            2.45            8.63          550.07
          398.34            2.45            8.63          549.99
          398.25            2.45            8.63          549.91
          398.17            2.45            8.63          549.83
          398.08            2.45            8.62          549.75
          397.99            2.45            8.62          549.66
          397.90            2.45            8.62          549.58
          397.81            2.45            8.62          549.50
          397.72            2.45            8.62          549.42
          397.63            2.45            8.62          549.34
          397.55            2.45            8.62          549.26
          397.46            2.45            8.61          549.18
          397.37            2.45            8.61          549.10
          397.28            2.45            8.61          549.02
          397.19            2.45            8.61          548.94
          397.10            2.45            8.61          548.86
          397.01            2.45            8.61          548.78
          396.92            2.45            8.61          548.70
          396.84            2.45            8.61          548.62
          396.75            2.45            8.60          548.54
          396.66            2.45            8.60          548.46
          396.57            2.45            8.60          548.38
          396.48            2.45            8.60          548.30
          396.39            2.45            8.60          548.21
          396.30            2.45            8.60          548.13
          396.21            2.45            8.60          548.05
          396.12            2.45            8.59          547.97
          396.04            2.45            8.59          547.89
          395.95            2.45            8.59          547.81
          395.86            2.45            8.59          547.73
          395.77            2.45            8.59          547.65
          395.68            2.45            8.59          547.57
          395.59            2.45            8.59          547.49
          395.50            2.45            8.59          547.41
          395.41            2.45            8.58          547.33
          395.32            2.45            8.58          547.25
          395.23            2.45            8.58          547.17
          395.15            2.45            8.58          547.09
          395.06            2.45            8.58          547.00
          394.97            2.45            8.58          546.92
          394.88            2.45            8.58          546.84
          394.79            2.45            8.57          546.76
          394.70            2.45            8.57          546.68
          394.61            2.45            8.57          546.60
          394.52            2.45            8.57          546.52
          394.43            2.45            8.57          546.44
          394.34            2.45            8.57          546.36
          394.25            2.45            8.57          546.28
          394.17            2.45            8.56          546.20
          394.08            2.45            8.56          546.12
          393.99            2.45            8.56          546.03
          393.90            2.45            8.56          545.95
          393.81            2.45            8.56          545.87
          393.72            2.45            8.56          545.79
          393.63            2.45            8.56          545.71
          393.54            2.45            8.56          545.63
          393.45            2.45            8.55          545.55
          393.36            2.45            8.55          545.47
          393.27            2.45            8.55          545.39
          393.18            2.45            8.55          545.31
          393.10            2.45            8.55          545.23
          393.01            2.45            8.55          545.14
          392.92            2.45            8.55          545.06
          392.83            2.45            8.54          544.98
          392.74            2.45            8.54          544.90
          392.65            2.45            8.54          544.82
          392.56            2.45            8.54          544.74
          392.47            2.45            8.54          544.66
          392.38            2.45            8.54          544.58
          392.29            2.45            8.54          544.50
          392.20            2.45            8.53          544.41
          392.11            2.45            8.53          544.33
          392.02            2.45            8.53          544.25
          391.93            2.45            8.53          544.17
          391.84            2.45            8.53          544.09
          391.75            2.45            8.53          544.01
          391.66            2.45            8.53          543.93
          391.57            2.45            8.53          543.85
          391.49            2.45            8.52          543.76
          391.40            2.45            8.52          543.68
          391.31            2.45            8.52          543.60
          391.22            2.45            8.52          543.52
          391.13            2.45            8.52          543.44
          391.04            2.45            8.52          543.36
          390.95            2.45            8.52          543.28
          390.86            2.45            8.51          543.19
          390.77            2.45            8.51          543.11
          390.68            2.45            8.51          543.03
          390.59            2.45            8.51          542.95
          390.50            2.45            8.51          542.87
          390.41            2.45            8.51          542.79
          390.32            2.45            8.51          542.71
          390.23            2.45            8.50          542.62
          390.14            2.45            8.50          542.54
          390.05            2.45            8.50          542.46
          389.96            2.45            8.50          542.38
          389.87            2.45            8.50          542.30
          389.78            2.45            8.50          542.22
          389.69            2.45            8.50          542.13
          389.60            2.45            8.49          542.05
          389.51            2.45            8.49          541.97
          389.42            2.45            8.49          541.89
          389.33            2.45            8.49          541.81
          389.24            2.45            8.49          541.73
          389.15            2.45            8.49          541.64
          389.06            2.45            8.49          541.56
          388.97            2.44            8.49          541.48
          388.88            2.44            8.48          541.40
          388.79            2.44            8.48          541.32
          388.70            2.44            8.48          541.23
          388.61            2.44            8.48          541.15
          388.52            2.44            8.48          541.07
          388.43            2.44            8.48          540.99
          388.34            2.44            8.48          540.91
          388.24            2.44            8.47          540.83
          388.15            2.44            8.47          540.74
          388.06            2.44            8.47          540.66
          387.97            2.44            8.47          540.58
          387.88            2.44            8.47          540.50
          387.79            2.44            8.47          540.41
          387.70            2.44            8.47          540.33
          387.61            2.44            8.46          540.25
          387.52            2.44            8.46          540.17
          387.43            2.44            8.46          540.09
          387.34            2.44            8.46          540.00
          387.25            2.44            8.46          539.92
          387.16            2.44            8.46          539.84
          387.07            2.44            8.46          539.76
          386.98            2.44            8.45          539.68
          386.89            2.44            8.45          539.59
          386.80            2.44            8.45          539.51
          386.71            2.44            8.45          539.43
          386.61            2.44            8.45          539.35
          386.52            2.44            8.45          539.26
          386.43            2.44            8.45          539.18
          386.34            2.44            8.45          539.10
          386.25            2.44            8.44          539.02
          386.16            2.44            8.44          538.93
          386.07            2.44            8.44          538.85
          385.98            2.44            8.44          538.77
          385.89            2.44            8.44          538.69
          385.80            2.44            8.44          538.60
          385.71            2.44            8.44          538.52
          385.62            2.44            8.43          538.44
          385.52            2.44            8.43          538.36
          385.43            2.44            8.43          538.27
          385.34            2.44            8.43          538.19
          385.25            2.44            8.43          538.11
          385.16            2.44            8.43          538.03
          385.07            2.44            8.43          537.94
          384.98            2.44            8.42          537.86
          384.89            2.44            8.42          537.78
          384.80            2.44            8.42          537.70
          384.70            2.44            8.42          537.61
          384.61            2.44            8.42          537.53
          384.52            2.44            8.42          537.45
          384.43            2.44            8.42          537.37
          384.34            2.44            8.41          537.28
          384.25            2.44            8.41          537.20
          384.16            2.44            8.41          537.12
          384.07            2.44            8.41          537.03
          383.97            2.44            8.41          536.95
          383.88            2.44            8.41          536.87
          383.79            2.44            8.41          536.79
          383.70            2.44            8.40          536.70
          383.61            2.44            8.40          536.62
          383.52            2.44            8.40          536.54
          383.43            2.44            8.40          536.45
          383.34            2.44            8.40          536.37
          383.24            2.44            8.40          536.29
          383.15            2.44            8.40          536.21
          383.06            2.44            8.39          536.12
          382.97            2.44            8.39          536.04
          382.88            2.44            8.39          535.96
          382.79            2.44            8.39          535.87
          382.70            2.44            8.39          535.79
          382.60            2.44            8.39          535.71
          382.51            2.44            8.39          535.62
          382.42            2.44            8.39          535.54
          382.33            2.44            8.38          535.46
          382.24            2.44            8.38          535.38
          382.15            2.44            8.38          535.29
          382.05            2.44            8.38          535.21
          381.96            2.44            8.38          535.13
          381.87            2.44            8.38          535.04
          381.78            2.44            8.38          534.96
          381.69            2.44            8.37          534.88
          381.60            2.44            8.37          534.79
          381.51            2.44            8.37          534.71
          381.41            2.44            8.37          534.63
          381.32            2.44            8.37          534.54
          381.23            2.44            8.37          534.46
          381.14            2.44            8.37          534.38
          381.05            2.44            8.36          534.30
          380.96            2.44            8.36          534.21
          380.86            2.44            8.36          534.13
          380.77            2.44            8.36          534.05
          380.68            2.44            8.36          533.96
          380.59            2.44            8.36          533.88
          380.50            2.44            8.36          533.80
          380.41            2.44            8.35          533.71
          380.31            2.44            8.35          533.63
          380.22            2.44            8.35          533.55
          380.13            2.44            8.35          533.46
          380.04            2.44            8.35          533.38
          379.95            2.44            8.35          533.30
          379.85            2.44            8.35          533.21
          379.76            2.44            8.34          533.13
          379.67            2.44            8.34          533.05
          379.58            2.44            8.34          532.96
          379.49            2.44            8.34          532.88
          379.40            2.44            8.34          532.80
          379.30            2.44            8.34          532.71
          379.21            2.44            8.34          532.63
          379.12            2.44            8.33          532.55
          379.03            2.43            8.33          532.46
          378.94            2.43            8.33          532.38
          378.84            2.43            8.33          532.30
          378.75            2.43            8.33          532.21
          378.66            2.43            8.33          532.13
          378.57            2.43            8.33          532.05
          378.48            2.43            8.32          531.96
          378.39            2.43            8.32          531.88
          378.29            2.43            8.32          531.80
          378.20            2.43            8.32          531.71
          378.11            2.43            8.32          531.63
          378.02            2.43            8.32          531.55
          377.93            2.43            8.32          531.46
          377.83            2.43            8.32          531.38
          377.74            2.43            8.31          531.30
          377.65            2.43            8.31          531.21
          377.56            2.43            8.31          531.13
          377.47            2.43            8.31          531.05
          377.37            2.43            8.31          530.96
          377.28            2.43            8.31          530.88
          377.19            2.43            8.31          530.80
          377.10            2.43            8.30          530.71
          377.00            2.43            8.30          530.63
          376.91            2.43            8.30          530.54
          376.82            2.43            8.30          530.46
          376.73            2.43            8.30          530.38
          376.64            2.43            8.30          530.29
          376.54            2.43            8.30          530.21
          376.45            2.43            8.29          530.13
          376.36            2.43            8.29          530.04
          376.27            2.43            8.29          529.96
          376.18            2.43            8.29          529.88
          376.08            2.43            8.29          529.79
          375.99            2.43            8.29          529.71
          375.90            2.43            8.29          529.63
          375.81            2.43            8.28          529.54
          375.71            2.43            8.28          529.46
          375.62            2.43            8.28          529.37
          375.53            2.43            8.28          529.29
          375.44            2.43            8.28          529.21
          375.35            2.43            8.28          529.12
          375.25            2.43            8.28          529.04
          375.16            2.43            8.27          528.96
          375.07            2.43            8.27          528.87
          374.98            2.43            8.27          528.79
          374.88            2.43            8.27          528.70
          374.79            2.43            8.27          528.62
          374.70            2.43            8.27          528.54
          374.61            2.43            8.27          528.45
          374.51            2.43            8.26          528.37
          374.42            2.43            8.26          528.28
          374.33            2.43            8.26          528.20
          374.24            2.43            8.26          528.12
          374.14            2.43            8.26          528.03
          374.05            2.43            8.26          527.95
          373.96            2.43            8.26          527.87
          373.87            2.43            8.25          527.78
          373.77            2.43            8.25          527.70
          373.68            2.43            8.25          527.61
          373.59            2.43            8.25          527.53
          373.50            2.43            8.25          527.44
          373.40            2.43            8.25          527.36
          373.31            2.43            8.25          527.28
          373.22            2.43            8.24          527.19
          373.12            2.43            8.24          527.11
          373.03            2.43            8.24          527.02
          372.94            2.43            8.24          526.94
          372.84            2.43            8.24          526.85
          372.75            2.43            8.24          526.77
          372.66            2.43            8.24          526.69
          372.57            2.43            8.23          526.60
          372.47            2.43            8.23          526.52
          372.38            2.43            8.23          526.43
          372.29            2.43            8.23          526.35
          372.19            2.43            8.23          526.26
          372.10            2.43            8.23          526.18
          372.01            2.43            8.23          526.09
          371.91            2.43            8.22          526.01
          371.82            2.43            8.22          525.92
          371.73            2.43            8.22          525.84
          371.63            2.43            8.22          525.75
          371.54            2.43            8.22          525.67
          371.45            2.43            8.22          525.58
          371.35            2.43            8.22          525.50
          371.26            2.43            8.21          525.42
          371.16            2.43            8.21          525.33
          371.07            2.43            8.21          525.25
          370.98            2.43            8.21          525.16
          370.88            2.43            8.21          525.08
          370.79            2.43            8.21          524.99
          370.70            2.43            8.21          524.91
          370.60            2.43            8.20          524.82
          370.51            2.43            8.20          524.74
          370.42            2.43            8.20          524.65
          370.32            2.43            8.20          524.57
          370.23            2.43            8.20          524.48
          370.13            2.43            8.20          524.39
          370.04            2.43            8.20          524.31
          369.95            2.43            8.19          524.22
          369.85            2.43            8.19          524.14
          369.76            2.43            8.19          524.05
          369.66            2.43            8.19          523.97
          369.57            2.43            8.19          523.88
          369.48            2.43            8.19          523.80
          369.38            2.43            8.19          523.71
          369.29            2.43            8.18          523.63
          369.19            2.43            8.18          523.54
          369.10            2.42            8.18          523.46
          369.00            2.42            8.18          523.37
          368.91            2.42            8.18          523.28
          368.82            2.42            8.18          523.20
          368.72            2.42            8.18          523.11
          368.63            2.42            8.17          523.03
          368.53            2.42            8.17          522.94
          368.44            2.42            8.17          522.86
          368.34            2.42            8.17          522.77
          368.25            2.42            8.17          522.68
          368.15            2.42            8.17          522.60
          368.06            2.42            8.17          522.51
          367.96            2.42            8.16          522.43
          367.87            2.42            8.16          522.34
          367.78            2.42            8.16          522.26
          367.68            2.42            8.16          522.17
          367.59            2.42            8.16          522.08
          367.49            2.42            8.16          522.00
          367.40            2.42            8.16          521.91
          367.30            2.42            8.15          521.83
          367.21            2.42            8.15          521.74
          367.11            2.42            8.15          521.65
          367.02            2.42            8.15          521.57
          366.92            2.42            8.15          521.48
          366.83            2.42            8.15          521.40
          366.73            2.42            8.15          521.31
          366.64            2.42            8.14          521.22
          366.54            2.42            8.14          521.14
          366.45            2.42            8.14          521.05
          366.35            2.42            8.14          520.96
          366.26            2.42            8.14          520.88
          366.16            2.42            8.14          520.79
          366.07            2.42            8.14          520.70
          365.97            2.42            8.13          520.62
          365.88            2.42            8.13          520.53
          365.78            2.42            8.13          520.45
          365.68            2.42            8.13          520.36
          365.59            2.42            8.13          520.27
          365.49            2.42            8.13          520.19
          365.40            2.42            8.12          520.10
          365.30            2.42            8.12          520.01
          365.21            2.42            8.12          519.93
          365.11            2.42            8.12          519.84
          365.02            2.42            8.12          519.75
          364.92            2.42            8.12          519.67
          364.83            2.42            8.12          519.58
          364.73            2.42            8.11          519.49
          364.63            2.42            8.11          519.41
          364.54            2.42            8.11          519.32
          364.44            2.42            8.11          519.23
          364.35            2.42            8.11          519.15
          364.25            2.42            8.11          519.06
          364.16            2.42            8.11          518.97
          364.06            2.42            8.10          518.89
          363.96            2.42            8.10          518.80
          363.87            2.42            8.10          518.71
          363.77            2.42            8.10          518.62
          363.68            2.42            8.10          518.54
          363.58            2.42            8.10          518.45
          363.49            2.42            8.10          518.36
          363.39            2.42            8.09          518.28
          363.29            2.42            8.09          518.19
          363.20            2.42            8.09          518.10
          363.10            2.42            8.09          518.02
          363.01            2.42            8.09          517.93
          362.91            2.42            8.09          517.84
          362.81            2.42            8.09          517.75
          362.72            2.42            8.08          517.67
          362.62            2.42            8.08          517.58
          362.53            2.42            8.08          517.49
          362.43            2.42            8.08          517.41
          362.33            2.42            8.08          517.32
          362.24            2.42            8.08          517.23
          362.14            2.42            8.08          517.14
          362.05            2.42            8.07          517.06
          361.95            2.42            8.07          516.97
          361.85            2.42            8.07          516.88
          361.76            2.42            8.07          516.80
          361.66            2.42            8.07          516.71
          361.56            2.42            8.07          516.62
          361.47            2.42            8.06          516.53
          361.37            2.42            8.06          516.45
          361.28            2.42            8.06          516.36
          361.18            2.42            8.06          516.27
          361.08            2.42            8.06          516.18
          360.99            2.42            8.06          516.10
          360.89            2.42            8.06          516.01
          360.79            2.42            8.05          515.92
          360.70            2.42            8.05          515.83
          360.60            2.42            8.05          515.75
          360.50            2.42            8.05          515.66
          360.41            2.42            8.05          515.57
          360.31            2.42            8.05          515.48
          360.21            2.42            8.05          515.40
          360.12            2.42            8.04          515.31
          360.02            2.42            8.04          515.22
          359.92            2.42            8.04          515.13
          359.83            2.42            8.04          515.05
          359.73            2.42            8.04          514.96
          359.63            2.42            8.04          514.87
          359.54            2.42            8.04          514.78
          359.44            2.42            8.03          514.70
          359.34            2.42            8.03          514.61
          359.25            2.42            8.03          514.52
          359.15            2.41            8.03          514.43
          359.05            2.41            8.03          514.34
          358.96            2.41            8.03          514.26
          358.86            2.41            8.03          514.17
          358.76            2.41            8.02          514.08
          358.67            2.41            8.02          513.99
          358.57            2.41            8.02          513.90
          358.47            2.41            8.02          513.82
          358.38            2.41            8.02          513.73
          358.28            2.41            8.02          513.64
          358.18            2.41            8.01          513.55
          358.09            2.41            8.01          513.46
          357.99            2.41            8.01          513.38
          357.89            2.41            8.01          513.29
          357.79            2.41            8.01          513.20
          357.70            2.41            8.01          513.11
          357.60            2.41            8.01          513.02
          357.50            2.41            8.00          512.94
          357.41            2.41            8.00          512.85
          357.31            2.41            8.00          512.76
          357.21            2.41            8.00          512.67
          357.11            2.41            8.00          512.58
          357.02            2.41            8.00          512.50
          356.92            2.41            8.00          512.41
          356.82            2.41            7.99          512.32
          356.73            2.41            7.99          512.23
          356.63            2.41            7.99          512.14
          356.53            2.41            7.99          512.05
          356.43            2.41            7.99          511.97
          356.34            2.41            7.99          511.88
          356.24            2.41            7.98          511.79
          356.14            2.41            7.98          511.70
          356.04            2.41            7.98          511.61
          355.95            2.41            7.98          511.52
          355.85            2.41            7.98          511.44
          355.75            2.41            7.98          511.35
          355.65            2.41            7.98          511.26
          355.56            2.41            7.97          511.17
          355.46            2.41            7.97          511.08
          355.36            2.41            7.97          510.99
          355.26            2.41            7.97          510.91
          355.17            2.41            7.97          510.82
          355.07            2.41            7.97          510.73
          354.97            2.41            7.97          510.64
          354.87            2.41            7.96          510.55
          354.78            2.41            7.96          510.46
          354.68            2.41            7.96          510.37
          354.58            2.41            7.96          510.29
          354.48            2.41            7.96          510.20
          354.39            2.41            7.96          510.11
          354.29            2.41            7.96          510.02
          354.19            2.41            7.95          509.93
          354.09            2.41            7.95          509.84
          354.00            2.41            7.95          509.75
          353.90            2.41            7.95          509.67
          353.80            2.41            7.95          509.58
          353.70            2.41            7.95          509.49
          353.60            2.41            7.94          509.40
          353.51            2.41            7.94          509.31
          353.41            2.41            7.94          509.22
          353.31            2.41            7.94          509.13
          353.21            2.41            7.94          509.05
          353.12            2.41            7.94          508.96
          353.02            2.41            7.94          508.87
          352.92            2.41            7.93          508.78
          352.82            2.41            7.93          508.69
          352.72            2.41            7.93          508.60
          352.63            2.41            7.93          508.51
          352.53            2.41            7.93          508.42
          352.43            2.41            7.93          508.34
