  t(s)     Range(km)         H(km)       AF(deg)        V(m/s)            Ma      mass(kg)
  0.00          0.00          0.00          0.00          0.00          0.00        632.30
  0.01          0.00          0.00          4.69          0.92          0.20        632.05
  0.02          0.00          0.00          4.67          1.84          0.20        631.80
  0.03          0.00          0.00          4.66          2.78          0.20        631.54
  0.04          0.00          0.00          4.64          3.71          0.20        631.29
  0.05          0.00          0.00          4.63          4.66          0.20        631.03
  0.06          0.00          0.00          4.61          5.61          0.20        630.77
  0.07          0.00          0.00          4.59          6.56          0.20        630.51
  0.08          0.00          0.00          4.58          7.52          0.20        630.25
  0.09          0.00          0.00          4.56          8.49          0.20        629.99
  0.10          0.00          0.00          4.55          9.46          0.20        629.73
  0.11          0.00          0.00          4.53         10.44          0.20        629.46
  0.12          0.00          0.00          4.52         11.43          0.20        629.19
  0.13          0.00          0.00          4.50         12.42          0.20        628.93
  0.14          0.00          0.00          4.49         13.42          0.20        628.66
  0.15          0.00          0.00          4.47         14.42          0.20        628.39
  0.16          0.00          0.00          4.46         15.43          0.20        628.11
  0.17          0.00          0.00          4.44         16.44          0.20        627.84
  0.18          0.00          0.00          4.42         17.47          0.20        627.57
  0.19          0.00          0.00          4.41         18.49          0.20        627.29
  0.20          0.00          0.00          4.39         19.53          0.20        627.01
  0.21          0.00          0.00          4.37         20.57          0.20        626.73
  0.22          0.00          0.00          4.36         21.61          0.20        626.45
  0.23          0.00          0.00          4.34         22.67          0.20        626.17
  0.24          0.00          0.00          4.32         23.72          0.20        625.89
  0.25          0.00          0.00          4.30         24.79          0.20        625.60
  0.26          0.00          0.00          4.29         25.86          0.20        625.31
  0.27          0.00          0.00          4.27         26.93          0.20        625.03
  0.28          0.00          0.00          4.25         28.02          0.20        624.74
  0.29          0.00          0.00          4.23         29.10          0.20        624.45
  0.30          0.00          0.00          4.21         30.20          0.20        624.15
  0.31          0.00          0.00          4.19         31.30          0.20        623.86
  0.32          0.00          0.00          4.17         32.41          0.20        623.57
  0.33          0.00          0.00          4.14         33.52          0.20        623.27
  0.34          0.00          0.00          4.12         34.64          0.20        622.97
  0.35          0.00          0.00          4.10         35.77          0.20        622.67
  0.36          0.01          0.00          4.08         36.90          0.20        622.37
  0.37          0.01          0.00          4.05         38.04          0.20        622.07
  0.38          0.01          0.00          4.03         39.18          0.20        621.77
  0.39          0.01          0.01          4.00         40.33          0.20        621.46
  0.40          0.01          0.01          3.97         41.49          0.20        621.16
  0.41          0.01          0.01          3.95         42.65          0.20        620.85
  0.42          0.01          0.01          3.92         43.82          0.20        620.54
  0.43          0.01          0.01          3.89         45.00          0.20        620.23
  0.44          0.01          0.01          3.86         46.18          0.20        619.92
  0.45          0.01          0.01          3.82         47.37          0.20        619.60
  0.46          0.01          0.01          3.79         48.56          0.20        619.29
  0.47          0.01          0.01          3.76         49.76          0.20        618.97
  0.48          0.01          0.01          3.72         50.97          0.20        618.66
  0.49          0.01          0.01          3.69         52.18          0.20        618.34
  0.50          0.01          0.01          3.65         53.40          0.20        618.02
  0.51          0.01          0.01          3.61         54.63          0.20        617.69
  0.52          0.01          0.01          3.57         55.86          0.20        617.37
  0.53          0.01          0.01          3.53         57.10          0.20        617.05
  0.54          0.01          0.01          3.49         58.34          0.20        616.72
  0.55          0.01          0.01          3.44         59.60          0.20        616.39
  0.56          0.01          0.01          3.40         60.85          0.20        616.06
  0.57          0.01          0.01          3.35         62.12          0.20        615.73
  0.58          0.01          0.01          3.30         63.39          0.20        615.40
  0.59          0.01          0.01          3.25         64.67          0.20        615.07
  0.60          0.02          0.01          3.20         65.95          0.20        614.74
  0.61          0.02          0.01          3.15         67.24          0.20        614.40
  0.62          0.02          0.01          3.10         68.54          0.20        614.06
  0.63          0.02          0.01          3.04         69.84          0.21        613.72
  0.64          0.02          0.01          2.98         71.15          0.21        613.38
  0.65          0.02          0.01          2.93         72.47          0.21        613.04
  0.66          0.02          0.01          2.87         73.79          0.22        612.70
  0.67          0.02          0.01          2.81         75.12          0.22        612.35
  0.68          0.02          0.02          2.74         76.46          0.22        612.01
  0.69          0.02          0.02          2.68         77.80          0.23        611.66
  0.70          0.02          0.02          2.61         79.15          0.23        611.31
  0.71          0.02          0.02          2.55         80.50          0.24        610.96
  0.72          0.02          0.02          2.48         81.87          0.24        610.61
  0.73          0.02          0.02          2.41         83.24          0.24        610.26
  0.74          0.02          0.02          2.34         84.61          0.25        609.90
  0.75          0.02          0.02          2.27         85.99          0.25        609.55
  0.76          0.03          0.02          2.20         87.38          0.26        609.19
  0.77          0.03          0.02          2.12         88.78          0.26        608.83
  0.78          0.03          0.02          2.05         90.18          0.27        608.47
  0.79          0.03          0.02          1.98         91.59          0.27        608.11
  0.80          0.03          0.02          1.90         93.01          0.27        607.75
  0.81          0.03          0.02          1.82         94.43          0.28        607.38
  0.82          0.03          0.02          1.75         95.86          0.28        607.02
  0.83          0.03          0.02          1.67         97.30          0.29        606.65
  0.84          0.03          0.02          1.59         98.74          0.29        606.28
  0.85          0.03          0.02          1.51        100.19          0.29        605.91
  0.86          0.03          0.02          1.43        101.64          0.30        605.54
  0.87          0.03          0.03          1.35        103.11          0.30        605.17
  0.88          0.03          0.03          1.27        104.58          0.31        604.79
  0.89          0.04          0.03          1.19        106.05          0.31        604.42
  0.90          0.04          0.03          1.11        107.54          0.32        604.04
  0.91          0.04          0.03          1.03        109.03          0.32        603.66
  0.92          0.04          0.03          0.95        110.52          0.32        603.28
  0.93          0.04          0.03          0.86        112.03          0.33        602.90
  0.94          0.04          0.03          0.78        113.54          0.33        602.52
  0.95          0.04          0.03          0.70        115.06          0.34        602.14
  0.96          0.04          0.03          0.62        116.58          0.34        601.75
  0.97          0.04          0.03          0.54        118.11          0.35        601.36
  0.98          0.04          0.03          0.46        119.65          0.35        600.98
  0.99          0.04          0.03          0.38        121.20          0.36        600.59
  1.00          0.05          0.03          0.30        122.75          0.36        600.19
  1.01          0.05          0.03          0.22        124.30          0.37        599.80
  1.02          0.05          0.04          0.14        125.86          0.37        599.41
  1.03          0.05          0.04          0.06        127.43          0.37        599.02
  1.04          0.05          0.04          0.01        128.99          0.38        598.62
  1.05          0.05          0.04          0.09        130.56          0.38        598.23
  1.06          0.05          0.04          0.16        132.13          0.39        597.84
  1.07          0.05          0.04          0.23        133.70          0.39        597.44
  1.08          0.05          0.04          0.31        135.28          0.40        597.05
  1.09          0.06          0.04          0.37        136.86          0.40        596.65
  1.10          0.06          0.04          0.44        138.44          0.41        596.26
  1.11          0.06          0.04          0.51        140.02          0.41        595.86
  1.12          0.06          0.04          0.57        141.61          0.42        595.46
  1.13          0.06          0.04          0.63        143.20          0.42        595.07
  1.14          0.06          0.04          0.69        144.79          0.43        594.67
  1.15          0.06          0.05          0.75        146.38          0.43        594.27
  1.16          0.06          0.05          0.80        147.98          0.44        593.88
  1.17          0.06          0.05          0.85        149.58          0.44        593.48
  1.18          0.07          0.05          0.90        151.18          0.44        593.08
  1.19          0.07          0.05          0.95        152.79          0.45        592.68
  1.20          0.07          0.05          0.99        154.39          0.45        592.28
  1.21          0.07          0.05          1.03        156.01          0.46        591.88
  1.22          0.07          0.05          1.06        157.62          0.46        591.48
  1.23          0.07          0.05          1.10        159.24          0.47        591.08
  1.24          0.07          0.05          1.12        160.85          0.47        590.68
  1.25          0.07          0.05          1.15        162.48          0.48        590.28
  1.26          0.08          0.05          1.17        164.10          0.48        589.88
  1.27          0.08          0.06          1.18        165.73          0.49        589.47
  1.28          0.08          0.06          1.20        167.36          0.49        589.07
  1.29          0.08          0.06          1.21        168.99          0.50        588.67
  1.30          0.08          0.06          1.21        170.63          0.50        588.26
  1.31          0.08          0.06          1.21        172.26          0.51        587.86
  1.32          0.08          0.06          1.21        173.91          0.51        587.46
  1.33          0.09          0.06          1.20        175.55          0.52        587.05
  1.34          0.09          0.06          1.19        177.20          0.52        586.65
  1.35          0.09          0.06          1.17        178.85          0.53        586.24
  1.36          0.09          0.06          1.15        180.50          0.53        585.84
  1.37          0.09          0.07          1.12        182.15          0.54        585.43
  1.38          0.09          0.07          1.10        183.81          0.54        585.02
  1.39          0.09          0.07          1.06        185.47          0.55        584.62
  1.40          0.10          0.07          1.03        187.14          0.55        584.21
  1.41          0.10          0.07          0.99        188.80          0.56        583.80
  1.42          0.10          0.07          0.94        190.47          0.56        583.39
  1.43          0.10          0.07          0.90        192.14          0.57        582.99
  1.44          0.10          0.07          0.85        193.82          0.57        582.58
  1.45          0.10          0.07          0.79        195.50          0.57        582.17
  1.46          0.11          0.08          0.74        197.18          0.58        581.76
  1.47          0.11          0.08          0.68        198.86          0.58        581.35
  1.48          0.11          0.08          0.62        200.55          0.59        580.94
  1.49          0.11          0.08          0.56        202.24          0.59        580.53
  1.50          0.11          0.08          0.50        203.93          0.60        580.12
  1.51          0.11          0.08          0.43        205.62          0.60        579.70
  1.52          0.12          0.08          0.37        207.32          0.61        579.29
  1.53          0.12          0.08          0.30        209.02          0.61        578.88
  1.54          0.12          0.08          0.23        210.72          0.62        578.47
  1.55          0.12          0.09          0.17        212.43          0.62        578.05
  1.56          0.12          0.09          0.10        214.14          0.63        577.64
  1.57          0.12          0.09          0.04        215.85          0.63        577.23
  1.58          0.13          0.09          0.03        217.56          0.64        576.81
  1.59          0.13          0.09          0.09        219.28          0.65        576.40
  1.60          0.13          0.09          0.15        221.00          0.65        575.98
  1.61          0.13          0.09          0.21        222.72          0.66        575.57
  1.62          0.13          0.09          0.27        224.45          0.66        575.15
  1.63          0.14          0.09          0.32        226.18          0.67        574.74
  1.64          0.14          0.10          0.37        227.91          0.67        574.32
  1.65          0.14          0.10          0.42        229.64          0.68        573.90
  1.66          0.14          0.10          0.46        231.38          0.68        573.48
  1.67          0.14          0.10          0.50        233.12          0.69        573.07
  1.68          0.15          0.10          0.54        234.86          0.69        572.65
  1.69          0.15          0.10          0.57        236.61          0.70        572.23
  1.70          0.15          0.10          0.60        238.36          0.70        571.81
  1.71          0.15          0.10          0.62        240.11          0.71        571.39
  1.72          0.15          0.11          0.64        241.86          0.71        570.97
  1.73          0.16          0.11          0.65        243.62          0.72        570.55
  1.74          0.16          0.11          0.65        245.38          0.72        570.13
  1.75          0.16          0.11          0.65        247.14          0.73        569.71
  1.76          0.16          0.11          0.65        248.90          0.73        569.29
  1.77          0.16          0.11          0.64        250.67          0.74        568.87
  1.78          0.17          0.11          0.63        252.44          0.74        568.45
  1.79          0.17          0.12          0.61        254.22          0.75        568.02
  1.80          0.17          0.12          0.58        255.99          0.75        567.60
  1.81          0.17          0.12          0.56        257.77          0.76        567.18
  1.82          0.17          0.12          0.52        259.55          0.76        566.75
  1.83          0.18          0.12          0.49        261.34          0.77        566.33
  1.84          0.18          0.12          0.45        263.13          0.77        565.91
  1.85          0.18          0.12          0.40        264.92          0.78        565.48
  1.86          0.18          0.13          0.36        266.71          0.78        565.06
  1.87          0.19          0.13          0.31        268.51          0.79        564.63
  1.88          0.19          0.13          0.26        270.31          0.80        564.20
  1.89          0.19          0.13          0.21        272.11          0.80        563.78
  1.90          0.19          0.13          0.16        273.92          0.81        563.35
  1.91          0.20          0.13          0.11        275.72          0.81        562.92
  1.92          0.20          0.13          0.05        277.53          0.82        562.50
  1.93          0.20          0.14          0.00        279.35          0.82        562.07
  1.94          0.20          0.14          0.04        281.16          0.83        561.64
  1.95          0.20          0.14          0.09        282.98          0.83        561.21
  1.96          0.21          0.14          0.13        284.80          0.84        560.78
  1.97          0.21          0.14          0.17        286.62          0.84        560.35
  1.98          0.21          0.14          0.21        288.45          0.85        559.92
  1.99          0.21          0.15          0.25        290.27          0.85        559.49
  2.00          0.22          0.15          0.28        292.10          0.86        559.06
  2.01          0.22          0.15          0.30        293.94          0.87        558.63
  2.02          0.22          0.15          0.32        295.77          0.87        558.20
  2.03          0.22          0.15          0.34        297.61          0.88        557.77
  2.04          0.23          0.15          0.35        299.45          0.88        557.34
  2.05          0.23          0.15          0.36        301.30          0.89        556.90
  2.06          0.23          0.16          0.36        303.14          0.89        556.47
  2.07          0.23          0.16          0.36        304.99          0.90        556.04
  2.08          0.24          0.16          0.36        306.84          0.90        555.60
  2.09          0.24          0.16          0.35        308.70          0.91        555.17
  2.10          0.24          0.16          0.33        310.55          0.91        554.73
  2.11          0.24          0.16          0.32        312.41          0.92        554.30
  2.12          0.25          0.17          0.30        314.28          0.93        553.86
  2.13          0.25          0.17          0.27        316.14          0.93        553.42
  2.14          0.25          0.17          0.25        318.01          0.94        552.99
  2.15          0.26          0.17          0.22        319.88          0.94        552.55
  2.16          0.26          0.17          0.19        321.75          0.95        552.11
  2.17          0.26          0.17          0.15        323.63          0.95        551.67
  2.18          0.26          0.18          0.12        325.50          0.96        551.23
  2.19          0.27          0.18          0.09        327.38          0.96        550.79
  2.20          0.27          0.18          0.05        329.27          0.97        550.35
  2.21          0.27          0.18          0.02        331.15          0.98        549.91
  2.22          0.27          0.18          0.02        333.04          0.98        549.47
  2.23          0.28          0.19          0.05        334.93          0.99        549.03
  2.24          0.28          0.19          0.08        336.82          0.99        548.59
  2.25          0.28          0.19          0.11        338.72          1.00        548.15
  2.26          0.29          0.19          0.14        340.62          1.00        547.71
  2.27          0.29          0.19          0.16        342.52          1.01        547.26
  2.28          0.29          0.19          0.18        344.42          1.01        546.82
  2.29          0.29          0.20          0.20        346.33          1.02        546.37
  2.30          0.30          0.20          0.22        348.23          1.03        545.93
  2.31          0.30          0.20          0.23        350.14          1.03        545.49
  2.32          0.30          0.20          0.24        352.05          1.04        545.04
  2.33          0.31          0.20          0.24        353.97          1.04        544.59
  2.34          0.31          0.21          0.25        355.89          1.05        544.15
  2.35          0.31          0.21          0.25        357.81          1.05        543.70
  2.36          0.32          0.21          0.24        359.73          1.06        543.25
  2.37          0.32          0.21          0.23        361.65          1.07        542.81
  2.38          0.32          0.21          0.22        363.58          1.07        542.36
  2.39          0.32          0.22          0.21        365.51          1.08        541.91
  2.40          0.33          0.22          0.19        367.44          1.08        541.46
  2.41          0.33          0.22          0.18        369.37          1.09        541.01
  2.42          0.33          0.22          0.16        371.31          1.09        540.56
  2.43          0.34          0.22          0.14        373.24          1.10        540.11
  2.44          0.34          0.22          0.11        375.18          1.11        539.66
  2.45          0.34          0.23          0.09        377.13          1.11        539.21
  2.46          0.35          0.23          0.07        379.07          1.12        538.76
  2.47          0.35          0.23          0.04        381.02          1.12        538.30
  2.48          0.35          0.23          0.02        382.96          1.13        537.85
  2.49          0.36          0.23          0.00        384.92          1.13        537.40
  2.50          0.36          0.24          0.03        386.87          1.14        536.94
  2.51          0.36          0.24          0.05        388.82          1.15        536.49
  2.52          0.37          0.24          0.07        390.78          1.15        536.04
  2.53          0.37          0.24          0.08        392.74          1.16        535.58
  2.54          0.37          0.25          0.10        394.70          1.16        535.13
  2.55          0.38          0.25          0.11        396.66          1.17        534.67
  2.56          0.38          0.25          0.12        398.63          1.17        534.21
  2.57          0.38          0.25          0.13        400.60          1.18        533.76
  2.58          0.39          0.25          0.14        402.56          1.19        533.30
  2.59          0.39          0.26          0.14        404.54          1.19        532.84
  2.60          0.39          0.26          0.14        406.51          1.20        532.38
  2.61          0.40          0.26          0.14        408.48          1.20        531.92
  2.62          0.40          0.26          0.13        410.46          1.21        531.46
  2.63          0.40          0.26          0.12        412.44          1.22        531.01
  2.64          0.41          0.27          0.12        414.43          1.22        530.55
  2.65          0.41          0.27          0.11        416.42          1.23        530.08
  2.66          0.41          0.27          0.09        418.41          1.23        529.62
  2.67          0.42          0.27          0.08        420.40          1.24        529.16
  2.68          0.42          0.28          0.06        422.40          1.25        528.70
  2.69          0.43          0.28          0.05        424.40          1.25        528.24
  2.70          0.43          0.28          0.03        426.41          1.26        527.77
  2.71          0.43          0.28          0.02        428.42          1.26        527.31
  2.72          0.44          0.28          0.00        430.43          1.27        526.85
  2.73          0.44          0.29          0.01        432.44          1.27        526.38
  2.74          0.44          0.29          0.03        434.46          1.28        525.92
  2.75          0.45          0.29          0.04        436.48          1.29        525.45
  2.76          0.45          0.29          0.06        438.51          1.29        524.99
  2.77          0.46          0.30          0.07        440.54          1.30        524.52
  2.78          0.46          0.30          0.08        442.57          1.30        524.06
  2.79          0.46          0.30          0.09        444.60          1.31        523.59
  2.80          0.47          0.30          0.10        446.64          1.32        523.12
  2.81          0.47          0.30          0.10        448.68          1.32        522.65
  2.82          0.47          0.31          0.11        450.73          1.33        522.18
  2.83          0.48          0.31          0.11        452.78          1.34        521.72
  2.84          0.48          0.31          0.11        454.83          1.34        521.25
  2.85          0.49          0.31          0.11        456.89          1.35        520.78
  2.86          0.49          0.32          0.11        458.95          1.35        520.31
  2.87          0.49          0.32          0.11        461.01          1.36        519.84
  2.88          0.50          0.32          0.10        463.08          1.37        519.36
  2.89          0.50          0.32          0.10        465.15          1.37        518.89
  2.90          0.51          0.33          0.09        467.22          1.38        518.42
  2.91          0.51          0.33          0.08        469.30          1.38        517.95
  2.92          0.51          0.33          0.07        471.38          1.39        517.47
  2.93          0.52          0.33          0.06        473.46          1.40        517.00
  2.94          0.52          0.34          0.05        475.55          1.40        516.53
  2.95          0.53          0.34          0.04        477.64          1.41        516.05
  2.96          0.53          0.34          0.03        479.74          1.42        515.58
  2.97          0.53          0.34          0.02        481.84          1.42        515.10
  2.98          0.54          0.35          0.01        483.94          1.43        514.63
  2.99          0.54          0.35          0.00        486.05          1.43        514.15
  3.00          0.55          0.35          0.01        488.16          1.44        513.67
  3.01          0.55          0.35          0.02        490.27          1.45        513.20
  3.02          0.55          0.36          0.03        492.37          1.45        512.72
  3.03          0.56          0.36          0.04        494.46          1.46        512.25
  3.04          0.56          0.36          0.04        496.54          1.47        511.78
  3.05          0.57          0.36          0.05        498.61          1.47        511.31
  3.06          0.57          0.37          0.06        500.67          1.48        510.85
  3.07          0.58          0.37          0.06        502.73          1.48        510.38
  3.08          0.58          0.37          0.06        504.77          1.49        509.92
  3.09          0.58          0.37          0.06        506.81          1.50        509.46
  3.10          0.59          0.38          0.07        508.84          1.50        509.00
  3.11          0.59          0.38          0.07        510.85          1.51        508.55
  3.12          0.60          0.38          0.06        512.86          1.51        508.09
  3.13          0.60          0.39          0.06        514.86          1.52        507.64
  3.14          0.61          0.39          0.06        516.85          1.53        507.19
  3.15          0.61          0.39          0.06        518.83          1.53        506.75
  3.16          0.62          0.39          0.05        520.80          1.54        506.30
  3.17          0.62          0.40          0.05        522.76          1.54        505.86
  3.18          0.62          0.40          0.04        524.72          1.55        505.41
  3.19          0.63          0.40          0.04        526.66          1.55        504.97
  3.20          0.63          0.40          0.03        528.59          1.56        504.54
  3.21          0.64          0.41          0.03        530.51          1.57        504.10
  3.22          0.64          0.41          0.02        532.43          1.57        503.67
  3.23          0.65          0.41          0.01        534.33          1.58        503.23
  3.24          0.65          0.41          0.00        536.22          1.58        502.81
  3.25          0.66          0.42          0.00        538.11          1.59        502.38
  3.26          0.66          0.42          0.01        539.98          1.59        501.95
  3.27          0.67          0.42          0.02        541.85          1.60        501.53
  3.28          0.67          0.43          0.02        543.70          1.61        501.11
  3.29          0.67          0.43          0.03        545.55          1.61        500.69
  3.30          0.68          0.43          0.03        547.38          1.62        500.27
  3.31          0.68          0.43          0.04        549.21          1.62        499.85
  3.32          0.69          0.44          0.04        551.02          1.63        499.44
  3.33          0.69          0.44          0.05        552.83          1.63        499.03
  3.34          0.70          0.44          0.05        554.62          1.64        498.62
  3.35          0.70          0.45          0.05        556.41          1.64        498.21
  3.36          0.71          0.45          0.06        558.19          1.65        497.81
  3.37          0.71          0.45          0.06        559.95          1.65        497.40
  3.38          0.72          0.45          0.06        561.71          1.66        497.00
  3.39          0.72          0.46          0.06        563.45          1.66        496.60
  3.40          0.73          0.46          0.06        565.19          1.67        496.20
  3.41          0.73          0.46          0.06        566.92          1.67        495.81
  3.42          0.74          0.47          0.06        568.63          1.68        495.41
  3.43          0.74          0.47          0.05        570.34          1.68        495.02
  3.44          0.75          0.47          0.05        572.03          1.69        494.63
  3.45          0.75          0.47          0.05        573.72          1.70        494.25
  3.46          0.76          0.48          0.05        575.40          1.70        493.86
  3.47          0.76          0.48          0.04        577.06          1.71        493.48
  3.48          0.77          0.48          0.04        578.72          1.71        493.10
  3.49          0.77          0.49          0.03        580.36          1.71        492.72
  3.50          0.78          0.49          0.03        582.00          1.72        492.34
  3.51          0.78          0.49          0.03        583.63          1.72        491.96
  3.52          0.79          0.50          0.02        585.24          1.73        491.59
  3.53          0.79          0.50          0.02        586.85          1.73        491.22
  3.54          0.80          0.50          0.01        588.44          1.74        490.85
  3.55          0.80          0.50          0.01        590.03          1.74        490.48
  3.56          0.81          0.51          0.00        591.60          1.75        490.12
  3.57          0.81          0.51          0.00        593.16          1.75        489.75
  3.58          0.82          0.51          0.00        594.72          1.76        489.39
  3.59          0.82          0.52          0.01        596.26          1.76        489.03
  3.60          0.83          0.52          0.01        597.79          1.77        488.67
  3.61          0.83          0.52          0.01        599.32          1.77        488.32
  3.62          0.84          0.53          0.02        600.83          1.78        487.97
  3.63          0.84          0.53          0.02        602.33          1.78        487.61
  3.64          0.85          0.53          0.02        603.82          1.79        487.26
  3.65          0.85          0.54          0.02        605.30          1.79        486.92
  3.66          0.86          0.54          0.02        606.78          1.79        486.57
  3.67          0.86          0.54          0.02        608.24          1.80        486.23
  3.68          0.87          0.54          0.02        609.69          1.80        485.89
  3.69          0.87          0.55          0.02        611.13          1.81        485.55
  3.70          0.88          0.55          0.02        612.56          1.81        485.21
  3.71          0.88          0.55          0.02        613.97          1.82        484.88
  3.72          0.89          0.56          0.02        615.38          1.82        484.54
  3.73          0.89          0.56          0.02        616.78          1.82        484.21
  3.74          0.90          0.56          0.02        618.17          1.83        483.88
  3.75          0.91          0.57          0.02        619.54          1.83        483.56
  3.76          0.91          0.57          0.01        620.91          1.84        483.23
  3.77          0.92          0.57          0.01        622.27          1.84        482.91
  3.78          0.92          0.58          0.01        623.61          1.84        482.59
  3.79          0.93          0.58          0.01        624.95          1.85        482.27
  3.80          0.93          0.58          0.00        626.27          1.85        481.95
  3.81          0.94          0.59          0.00        627.58          1.86        481.63
  3.82          0.94          0.59          0.00        628.89          1.86        481.32
  3.83          0.95          0.59          0.01        630.18          1.86        481.01
  3.84          0.95          0.60          0.01        631.46          1.87        480.70
  3.85          0.96          0.60          0.01        632.73          1.87        480.39
  3.86          0.96          0.60          0.02        633.99          1.88        480.09
  3.87          0.97          0.60          0.02        635.24          1.88        479.79
  3.88          0.98          0.61          0.02        636.48          1.88        479.48
  3.89          0.98          0.61          0.02        637.70          1.89        479.19
  3.90          0.99          0.61          0.02        638.92          1.89        478.89
  3.91          0.99          0.62          0.03        640.13          1.89        478.59
  3.92          1.00          0.62          0.03        641.32          1.90        478.30
  3.93          1.00          0.62          0.03        642.51          1.90        478.01
  3.94          1.01          0.63          0.03        643.68          1.91        477.72
  3.95          1.01          0.63          0.03        644.85          1.91        477.43
  3.96          1.02          0.63          0.03        646.00          1.91        477.15
  3.97          1.03          0.64          0.03        647.14          1.92        476.87
  3.98          1.03          0.64          0.03        648.27          1.92        476.58
  3.99          1.04          0.64          0.03        649.39          1.92        476.31
  4.00          1.04          0.65          0.03        650.50          1.93        476.03
  4.01          1.05          0.65          0.03        651.60          1.93        475.75
  4.02          1.05          0.65          0.03        652.69          1.93        475.48
  4.03          1.06          0.66          0.03        653.77          1.94        475.21
  4.04          1.06          0.66          0.03        654.85          1.94        474.94
  4.05          1.07          0.66          0.03        655.91          1.94        474.67
  4.06          1.08          0.67          0.03        656.97          1.95        474.40
  4.07          1.08          0.67          0.03        658.02          1.95        474.13
  4.08          1.09          0.67          0.03        659.07          1.95        473.87
  4.09          1.09          0.68          0.02        660.10          1.95        473.61
  4.10          1.10          0.68          0.02        661.12          1.96        473.35
  4.11          1.10          0.68          0.02        662.14          1.96        473.09
  4.12          1.11          0.69          0.02        663.15          1.96        472.83
  4.13          1.12          0.69          0.02        664.15          1.97        472.57
  4.14          1.12          0.69          0.02        665.14          1.97        472.32
  4.15          1.13          0.70          0.01        666.13          1.97        472.06
  4.16          1.13          0.70          0.01        667.10          1.98        471.81
  4.17          1.14          0.70          0.01        668.07          1.98        471.56
  4.18          1.14          0.71          0.01        669.03          1.98        471.31
  4.19          1.15          0.71          0.01        669.98          1.98        471.06
  4.20          1.16          0.71          0.01        670.92          1.99        470.82
  4.21          1.16          0.72          0.00        671.86          1.99        470.57
  4.22          1.17          0.72          0.00        672.78          1.99        470.33
  4.23          1.17          0.72          0.00        673.70          2.00        470.09
  4.24          1.18          0.73          0.00        674.61          2.00        469.85
  4.25          1.19          0.73          0.00        675.51          2.00        469.61
  4.26          1.19          0.73          0.00        676.40          2.00        469.37
  4.27          1.20          0.74          0.00        677.29          2.01        469.14
  4.28          1.20          0.74          0.00        678.16          2.01        468.90
  4.29          1.21          0.74          0.00        679.03          2.01        468.67
  4.30          1.21          0.75          0.00        679.89          2.02        468.44
  4.31          1.22          0.75          0.00        680.74          2.02        468.21
  4.32          1.23          0.76          0.00        681.58          2.02        467.98
  4.33          1.23          0.76          0.00        682.41          2.02        467.76
  4.34          1.24          0.76          0.00        683.24          2.03        467.53
  4.35          1.24          0.77          0.00        684.05          2.03        467.31
  4.36          1.25          0.77          0.00        684.86          2.03        467.09
  4.37          1.26          0.77          0.00        685.66          2.03        466.87
  4.38          1.26          0.78          0.00        686.45          2.04        466.65
  4.39          1.27          0.78          0.00        687.23          2.04        466.43
  4.40          1.27          0.78          0.00        688.00          2.04        466.21
  4.41          1.28          0.79          0.00        688.77          2.04        466.00
  4.42          1.29          0.79          0.00        689.52          2.04        465.79
  4.43          1.29          0.79          0.01        690.27          2.05        465.58
  4.44          1.30          0.80          0.01        691.01          2.05        465.37
  4.45          1.30          0.80          0.01        691.74          2.05        465.16
  4.46          1.31          0.80          0.01        692.46          2.05        464.95
  4.47          1.32          0.81          0.01        693.17          2.06        464.75
  4.48          1.32          0.81          0.01        693.88          2.06        464.55
  4.49          1.33          0.81          0.01        694.57          2.06        464.34
  4.50          1.33          0.82          0.01        695.26          2.06        464.14
  4.51          1.34          0.82          0.01        695.94          2.06        463.94
  4.52          1.35          0.82          0.01        696.61          2.07        463.75
  4.53          1.35          0.83          0.02        697.27          2.07        463.55
  4.54          1.36          0.83          0.02        697.93          2.07        463.36
  4.55          1.36          0.84          0.02        698.57          2.07        463.16
  4.56          1.37          0.84          0.02        699.20          2.07        462.97
  4.57          1.38          0.84          0.02        699.83          2.08        462.78
  4.58          1.38          0.85          0.02        700.45          2.08        462.60
  4.59          1.39          0.85          0.02        701.06          2.08        462.41
  4.60          1.39          0.85          0.02        701.66          2.08        462.22
  4.61          1.40          0.86          0.02        702.25          2.08        462.04
  4.62          1.41          0.86          0.02        702.84          2.09        461.86
  4.63          1.41          0.86          0.02        703.41          2.09        461.68
  4.64          1.42          0.87          0.02        703.98          2.09        461.50
  4.65          1.42          0.87          0.02        704.54          2.09        461.32
  4.66          1.43          0.87          0.02        705.08          2.09        461.15
  4.67          1.44          0.88          0.02        705.63          2.09        460.97
  4.68          1.44          0.88          0.02        706.16          2.10        460.80
  4.69          1.45          0.88          0.02        706.68          2.10        460.63
  4.70          1.45          0.89          0.02        707.19          2.10        460.46
  4.71          1.46          0.89          0.02        707.70          2.10        460.29
  4.72          1.47          0.89          0.02        708.20          2.10        460.12
  4.73          1.47          0.90          0.02        708.68          2.10        459.96
  4.74          1.48          0.90          0.02        709.16          2.11        459.80
  4.75          1.49          0.91          0.02        709.63          2.11        459.63
  4.76          1.49          0.91          0.02        710.10          2.11        459.47
  4.77          1.50          0.91          0.02        710.55          2.11        459.31
  4.78          1.50          0.92          0.02        710.99          2.11        459.16
  4.79          1.51          0.92          0.02        711.43          2.11        459.00
  4.80          1.52          0.92          0.01        711.86          2.11        458.85
