  t(s)     Ax(m/s^2)     Ay(m/s^2)     Az(m/s^2)       Vx(m/s)       Vy(m/s)       Vz(m/s)          X(m)          Y(m)          Z(m)
  0.44         95.53          0.00        -70.13         37.40          0.00        -27.08          7.90          0.00         -6.48
  0.45         96.03          0.00        -70.50         38.36          0.00        -27.78          8.27          0.00         -6.75
  0.46         96.54          0.00        -70.88         39.32          0.00        -28.49          8.66          0.00         -7.04
  0.47         97.05          0.00        -71.25         40.29          0.00        -29.20          9.06          0.00         -7.32
  0.48         97.57          0.00        -71.62         41.26          0.00        -29.92          9.47          0.00         -7.62
  0.49         98.08          0.00        -71.98         42.24          0.00        -30.63          9.89          0.00         -7.92
  0.50         98.61          0.00        -72.35         43.23          0.00        -31.36         10.31          0.00         -8.23
  0.51         99.13          0.00        -72.71         44.22          0.00        -32.08         10.75          0.00         -8.55
  0.52         99.66          0.00        -73.06         45.21          0.00        -32.81         11.20          0.00         -8.87
  0.53        100.19          0.00        -73.42         46.21          0.00        -33.54         11.66          0.00         -9.21
  0.54        100.73          0.00        -73.77         47.21          0.00        -34.28         12.12          0.00         -9.54
  0.55        101.27          0.00        -74.11         48.22          0.00        -35.02         12.60          0.00         -9.89
  0.56        101.82          0.00        -74.45         49.24          0.00        -35.76         13.09          0.00        -10.24
  0.57        102.37          0.00        -74.79         50.26          0.00        -36.51         13.58          0.00        -10.61
  0.58        102.92          0.00        -75.12         51.29          0.00        -37.26         14.09          0.00        -10.97
  0.59        103.48          0.00        -75.45         52.32          0.00        -38.01         14.61          0.00        -11.35
  0.60        104.05          0.00        -75.78         53.36          0.00        -38.76         15.14          0.00        -11.73
  0.61        104.62          0.00        -76.10         54.40          0.00        -39.52         15.68          0.00        -12.13
  0.62        105.19          0.00        -76.41         55.45          0.00        -40.29         16.23          0.00        -12.53
  0.63        105.78          0.00        -76.72         56.50          0.00        -41.05         16.79          0.00        -12.93
  0.64        106.36          0.00        -77.02         57.56          0.00        -41.82         17.36          0.00        -13.35
  0.65        106.95          0.00        -77.32         58.63          0.00        -42.59         17.94          0.00        -13.77
  0.66        107.55          0.00        -77.61         59.70          0.00        -43.37         18.53          0.00        -14.20
  0.67        108.15          0.00        -77.90         60.78          0.00        -44.14         19.13          0.00        -14.64
  0.68        108.76          0.00        -78.18         61.87          0.00        -44.93         19.74          0.00        -15.08
  0.69        109.38          0.00        -78.46         62.96          0.00        -45.71         20.37          0.00        -15.53
  0.70        110.00          0.00        -78.73         64.05          0.00        -46.49         21.00          0.00        -16.00
  0.71        110.62          0.00        -78.99         65.16          0.00        -47.28         21.65          0.00        -16.46
  0.72        111.25          0.00        -79.24         66.27          0.00        -48.07         22.31          0.00        -16.94
  0.73        111.89          0.00        -79.50         67.38          0.00        -48.87         22.98          0.00        -17.43
  0.74        112.54          0.00        -79.74         68.50          0.00        -49.66         23.65          0.00        -17.92
  0.75        113.19          0.00        -79.98         69.63          0.00        -50.46         24.35          0.00        -18.42
  0.76        113.84          0.00        -80.21         70.77          0.00        -51.26         25.05          0.00        -18.93
  0.77        114.50          0.00        -80.43         71.91          0.00        -52.07         25.76          0.00        -19.44
  0.78        115.17          0.00        -80.65         73.06          0.00        -52.87         26.49          0.00        -19.97
  0.79        115.84          0.00        -80.87         74.21          0.00        -53.68         27.22          0.00        -20.50
  0.80        116.51          0.00        -81.08         75.37          0.00        -54.49         27.97          0.00        -21.04
  0.81        117.19          0.00        -81.30         76.54          0.00        -55.30         28.73          0.00        -21.59
  0.82        117.87          0.00        -81.50         77.72          0.00        -56.12         29.50          0.00        -22.15
  0.83        118.55          0.00        -81.70         78.90          0.00        -56.93         30.28          0.00        -22.71
  0.84        119.24          0.00        -81.90         80.09          0.00        -57.75         31.08          0.00        -23.29
  0.85        119.93          0.00        -82.09         81.28          0.00        -58.57         31.89          0.00        -23.87
  0.86        120.63          0.00        -82.27         82.49          0.00        -59.39         32.70          0.00        -24.46
  0.87        121.34          0.00        -82.45         83.70          0.00        -60.21         33.54          0.00        -25.06
  0.88        122.05          0.00        -82.62         84.91          0.00        -61.04         34.38          0.00        -25.66
  0.89        122.76          0.00        -82.79         86.14          0.00        -61.87         35.23          0.00        -26.28
  0.90        123.48          0.00        -82.95         87.37          0.00        -62.70         36.10          0.00        -26.90
  0.91        124.20          0.00        -83.11         88.61          0.00        -63.53         36.98          0.00        -27.53
  0.92        124.93          0.00        -83.26         89.85          0.00        -64.36         37.87          0.00        -28.17
  0.93        125.66          0.00        -83.41         91.11          0.00        -65.19         38.78          0.00        -28.82
  0.94        126.40          0.00        -83.55         92.37          0.00        -66.03         39.70          0.00        -29.47
  0.95        127.14          0.00        -83.68         93.63          0.00        -66.86         40.63          0.00        -30.14
  0.96        127.89          0.00        -83.82         94.91          0.00        -67.70         41.57          0.00        -30.81
  0.97        128.63          0.00        -83.94         96.19          0.00        -68.54         42.52          0.00        -31.49
  0.98        129.39          0.00        -84.07         97.48          0.00        -69.38         43.49          0.00        -32.18
  0.99        130.14          0.00        -84.19         98.78          0.00        -70.22         44.47          0.00        -32.88
  1.00        130.90          0.00        -84.30        100.09          0.00        -71.06         45.47          0.00        -33.59
  1.01        131.32          0.00        -84.17        101.40          0.00        -71.90         46.48          0.00        -34.30
  1.02        131.74          0.00        -84.03        102.71          0.00        -72.75         47.50          0.00        -35.03
  1.03        132.16          0.00        -83.90        104.03          0.00        -73.59         48.53          0.00        -35.76
  1.04        132.58         -0.00        -83.76        105.36         -0.00        -74.42         49.58          0.00        -36.50
  1.05        133.01         -0.00        -83.62        106.68         -0.00        -75.26         50.64         -0.00        -37.25
  1.06        133.43         -0.00        -83.48        108.02         -0.00        -76.10         51.71         -0.00        -38.00
  1.07        133.85         -0.00        -83.34        109.35         -0.00        -76.93         52.80         -0.00        -38.77
  1.08        134.27         -0.00        -83.20        110.69         -0.00        -77.76         53.90         -0.00        -39.54
  1.09        134.69         -0.00        -83.05        112.04         -0.00        -78.59         55.01         -0.00        -40.32
  1.10        135.11         -0.00        -82.91        113.39         -0.00        -79.42         56.14         -0.00        -41.11
  1.11        135.53         -0.00        -82.78        114.74         -0.00        -80.25         57.28         -0.00        -41.91
  1.12        135.95         -0.00        -82.64        116.10         -0.00        -81.08         58.43         -0.00        -42.72
  1.13        136.36         -0.00        -82.51        117.46         -0.00        -81.91         59.60         -0.00        -43.53
  1.14        136.77         -0.00        -82.38        118.82         -0.00        -82.73         60.78         -0.00        -44.36
  1.15        137.18         -0.00        -82.25        120.19         -0.00        -83.55         61.98          0.00        -45.19
  1.16        137.59         -0.00        -82.13        121.57         -0.00        -84.37         63.19          0.00        -46.03
  1.17        137.99         -0.00        -82.01        122.95         -0.00        -85.20         64.41          0.00        -46.87
  1.18        138.38         -0.00        -81.90        124.33         -0.00        -86.01         65.64          0.00        -47.73
  1.19        138.78         -0.00        -81.79        125.71         -0.00        -86.83         66.89          0.00        -48.60
  1.20        139.17         -0.00        -81.69        127.10         -0.00        -87.65         68.16          0.00        -49.47
  1.21        139.55         -0.00        -81.60        128.50         -0.00        -88.47         69.44          0.00        -50.35
  1.22        139.93         -0.00        -81.52        129.89         -0.00        -89.28         70.73          0.00        -51.24
  1.23        140.30         -0.00        -81.45        131.29         -0.00        -90.10         72.03          0.00        -52.13
  1.24        140.66         -0.00        -81.39        132.70         -0.00        -90.91         73.35          0.00        -53.04
  1.25        141.02         -0.00        -81.33        134.11         -0.00        -91.73         74.69          0.00        -53.95
  1.26        141.37         -0.00        -81.29        135.52         -0.00        -92.54         76.04          0.00        -54.87
  1.27        141.71         -0.00        -81.26        136.94         -0.00        -93.35         77.40          0.00        -55.80
  1.28        142.05         -0.00        -81.24        138.35         -0.00        -94.16         78.78          0.00        -56.74
  1.29        142.37         -0.00        -81.24        139.78         -0.00        -94.98         80.17          0.00        -57.69
  1.30        142.69         -0.00        -81.25        141.20         -0.00        -95.79         81.57          0.00        -58.64
  1.31        143.00         -0.00        -81.27        142.63         -0.00        -96.60         82.99          0.00        -59.60
  1.32        143.30         -0.00        -81.30        144.06         -0.00        -97.41         84.42          0.00        -60.57
  1.33        143.59         -0.00        -81.35        145.50         -0.00        -98.23         85.87          0.00        -61.55
  1.34        143.87         -0.00        -81.42        146.93         -0.00        -99.04         87.33          0.00        -62.54
  1.35        144.14         -0.00        -81.50        148.37         -0.00        -99.86         88.81          0.00        -63.53
  1.36        144.41          0.00        -81.60        149.82          0.00       -100.67         90.30          0.00        -64.53
  1.37        144.66          0.00        -81.71        151.26          0.00       -101.49         91.81          0.00        -65.54
  1.38        144.90          0.00        -81.84        152.71          0.00       -102.31         93.33          0.00        -66.56
  1.39        145.13          0.00        -81.98        154.16          0.00       -103.12         94.86          0.00        -67.59
  1.40        145.35          0.00        -82.15        155.61          0.00       -103.95         96.41          0.00        -68.63
  1.41        145.57          0.00        -82.32        157.07          0.00       -104.77         97.97          0.00        -69.67
  1.42        145.77          0.00        -82.51        158.52          0.00       -105.59         99.55          0.00        -70.72
  1.43        145.96          0.00        -82.72        159.98          0.00       -106.42        101.14          0.00        -71.78
  1.44        146.15          0.00        -82.94        161.44          0.00       -107.25        102.75          0.00        -72.85
  1.45        146.32          0.00        -83.18        162.90          0.00       -108.08        104.37          0.00        -73.93
  1.46        146.49          0.00        -83.43        164.37          0.00       -108.91        106.01          0.00        -75.01
  1.47        146.64         -0.00        -83.70        165.83          0.00       -109.75        107.66          0.00        -76.10
  1.48        146.79         -0.00        -83.97        167.30         -0.00       -110.58        109.33          0.00        -77.21
  1.49        146.94          0.00        -84.26        168.77         -0.00       -111.43        111.01          0.00        -78.32
  1.50        147.07          0.00        -84.56        170.24          0.00       -112.27        112.70          0.00        -79.43
  1.51        147.20          0.00        -84.87        171.71          0.00       -113.12        114.41          0.00        -80.56
  1.52        147.32         -0.00        -85.19        173.18          0.00       -113.97        116.13          0.00        -81.70
  1.53        147.44         -0.00        -85.52        174.66         -0.00       -114.82        117.87          0.00        -82.84
  1.54        147.56          0.00        -85.85        176.13         -0.00       -115.68        119.63          0.00        -83.99
  1.55        147.67          0.00        -86.19        177.61          0.00       -116.54        121.40          0.00        -85.15
  1.56        147.77          0.00        -86.54        179.09          0.00       -117.40        123.18          0.00        -86.32
  1.57        147.88          0.00        -86.88        180.56          0.00       -118.27        124.98          0.00        -87.50
  1.58        147.98          0.00        -87.23        182.04          0.00       -119.14        126.79          0.00        -88.69
  1.59        148.09          0.00        -87.58        183.52          0.00       -120.01        128.62          0.00        -89.89
  1.60        148.20          0.00        -87.92        185.01          0.00       -120.89        130.46          0.00        -91.09
  1.61        148.30          0.00        -88.27        186.49          0.00       -121.77        132.32          0.00        -92.30
  1.62        148.41          0.00        -88.61        187.97          0.00       -122.66        134.19          0.00        -93.53
  1.63        148.53          0.00        -88.94        189.46          0.00       -123.54        136.08          0.00        -94.76
  1.64        148.65          0.00        -89.26        190.94          0.00       -124.43        137.98          0.00        -96.00
  1.65        148.78          0.00        -89.58        192.43          0.00       -125.33        139.90          0.00        -97.24
  1.66        148.91          0.00        -89.88        193.92          0.00       -126.23        141.83          0.00        -98.50
  1.67        149.05          0.00        -90.17        195.41          0.00       -127.13        143.78          0.00        -99.77
  1.68        149.21          0.00        -90.45        196.90          0.00       -128.03        145.74          0.00       -101.05
  1.69        149.37          0.00        -90.71        198.39          0.00       -128.94        147.71          0.00       -102.33
  1.70        149.54          0.00        -90.95        199.89          0.00       -129.84        149.71          0.00       -103.62
  1.71        149.73          0.00        -91.18        201.38          0.00       -130.75        151.71          0.00       -104.93
  1.72        149.93          0.00        -91.39        202.88          0.00       -131.67        153.73          0.00       -106.24
  1.73        150.14          0.00        -91.57        204.38          0.00       -132.58        155.77          0.00       -107.56
  1.74        150.37          0.00        -91.74        205.88          0.00       -133.50        157.82          0.00       -108.89
  1.75        150.61          0.00        -91.89        207.39          0.00       -134.42        159.89          0.00       -110.23
  1.76        150.87          0.00        -92.01        208.90          0.00       -135.34        161.97          0.00       -111.58
  1.77        151.14          0.00        -92.11        210.41          0.00       -136.26        164.07          0.00       -112.94
  1.78        151.43          0.00        -92.19        211.92          0.00       -137.18        166.18          0.00       -114.30
  1.79        151.73          0.00        -92.24        213.44          0.00       -138.10        168.30          0.00       -115.68
  1.80        152.05          0.00        -92.27        214.95          0.00       -139.02        170.45          0.00       -117.07
  1.81        152.38          0.00        -92.28        216.48          0.00       -139.95        172.60          0.00       -118.46
  1.82        152.73          0.00        -92.27        218.00          0.00       -140.87        174.78          0.00       -119.86
  1.83        153.09          0.00        -92.24        219.53          0.00       -141.79        176.96          0.00       -121.28
  1.84        153.47          0.00        -92.19        221.06          0.00       -142.71        179.17          0.00       -122.70
  1.85        153.85          0.00        -92.12        222.60          0.00       -143.63        181.38          0.00       -124.13
  1.86        154.25          0.00        -92.03        224.14          0.00       -144.56        183.62          0.00       -125.57
  1.87        154.66          0.00        -91.93        225.69          0.00       -145.48        185.87          0.00       -127.02
  1.88        155.07          0.00        -91.81        227.23          0.00       -146.39        188.13          0.00       -128.48
  1.89        155.52          0.00        -91.64        228.79          0.00       -147.31        190.41          0.00       -129.95
  1.90        155.92          0.00        -91.49        230.34          0.00       -148.23        192.71          0.00       -131.43
  1.91        156.32          0.00        -91.33        231.91          0.00       -149.14        195.02          0.00       -132.92
  1.92        156.72          0.00        -91.18        233.47          0.00       -150.05        197.35          0.00       -134.41
  1.93        157.12          0.00        -91.02        235.04          0.00       -150.96        199.69          0.00       -135.92
  1.94        157.52          0.00        -90.87        236.61          0.00       -151.87        202.05          0.00       -137.43
  1.95        157.91          0.00        -90.72        238.19          0.00       -152.78        204.42          0.00       -138.95
  1.96        158.29         -0.00        -90.59        239.77          0.00       -153.69        206.81          0.00       -140.49
  1.97        158.67          0.00        -90.46        241.36          0.00       -154.59        209.22          0.00       -142.03
  1.98        159.03         -0.00        -90.35        242.94         -0.00       -155.50        211.64          0.00       -143.58
  1.99        159.38          0.00        -90.25        244.54          0.00       -156.40        214.07          0.00       -145.14
  2.00        159.73         -0.00        -90.17        246.13         -0.00       -157.30        216.53          0.00       -146.71
  2.01        160.08          0.00        -90.12        247.73          0.00       -158.20        219.00          0.00       -148.28
  2.02        160.41         -0.00        -90.09        249.33         -0.00       -159.11        221.48          0.00       -149.87
  2.03        160.73          0.00        -90.08        250.94          0.00       -160.01        223.98          0.00       -151.47
  2.04        161.04         -0.00        -90.09        252.55         -0.00       -160.91        226.50          0.00       -153.07
  2.05        161.33          0.00        -90.13        254.16          0.00       -161.81        229.03          0.00       -154.68
  2.06        161.60         -0.00        -90.19        255.77         -0.00       -162.71        231.58          0.00       -156.31
  2.07        161.86         -0.00        -90.27        257.39          0.00       -163.61        234.15          0.00       -157.94
  2.08        162.11         -0.00        -90.38        259.01         -0.00       -164.52        236.73          0.00       -159.58
  2.09        162.33         -0.00        -90.51        260.63          0.00       -165.42        239.33          0.00       -161.23
  2.10        162.55         -0.00        -90.67        262.26         -0.00       -166.33        241.94          0.00       -162.89
  2.11        162.74         -0.00        -90.84        263.88          0.00       -167.23        244.58          0.00       -164.56
  2.12        162.93         -0.00        -91.04        265.51         -0.00       -168.14        247.22          0.00       -166.23
  2.13        163.10         -0.00        -91.25        267.14          0.00       -169.05        249.89          0.00       -167.92
  2.14        163.25         -0.00        -91.48        268.77         -0.00       -169.97        252.57          0.00       -169.61
  2.15        163.40          0.00        -91.73        270.41         -0.00       -170.88        255.26          0.00       -171.32
  2.16        163.54          0.00        -91.99        272.04          0.00       -171.80        257.97          0.00       -173.03
  2.17        163.67          0.00        -92.27        273.68          0.00       -172.72        260.70          0.00       -174.75
  2.18        163.79         -0.00        -92.55        275.32         -0.00       -173.65        263.45          0.00       -176.49
  2.19        163.91          0.00        -92.84        276.95         -0.00       -174.57        266.21          0.00       -178.23
  2.20        164.02          0.00        -93.13        278.59          0.00       -175.50        268.99          0.00       -179.98
  2.21        164.13          0.00        -93.42        280.24          0.00       -176.44        271.78          0.00       -181.74
  2.22        164.24         -0.00        -93.72        281.88          0.00       -177.37        274.59          0.00       -183.51
  2.23        164.35         -0.00        -94.01        283.52          0.00       -178.31        277.42          0.00       -185.28
  2.24        164.46         -0.00        -94.29        285.16          0.00       -179.25        280.26          0.00       -187.07
  2.25        164.58         -0.00        -94.56        286.81          0.00       -180.20        283.12          0.00       -188.87
  2.26        164.70         -0.00        -94.82        288.46          0.00       -181.14        286.00          0.00       -190.68
  2.27        164.83         -0.00        -95.07        290.10          0.00       -182.09        288.89          0.00       -192.49
  2.28        164.97         -0.00        -95.30        291.75          0.00       -183.05        291.80          0.00       -194.32
  2.29        165.12         -0.00        -95.52        293.40          0.00       -184.00        294.73          0.00       -196.15
  2.30        165.28         -0.00        -95.72        295.05          0.00       -184.96        297.67          0.00       -198.00
  2.31        165.45         -0.00        -95.89        296.71          0.00       -185.91        300.63          0.00       -199.85
  2.32        165.63         -0.00        -96.05        298.36          0.00       -186.87        303.60          0.00       -201.72
  2.33        165.82         -0.00        -96.18        300.02          0.00       -187.83        306.59          0.00       -203.59
  2.34        166.03         -0.00        -96.30        301.68          0.00       -188.80        309.60          0.00       -205.47
  2.35        166.24         -0.00        -96.39        303.34          0.00       -189.76        312.63          0.00       -207.37
  2.36        166.47         -0.00        -96.45        305.01          0.00       -190.72        315.67          0.00       -209.27
  2.37        166.71         -0.00        -96.50        306.67          0.00       -191.69        318.73          0.00       -211.18
  2.38        166.97         -0.00        -96.53        308.34          0.00       -192.65        321.80          0.00       -213.10
  2.39        167.23         -0.00        -96.53        310.01          0.00       -193.62        324.89          0.00       -215.03
  2.40        167.50         -0.00        -96.52        311.68          0.00       -194.59        328.00          0.00       -216.97
  2.41        167.79         -0.00        -96.49        313.36          0.00       -195.55        331.13          0.00       -218.92
  2.42        168.08         -0.00        -96.45        315.04         -0.00       -196.52        334.27          0.00       -220.89
  2.43        168.37         -0.00        -96.39        316.72         -0.00       -197.48        337.43          0.00       -222.86
  2.44        168.67         -0.00        -96.33        318.41         -0.00       -198.44        340.60          0.00       -224.83
  2.45        168.98         -0.00        -96.25        320.10         -0.00       -199.41        343.80          0.00       -226.82
  2.46        169.28         -0.00        -96.17        321.79         -0.00       -200.37        347.01          0.00       -228.82
  2.47        169.59         -0.00        -96.08        323.48         -0.00       -201.33        350.23          0.00       -230.83
  2.48        169.89          0.00        -95.99        325.18         -0.00       -202.29        353.48          0.00       -232.85
  2.49        170.19          0.00        -95.91        326.88         -0.00       -203.25        356.74          0.00       -234.88
  2.50        170.49         -0.00        -95.82        328.58          0.00       -204.21        360.01          0.00       -236.91
  2.51        170.78          0.00        -95.75        330.29          0.00       -205.17        363.31          0.00       -238.96
  2.52        171.06         -0.00        -95.68        332.00         -0.00       -206.12        366.62          0.00       -241.02
  2.53        171.34         -0.00        -95.62        333.71         -0.00       -207.08        369.95          0.00       -243.08
  2.54        171.60          0.00        -95.58        335.42          0.00       -208.04        373.29          0.00       -245.16
  2.55        171.86          0.00        -95.55        337.14          0.00       -208.99        376.66          0.00       -247.24
  2.56        172.10         -0.00        -95.53        338.86          0.00       -209.95        380.04          0.00       -249.34
  2.57        172.33         -0.00        -95.54        340.58         -0.00       -210.90        383.43          0.00       -251.44
  2.58        172.54          0.00        -95.56        342.31          0.00       -211.86        386.85          0.00       -253.56
  2.59        172.75          0.00        -95.59        344.03          0.00       -212.81        390.28          0.00       -255.68
  2.60        172.94         -0.00        -95.65        345.76          0.00       -213.77        393.73          0.00       -257.81
  2.61        173.19         -0.00        -95.77        347.49         -0.00       -214.73        397.20          0.00       -259.96
  2.62        173.47          0.00        -95.94        349.23          0.00       -215.68        400.68          0.00       -262.11
  2.63        173.74          0.00        -96.12        350.96          0.00       -216.64        404.18          0.00       -264.27
  2.64        174.00         -0.00        -96.31        352.70          0.00       -217.61        407.70          0.00       -266.44
  2.65        174.26         -0.00        -96.52        354.44         -0.00       -218.57        411.23          0.00       -268.62
  2.66        174.50          0.00        -96.75        356.19          0.00       -219.54        414.79          0.00       -270.81
  2.67        174.74          0.00        -96.99        357.93          0.00       -220.51        418.36          0.00       -273.01
  2.68        174.98          0.00        -97.24        359.68          0.00       -221.48        421.95          0.00       -275.22
  2.69        175.21          0.00        -97.50        361.43         -0.00       -222.45        425.55          0.00       -277.44
  2.70        175.44         -0.00        -97.76        363.19          0.00       -223.43        429.17          0.00       -279.67
  2.71        175.66         -0.00        -98.03        364.94          0.00       -224.41        432.81          0.00       -281.91
  2.72        175.89         -0.00        -98.30        366.70          0.00       -225.39        436.47          0.00       -284.16
  2.73        176.12          0.00        -98.57        368.46         -0.00       -226.37        440.15          0.00       -286.42
  2.74        176.35          0.00        -98.83        370.22         -0.00       -227.36        443.84          0.00       -288.69
  2.75        176.59          0.00        -99.10        371.99          0.00       -228.35        447.55          0.00       -290.97
  2.76        176.83          0.00        -99.35        373.75          0.00       -229.34        451.28          0.00       -293.25
  2.77        177.07          0.00        -99.60        375.52          0.00       -230.34        455.03          0.00       -295.55
  2.78        177.32          0.00        -99.84        377.29          0.00       -231.33        458.79          0.00       -297.86
  2.79        177.59          0.00       -100.07        379.07          0.00       -232.33        462.57          0.00       -300.18
  2.80        177.85          0.00       -100.29        380.85          0.00       -233.33        466.37          0.00       -302.51
  2.81        178.13          0.00       -100.49        382.63          0.00       -234.34        470.19          0.00       -304.85
  2.82        178.42          0.00       -100.68        384.41          0.00       -235.34        474.03          0.00       -307.19
  2.83        178.72          0.00       -100.86        386.19          0.00       -236.35        477.88          0.00       -309.55
  2.84        179.03          0.00       -101.03        387.98          0.00       -237.36        481.75          0.00       -311.92
  2.85        179.34          0.00       -101.18        389.78          0.00       -238.37        485.64          0.00       -314.30
  2.86        179.67          0.00       -101.32        391.57          0.00       -239.38        489.55          0.00       -316.69
  2.87        180.00          0.00       -101.45        393.37          0.00       -240.40        493.47          0.00       -319.09
  2.88        180.35          0.00       -101.57        395.17          0.00       -241.41        497.41          0.00       -321.50
  2.89        180.70          0.00       -101.67        396.98          0.00       -242.43        501.37          0.00       -323.92
  2.90        181.06          0.00       -101.77        398.78          0.00       -243.45        505.35          0.00       -326.35
  2.91        181.43          0.00       -101.85        400.60          0.00       -244.47        509.35          0.00       -328.78
  2.92        181.80          0.00       -101.93        402.41          0.00       -245.48        513.36          0.00       -331.23
  2.93        182.18          0.00       -102.01        404.23          0.00       -246.50        517.40          0.00       -333.69
  2.94        182.56          0.00       -102.08        406.06          0.00       -247.52        521.45          0.00       -336.16
  2.95        182.95          0.00       -102.14        407.88          0.00       -248.55        525.52          0.00       -338.65
  2.96        183.34          0.00       -102.21        409.72          0.00       -249.57        529.61          0.00       -341.14
  2.97        183.73          0.00       -102.27        411.55          0.00       -250.59        533.71          0.00       -343.64
  2.98        184.12          0.00       -102.34        413.39          0.00       -251.61        537.84          0.00       -346.15
  2.99        184.51         -0.00       -102.40        415.23          0.00       -252.64        541.98          0.00       -348.67
  3.00        184.90          0.00       -102.47        417.08          0.00       -253.66        546.14          0.00       -351.20
  3.01        184.21          0.00       -101.90        418.93          0.00       -254.68        550.32          0.00       -353.74
  3.02        183.52         -0.00       -101.32        420.76          0.00       -255.70        554.52          0.00       -356.29
  3.03        182.82         -0.00       -100.76        422.60         -0.00       -256.71        558.74          0.00       -358.86
  3.04        182.11          0.00       -100.20        424.42          0.00       -257.71        562.97          0.00       -361.43
  3.05        181.40         -0.00        -99.64        426.24          0.00       -258.71        567.23          0.00       -364.01
  3.06        180.68          0.00        -99.10        428.05          0.00       -259.71        571.50          0.00       -366.60
  3.07        179.96         -0.00        -98.56        429.85          0.00       -260.69        575.79          0.00       -369.20
  3.08        179.23         -0.00        -98.04        431.65         -0.00       -261.68        580.10          0.00       -371.82
  3.09        178.49          0.00        -97.52        433.44          0.00       -262.66        584.42          0.00       -374.44
