  t(s)     Ax(m/s^2)     Ay(m/s^2)     Az(m/s^2)       Vx(m/s)       Vy(m/s)       Vz(m/s)          X(m)          Y(m)          Z(m)
  0.00          0.00          0.00          0.00          0.00          0.00          0.00          0.00          0.00         -0.80
  0.01         75.26          0.00        -53.34          0.75          0.00         -0.53          0.00          0.00         -0.80
  0.02         75.72          0.00        -53.73          1.51          0.00         -1.07          0.02          0.00         -0.81
  0.03         76.17          0.00        -54.11          2.26          0.00         -1.61          0.03          0.00         -0.82
  0.04         76.63          0.00        -54.50          3.03          0.00         -2.15          0.06          0.00         -0.84
  0.05         77.09          0.00        -54.89          3.80          0.00         -2.70          0.09          0.00         -0.87
  0.06         77.55          0.00        -55.27          4.57          0.00         -3.25          0.14          0.00         -0.90
  0.07         78.01          0.00        -55.66          5.35          0.00         -3.80          0.19          0.00         -0.93
  0.08         78.47          0.00        -56.05          6.13          0.00         -4.36          0.24          0.00         -0.97
  0.09         78.92          0.00        -56.44          6.92          0.00         -4.92          0.31          0.00         -1.02
  0.10         79.38          0.00        -56.83          7.71          0.00         -5.49          0.38          0.00         -1.07
  0.11         79.84          0.00        -57.22          8.51          0.00         -6.06          0.46          0.00         -1.13
  0.12         80.30          0.00        -57.61          9.31          0.00         -6.63          0.55          0.00         -1.19
  0.13         80.76          0.00        -58.00         10.11          0.00         -7.21          0.65          0.00         -1.26
  0.14         81.23          0.00        -58.39         10.92          0.00         -7.79          0.75          0.00         -1.34
  0.15         81.69          0.00        -58.78         11.74          0.00         -8.38          0.87          0.00         -1.42
  0.16         82.15          0.00        -59.18         12.56          0.00         -8.97          0.99          0.00         -1.50
  0.17         82.61          0.00        -59.57         13.38          0.00         -9.56          1.12          0.00         -1.60
  0.18         83.08          0.00        -59.96         14.21          0.00        -10.16          1.26          0.00         -1.70
  0.19         83.54          0.00        -60.36         15.04          0.00        -10.76          1.40          0.00         -1.80
  0.20         84.00          0.00        -60.75         15.88          0.00        -11.37          1.56          0.00         -1.91
  0.21         84.47          0.00        -61.15         16.72          0.00        -11.98          1.72          0.00         -2.03
  0.22         84.93          0.00        -61.54         17.57          0.00        -12.59          1.89          0.00         -2.15
  0.23         85.40          0.00        -61.94         18.42          0.00        -13.21          2.07          0.00         -2.28
  0.24         85.87          0.00        -62.33         19.28          0.00        -13.83          2.26          0.00         -2.41
  0.25         86.34          0.00        -62.73         20.14          0.00        -14.45          2.46          0.00         -2.56
  0.26         86.81          0.00        -63.12         21.00          0.00        -15.08          2.66          0.00         -2.70
  0.27         87.28          0.00        -63.52         21.87          0.00        -15.72          2.88          0.00         -2.86
  0.28         87.75          0.00        -63.91         22.75          0.00        -16.35          3.10          0.00         -3.02
  0.29         88.22          0.00        -64.31         23.63          0.00        -16.99          3.33          0.00         -3.18
  0.30         88.70          0.00        -64.70         24.51          0.00        -17.64          3.57          0.00         -3.36
  0.31         89.17          0.00        -65.09         25.40          0.00        -18.29          3.82          0.00         -3.54
  0.32         89.65          0.00        -65.49         26.30          0.00        -18.94          4.08          0.00         -3.72
  0.33         90.13          0.00        -65.88         27.19          0.00        -19.60          4.35          0.00         -3.92
  0.34         90.61          0.00        -66.27         28.10          0.00        -20.26          4.62          0.00         -4.12
  0.35         91.09          0.00        -66.66         29.01          0.00        -20.92          4.91          0.00         -4.32
  0.36         91.58          0.00        -67.05         29.92          0.00        -21.59          5.20          0.00         -4.53
  0.37         92.06          0.00        -67.44         30.84          0.00        -22.27          5.51          0.00         -4.75
  0.38         92.55          0.00        -67.83         31.76          0.00        -22.94          5.82          0.00         -4.98
  0.39         93.04          0.00        -68.22         32.69          0.00        -23.62          6.14          0.00         -5.21
  0.40         93.53          0.00        -68.60         33.62          0.00        -24.31          6.48          0.00         -5.45
  0.41         94.03          0.00        -68.99         34.56          0.00        -24.99          6.82          0.00         -5.70
  0.42         94.52          0.00        -69.37         35.50          0.00        -25.69          7.17          0.00         -5.95
  0.43         95.02          0.00        -69.75         36.45          0.00        -26.38          7.53          0.00         -6.21
