     t       phi_c          AF          MA          CA          CN         CNQ         CLP         CMQ         XCP         XCG
  0.00        0.00        0.00        0.20        0.27        0.00       69.56      -18.92     -561.00        9.75        7.84
  0.01        0.00        4.69        0.20        0.32        2.31       69.56      -18.92     -561.00       10.46        7.84
  0.02        0.00        4.67        0.20        0.32        2.30       69.56      -18.92     -561.00       10.46        7.84
  0.03        0.00        4.66        0.20        0.32        2.29       69.56      -18.92     -561.00       10.46        7.84
  0.04        0.00        4.64        0.20        0.32        2.28       69.56      -18.92     -561.00       10.45        7.84
  0.05        0.00        4.63        0.20        0.32        2.27       69.56      -18.92     -561.00       10.45        7.84
  0.06        0.00        4.61        0.20        0.31        2.26       69.56      -18.92     -561.00       10.45        7.84
  0.07        0.00        4.59        0.20        0.31        2.25       69.56      -18.92     -561.00       10.45        7.84
  0.08        0.00        4.58        0.20        0.31        2.24       69.56      -18.92     -561.00       10.44        7.84
  0.09        0.00        4.56        0.20        0.31        2.23       69.56      -18.92     -561.00       10.44        7.84
  0.10        0.00        4.55        0.20        0.31        2.22       69.56      -18.92     -561.00       10.44        7.84
  0.11        0.00        4.53        0.20        0.31        2.22       69.56      -18.92     -561.00       10.44        7.83
  0.12        0.00        4.52        0.20        0.31        2.21       69.56      -18.92     -561.00       10.43        7.83
  0.13        0.00        4.50        0.20        0.31        2.20       69.56      -18.92     -561.00       10.43        7.83
  0.14        0.00        4.49        0.20        0.31        2.19       69.56      -18.92     -561.00       10.43        7.83
  0.15        0.00        4.47        0.20        0.31        2.18       69.56      -18.92     -561.00       10.43        7.83
  0.16        0.00        4.46        0.20        0.31        2.17       69.56      -18.92     -561.00       10.42        7.83
  0.17        0.00        4.44        0.20        0.31        2.16       69.56      -18.92     -561.00       10.42        7.83
  0.18        0.00        4.42        0.20        0.31        2.15       69.56      -18.92     -561.00       10.42        7.83
  0.19        0.00        4.41        0.20        0.31        2.14       69.56      -18.92     -561.00       10.42        7.83
  0.20        0.00        4.39        0.20        0.31        2.13       69.56      -18.92     -561.00       10.41        7.83
  0.21        0.00        4.37        0.20        0.31        2.12       69.56      -18.92     -561.00       10.41        7.83
  0.22        0.00        4.36        0.20        0.31        2.11       69.56      -18.92     -561.00       10.41        7.83
  0.23        0.00        4.34        0.20        0.31        2.10       69.56      -18.92     -561.00       10.41        7.82
  0.24        0.00        4.32        0.20        0.31        2.09       69.56      -18.92     -561.00       10.40        7.82
  0.25        0.00        4.30        0.20        0.31        2.08       69.56      -18.92     -561.00       10.40        7.82
  0.26        0.00        4.29        0.20        0.31        2.06       69.56      -18.92     -561.00       10.40        7.82
  0.27        0.00        4.27        0.20        0.31        2.05       69.56      -18.92     -561.00       10.40        7.82
  0.28        0.00        4.25        0.20        0.31        2.04       69.56      -18.92     -561.00       10.39        7.82
  0.29        0.00        4.23        0.20        0.31        2.03       69.56      -18.92     -561.00       10.39        7.82
  0.30        0.00        4.21        0.20        0.31        2.02       69.56      -18.92     -561.00       10.39        7.82
  0.31        0.00        4.19        0.20        0.31        2.00       69.56      -18.92     -561.00       10.38        7.82
  0.32        0.00        4.17        0.20        0.31        1.99       69.56      -18.92     -561.00       10.38        7.82
  0.33        0.00        4.14        0.20        0.31        1.98       69.56      -18.92     -561.00       10.38        7.82
  0.34        0.00        4.12        0.20        0.31        1.96       69.56      -18.92     -561.00       10.37        7.82
  0.35        0.00        4.10        0.20        0.31        1.95       69.56      -18.92     -561.00       10.37        7.81
  0.36        0.00        4.08        0.20        0.31        1.94       69.56      -18.92     -561.00       10.37        7.81
  0.37        0.00        4.05        0.20        0.31        1.92       69.56      -18.92     -561.00       10.36        7.81
  0.38        0.00        4.03        0.20        0.31        1.91       69.56      -18.92     -561.00       10.36        7.81
  0.39        0.00        4.00        0.20        0.31        1.89       69.56      -18.92     -561.00       10.35        7.81
  0.40        0.00        3.97        0.20        0.31        1.87       69.56      -18.92     -561.00       10.35        7.81
  0.41        0.00        3.95        0.20        0.31        1.86       69.56      -18.92     -561.00       10.34        7.81
  0.42        0.00        3.92        0.20        0.31        1.84       69.56      -18.92     -561.00       10.34        7.81
  0.43        0.00        3.89        0.20        0.31        1.82       69.56      -18.92     -561.00       10.34        7.81
  0.44        0.00        3.86        0.20        0.30        1.80       69.56      -18.92     -561.00       10.33        7.81
  0.45        0.00        3.82        0.20        0.30        1.78       69.56      -18.92     -561.00       10.33        7.81
  0.46        0.00        3.79        0.20        0.30        1.76       69.56      -18.92     -561.00       10.32        7.80
  0.47        0.00        3.76        0.20        0.30        1.74       69.56      -18.92     -561.00       10.32        7.80
  0.48        0.00        3.72        0.20        0.30        1.72       69.56      -18.92     -561.00       10.31        7.80
  0.49        0.00        3.69        0.20        0.30        1.70       69.56      -18.92     -561.00       10.30        7.80
  0.50        0.00        3.65        0.20        0.30        1.68       69.56      -18.92     -561.00       10.30        7.80
  0.51        0.00        3.61        0.20        0.30        1.65       69.56      -18.92     -561.00       10.29        7.80
  0.52        0.00        3.57        0.20        0.30        1.63       69.56      -18.92     -561.00       10.29        7.80
  0.53        0.00        3.53        0.20        0.30        1.60       69.56      -18.92     -561.00       10.28        7.80
  0.54        0.00        3.49        0.20        0.30        1.58       69.56      -18.92     -561.00       10.27        7.80
  0.55        0.00        3.44        0.20        0.30        1.55       69.56      -18.92     -561.00       10.27        7.80
  0.56        0.00        3.40        0.20        0.30        1.52       69.56      -18.92     -561.00       10.26        7.79
  0.57        0.00        3.35        0.20        0.30        1.49       69.56      -18.92     -561.00       10.25        7.79
  0.58        0.00        3.30        0.20        0.30        1.46       69.56      -18.92     -561.00       10.24        7.79
  0.59        0.00        3.25        0.20        0.30        1.43       69.56      -18.92     -561.00       10.24        7.79
  0.60        0.00        3.20        0.20        0.30        1.40       69.56      -18.92     -561.00       10.23        7.79
  0.61        0.00        3.15        0.20        0.30        1.37       69.56      -18.92     -561.00       10.22        7.79
  0.62        0.00        3.10        0.20        0.29        1.34       69.65      -18.93     -561.48       10.21        7.79
  0.63        0.00        3.04        0.21        0.29        1.30       69.88      -18.96     -562.76       10.20        7.79
  0.64        0.00        2.98        0.21        0.29        1.27       70.11      -18.98     -564.04       10.19        7.79
  0.65        0.00        2.93        0.21        0.29        1.23       70.35      -19.01     -565.33       10.18        7.79
  0.66        0.00        2.87        0.22        0.29        1.20       70.58      -19.03     -566.63       10.18        7.79
  0.67        0.00        2.81        0.22        0.29        1.16       70.82      -19.06     -567.93       10.17        7.78
  0.68        0.00        2.74        0.22        0.29        1.12       71.05      -19.09     -569.24       10.16        7.78
  0.69        0.00        2.68        0.23        0.29        1.08       71.29      -19.11     -570.55       10.15        7.78
  0.70        0.00        2.61        0.23        0.29        1.04       71.53      -19.14     -571.88       10.14        7.78
  0.71        0.00        2.55        0.24        0.29        1.00       71.77      -19.17     -573.21       10.13        7.78
  0.72        0.00        2.48        0.24        0.29        0.96       72.01      -19.20     -574.54       10.12        7.78
  0.73        0.00        2.41        0.24        0.29        0.92       72.26      -19.22     -575.88       10.11        7.78
  0.74        0.00        2.34        0.25        0.28        0.88       72.50      -19.25     -577.23       10.10        7.78
  0.75        0.00        2.27        0.25        0.28        0.84       72.75      -19.28     -578.59       10.08        7.78
  0.76        0.00        2.20        0.26        0.28        0.79       72.99      -19.31     -579.95       10.07        7.77
  0.77        0.00        2.12        0.26        0.28        0.75       73.24      -19.33     -581.32       10.06        7.77
  0.78        0.00        2.05        0.27        0.28        0.71       73.49      -19.36     -582.69       10.05        7.77
  0.79        0.00        1.98        0.27        0.28        0.67       73.74      -19.39     -584.07       10.04        7.77
  0.80        0.00        1.90        0.27        0.28        0.64       73.99      -19.42     -585.46       10.03        7.77
  0.81        0.00        1.82        0.28        0.28        0.62       74.24      -19.45     -586.85       10.02        7.77
  0.82        0.00        1.75        0.28        0.28        0.59       74.50      -19.48     -588.26       10.01        7.77
  0.83        0.00        1.67        0.29        0.28        0.56       74.75      -19.50     -589.66       10.00        7.77
  0.84        0.00        1.59        0.29        0.28        0.54       75.01      -19.53     -591.08        9.99        7.77
  0.85        0.00        1.51        0.29        0.28        0.51       75.27      -19.56     -592.50        9.98        7.77
  0.86        0.00        1.43        0.30        0.28        0.48       75.52      -19.59     -593.93        9.97        7.76
  0.87        0.00        1.35        0.30        0.28        0.46       75.78      -19.62     -595.36        9.96        7.76
  0.88        0.00        1.27        0.31        0.28        0.43       76.04      -19.65     -596.80        9.95        7.76
  0.89        0.00        1.19        0.31        0.28        0.40       76.31      -19.68     -598.25        9.94        7.76
  0.90        0.00        1.11        0.32        0.28        0.38       76.57      -19.71     -599.70        9.93        7.76
  0.91        0.00        1.03        0.32        0.28        0.35       76.84      -19.74     -601.16        9.92        7.76
  0.92        0.00        0.95        0.32        0.28        0.32       77.10      -19.77     -602.63        9.91        7.76
  0.93        0.00        0.86        0.33        0.28        0.29       77.37      -19.80     -604.11        9.90        7.76
  0.94        0.00        0.78        0.33        0.28        0.27       77.64      -19.83     -605.59        9.89        7.76
  0.95        0.00        0.70        0.34        0.28        0.24       77.91      -19.86     -607.08        9.88        7.75
  0.96        0.00        0.62        0.34        0.28        0.21       78.18      -19.89     -608.57        9.87        7.75
  0.97        0.00        0.54        0.35        0.28        0.18       78.45      -19.92     -610.07        9.86        7.75
  0.98        0.00        0.46        0.35        0.28        0.16       78.72      -19.95     -611.58        9.85        7.75
  0.99        0.00        0.38        0.36        0.28        0.13       79.00      -19.98     -613.09        9.84        7.75
  1.00        0.00        0.30        0.36        0.28        0.10       79.27      -20.01     -614.62        9.84        7.75
  1.01        0.00        0.22        0.37        0.28        0.07       79.55      -20.04     -616.14        9.83        7.75
  1.02        0.00        0.14        0.37        0.28        0.05       79.82      -20.08     -617.67        9.82        7.75
  1.03        0.00        0.06        0.37        0.28        0.02       80.10      -20.11     -619.20        9.81        7.74
  1.04       -3.14        0.01        0.38        0.28        0.00       80.38      -20.14     -620.74        9.81        7.74
  1.05       -3.14        0.09        0.38        0.28        0.03       80.66      -20.17     -622.27        9.82        7.74
  1.06       -3.14        0.16        0.39        0.28        0.06       80.94      -20.20     -623.81        9.83        7.74
  1.07       -3.14        0.23        0.39        0.28        0.08       81.22      -20.23     -625.36        9.84        7.74
  1.08       -3.14        0.31        0.40        0.28        0.10       81.50      -20.26     -626.90        9.85        7.74
  1.09       -3.14        0.38        0.40        0.28        0.13       81.78      -20.30     -628.45        9.86        7.74
  1.10       -3.14        0.44        0.41        0.28        0.15       82.06      -20.33     -630.00        9.87        7.74
  1.11       -3.14        0.51        0.41        0.28        0.17       82.34      -20.36     -631.55        9.87        7.74
  1.12       -3.14        0.57        0.42        0.28        0.20       82.62      -20.39     -633.11        9.88        7.73
  1.13       -3.14        0.63        0.42        0.28        0.22       82.90      -20.42     -634.67        9.89        7.73
  1.14       -3.14        0.69        0.43        0.28        0.24       83.19      -20.45     -636.23        9.90        7.73
  1.15       -3.14        0.75        0.43        0.28        0.26       83.47      -20.49     -637.79        9.91        7.73
  1.16       -3.14        0.80        0.44        0.28        0.28       83.75      -20.52     -639.36        9.91        7.73
  1.17       -3.14        0.85        0.44        0.28        0.29       84.04      -20.55     -640.93        9.92        7.73
  1.18       -3.14        0.90        0.44        0.28        0.31       84.32      -20.58     -642.50        9.93        7.73
  1.19       -3.14        0.95        0.45        0.28        0.33       84.61      -20.61     -644.08        9.93        7.73
  1.20       -3.14        0.99        0.45        0.28        0.34       84.89      -20.65     -645.65        9.94        7.73
  1.21       -3.14        1.03        0.46        0.28        0.35       85.18      -20.68     -647.23        9.95        7.72
  1.22       -3.14        1.06        0.46        0.28        0.37       85.47      -20.71     -648.82        9.95        7.72
  1.23       -3.14        1.10        0.47        0.28        0.38       85.75      -20.74     -650.40        9.96        7.72
  1.24       -3.14        1.12        0.47        0.28        0.39       86.04      -20.78     -651.99        9.96        7.72
  1.25       -3.14        1.15        0.48        0.28        0.40       86.33      -20.81     -653.58        9.96        7.72
  1.26       -3.14        1.17        0.48        0.28        0.40       86.62      -20.84     -655.18        9.97        7.72
  1.27       -3.14        1.18        0.49        0.28        0.41       86.91      -20.87     -656.77        9.97        7.72
  1.28       -3.14        1.20        0.49        0.28        0.41       87.20      -20.91     -658.37        9.97        7.72
  1.29       -3.14        1.21        0.50        0.28        0.42       87.49      -20.94     -659.98        9.97        7.71
  1.30       -3.14        1.21        0.50        0.28        0.42       97.56      -18.53     -583.54        9.97        7.71
  1.31       -3.14        1.21        0.51        0.28        0.42       97.69      -18.60     -586.41        9.98        7.71
  1.32       -3.14        1.21        0.51        0.28        0.42       97.83      -18.67     -589.28        9.98        7.71
  1.33       -3.14        1.20        0.52        0.28        0.41       97.96      -18.74     -592.16        9.98        7.71
  1.34       -3.14        1.19        0.52        0.28        0.41       98.09      -18.82     -595.04        9.98        7.71
  1.35       -3.14        1.17        0.53        0.28        0.40       98.23      -18.89     -597.93        9.98        7.71
  1.36        3.14        1.15        0.53        0.28        0.40       98.36      -18.96     -600.83        9.98        7.71
  1.37        3.14        1.12        0.54        0.28        0.39       98.50      -19.04     -603.73        9.98        7.70
  1.38        3.14        1.10        0.54        0.29        0.38       98.63      -19.11     -606.63        9.98        7.70
  1.39        3.14        1.06        0.55        0.29        0.37       98.77      -19.18     -609.54        9.98        7.70
  1.40        3.14        1.03        0.55        0.29        0.35       98.90      -19.26     -612.46        9.98        7.70
  1.41        3.14        0.99        0.56        0.29        0.34       99.04      -19.33     -615.38        9.98        7.70
  1.42        3.14        0.94        0.56        0.29        0.33       99.17      -19.40     -618.30        9.98        7.70
  1.43        3.14        0.90        0.57        0.29        0.31       99.31      -19.48     -621.23        9.98        7.70
  1.44        3.14        0.85        0.57        0.29        0.29       99.44      -19.55     -624.17        9.98        7.70
  1.45        3.14        0.79        0.57        0.29        0.27       99.58      -19.62     -627.11        9.97        7.70
  1.46       -3.14        0.74        0.58        0.29        0.26       99.72      -19.70     -630.05        9.97        7.69
  1.47        3.14        0.68        0.58        0.29        0.24       99.85      -19.77     -633.00        9.97        7.69
  1.48        3.14        0.62        0.59        0.29        0.21       99.99      -19.85     -635.96        9.97        7.69
  1.49       -3.14        0.56        0.59        0.29        0.19      100.13      -19.92     -638.92        9.97        7.69
  1.50        3.14        0.50        0.60        0.29        0.17      100.26      -20.00     -641.88        9.96        7.69
  1.51       -3.14        0.43        0.60        0.29        0.15      100.40      -20.07     -644.85        9.96        7.69
  1.52        3.14        0.37        0.61        0.29        0.13      100.54      -20.15     -647.83        9.96        7.69
  1.53        3.14        0.30        0.61        0.30        0.10      100.68      -20.22     -650.81        9.96        7.69
  1.54       -3.14        0.23        0.62        0.30        0.08      100.82      -20.30     -653.80        9.96        7.68
  1.55        3.14        0.17        0.62        0.30        0.06      100.95      -20.37     -656.79        9.96        7.68
  1.56       -3.14        0.10        0.63        0.30        0.04      101.09      -20.45     -659.78        9.96        7.68
  1.57       -3.14        0.04        0.63        0.30        0.01      101.23      -20.52     -662.78        9.96        7.68
  1.58       -0.00        0.03        0.64        0.30        0.01      101.37      -20.60     -665.79        9.96        7.68
  1.59       -0.00        0.09        0.65        0.30        0.03      101.51      -20.68     -668.80        9.97        7.68
  1.60       -0.00        0.15        0.65        0.30        0.05      101.65      -20.75     -671.82        9.98        7.68
  1.61       -0.00        0.21        0.66        0.30        0.07      101.79      -20.83     -674.84        9.98        7.68
  1.62       -0.00        0.27        0.66        0.30        0.09      101.93      -20.90     -677.86        9.99        7.67
  1.63       -0.00        0.32        0.67        0.30        0.11      102.07      -20.98     -680.89       10.00        7.67
  1.64       -0.00        0.37        0.67        0.30        0.13      102.21      -21.06     -683.93       10.01        7.67
  1.65       -0.00        0.42        0.68        0.30        0.15      102.35      -21.13     -686.97       10.01        7.67
  1.66       -0.00        0.46        0.68        0.30        0.16      102.49      -21.21     -690.02       10.02        7.67
  1.67       -0.00        0.50        0.69        0.30        0.17      102.64      -21.29     -693.07       10.03        7.67
  1.68       -0.00        0.54        0.69        0.31        0.19      102.78      -21.36     -696.12       10.03        7.67
  1.69       -0.00        0.57        0.70        0.31        0.20      102.92      -21.44     -699.19       10.04        7.67
  1.70       -0.00        0.60        0.70        0.31        0.21      103.06      -21.52     -702.25       10.04        7.66
  1.71       -0.00        0.62        0.71        0.31        0.21      103.20      -21.60     -705.32       10.05        7.66
  1.72       -0.00        0.64        0.71        0.31        0.22      103.35      -21.67     -708.40       10.05        7.66
  1.73       -0.00        0.65        0.72        0.31        0.22      103.49      -21.75     -711.48       10.05        7.66
  1.74       -0.00        0.65        0.72        0.31        0.23      103.63      -21.83     -714.57       10.06        7.66
  1.75       -0.00        0.65        0.73        0.31        0.23      103.77      -21.91     -717.66       10.06        7.66
  1.76       -0.00        0.65        0.73        0.31        0.22      103.92      -21.99     -720.76       10.06        7.66
  1.77       -0.00        0.64        0.74        0.31        0.22      104.06      -22.06     -723.86       10.07        7.66
  1.78       -0.00        0.63        0.74        0.31        0.22      104.21      -22.14     -726.96       10.07        7.66
  1.79       -0.00        0.61        0.75        0.31        0.21      104.35      -22.22     -730.08       10.07        7.65
  1.80       -0.00        0.58        0.75        0.31        0.20      104.49      -22.30     -733.19       10.08        7.65
  1.81       -0.00        0.56        0.76        0.31        0.19      104.64      -22.38     -736.32       10.08        7.65
  1.82       -0.00        0.52        0.76        0.32        0.18      104.78      -22.46     -739.44       10.08        7.65
  1.83       -0.00        0.49        0.77        0.32        0.17      104.93      -22.54     -742.58       10.08        7.65
  1.84       -0.00        0.45        0.77        0.32        0.15      105.07      -22.61     -745.71       10.09        7.65
  1.85       -0.00        0.40        0.78        0.32        0.14      105.22      -22.69     -748.86       10.09        7.65
  1.86       -0.00        0.36        0.78        0.32        0.12      105.37      -22.77     -752.00       10.09        7.65
  1.87       -0.00        0.31        0.79        0.32        0.11      105.51      -22.85     -755.16       10.09        7.64
  1.88       -0.00        0.26        0.80        0.32        0.09      105.66      -22.93     -758.32       10.09        7.64
  1.89       -0.00        0.21        0.80        0.32        0.07      191.05      -38.45    -1407.51       10.10        7.64
  1.90       -0.00        0.16        0.81        0.33        0.05      190.06      -38.32    -1402.06       10.09        7.64
  1.91        0.00        0.11        0.81        0.33        0.04      189.06      -38.20    -1396.60       10.08        7.64
  1.92        0.00        0.05        0.82        0.34        0.02      188.07      -38.07    -1391.13       10.07        7.64
  1.93        0.00        0.00        0.82        0.34        0.00      187.08      -37.94    -1385.66       10.07        7.64
  1.94       -3.14        0.04        0.83        0.34        0.01      186.08      -37.82    -1380.18       10.06        7.64
  1.95        3.14        0.09        0.83        0.35        0.03      185.08      -37.69    -1374.69       10.05        7.63
  1.96       -3.14        0.13        0.84        0.35        0.05      184.08      -37.56    -1369.19       10.04        7.63
  1.97        3.14        0.17        0.84        0.36        0.06      183.08      -37.43    -1363.69       10.04        7.63
  1.98       -3.14        0.21        0.85        0.36        0.07      182.08      -37.31    -1358.17       10.03        7.63
  1.99        3.14        0.25        0.85        0.37        0.08      181.08      -37.18    -1352.65       10.02        7.63
  2.00       -3.14        0.28        0.86        0.37        0.09      180.07      -37.05    -1347.13       10.01        7.63
  2.01        3.14        0.30        0.87        0.38        0.10      179.07      -36.92    -1341.59       10.00        7.63
  2.02       -3.14        0.32        0.87        0.38        0.11      178.06      -36.79    -1336.04        9.99        7.62
  2.03        3.14        0.34        0.88        0.39        0.11      177.05      -36.67    -1330.49        9.98        7.62
  2.04       -3.14        0.35        0.88        0.39        0.12      176.04      -36.54    -1324.93        9.97        7.62
  2.05        3.14        0.36        0.89        0.40        0.12      175.03      -36.41    -1319.36        9.96        7.62
  2.06        3.14        0.36        0.89        0.40        0.12      174.01      -36.28    -1313.78        9.96        7.62
  2.07        3.14        0.36        0.90        0.41        0.12      173.00      -36.15    -1308.19        9.95        7.62
  2.08        3.14        0.36        0.90        0.41        0.12      171.98      -36.02    -1302.60        9.94        7.62
  2.09        3.14        0.35        0.91        0.42        0.12      170.96      -35.89    -1296.99        9.93        7.62
  2.10        3.14        0.33        0.91        0.42        0.11      169.94      -35.76    -1291.38        9.92        7.61
  2.11        3.14        0.32        0.92        0.43        0.11      168.92      -35.63    -1285.76        9.92        7.61
  2.12        3.14        0.30        0.93        0.43        0.10      167.90      -35.50    -1280.13        9.91        7.61
  2.13        3.14        0.27        0.93        0.44        0.09      166.87      -35.37    -1274.50        9.91        7.61
  2.14        3.14        0.25        0.94        0.44        0.08      165.85      -35.24    -1268.85        9.90        7.61
  2.15       -3.14        0.22        0.94        0.45        0.07      164.82      -35.11    -1263.20        9.90        7.61
  2.16       -3.14        0.19        0.95        0.45        0.06      163.79      -34.98    -1257.54        9.90        7.61
  2.17        3.14        0.15        0.95        0.46        0.05      162.76      -34.85    -1251.87        9.89        7.61
  2.18       -3.14        0.12        0.96        0.46        0.04      161.73      -34.72    -1246.19        9.89        7.60
  2.19       -3.14        0.09        0.96        0.47        0.03      160.70      -34.59    -1240.51        9.89        7.60
  2.20       -3.14        0.05        0.97        0.47        0.02      159.66      -34.45    -1234.81        9.89        7.60
  2.21        3.14        0.02        0.98        0.48        0.01      158.63      -34.32    -1229.11        9.89        7.60
  2.22        0.00        0.02        0.98        0.48        0.01      157.59      -34.19    -1223.40        9.88        7.60
  2.23        0.00        0.05        0.99        0.49        0.02      156.55      -34.06    -1217.68        9.87        7.60
  2.24        0.00        0.08        0.99        0.49        0.03      155.51      -33.93    -1211.96        9.86        7.60
  2.25        0.00        0.11        1.00        0.50        0.04      154.47      -33.79    -1206.23        9.84        7.60
  2.26        0.00        0.14        1.00        0.50        0.04      153.43      -33.66    -1200.49        9.83        7.59
  2.27        0.00        0.16        1.01        0.51        0.05      152.38      -33.53    -1194.74        9.82        7.59
  2.28        0.00        0.18        1.01        0.51        0.06      151.33      -33.39    -1188.98        9.81        7.59
  2.29        0.00        0.20        1.02        0.52        0.07      150.29      -33.26    -1183.22        9.79        7.59
  2.30        0.00        0.22        1.03        0.52        0.07      149.24      -33.13    -1177.45        9.78        7.59
  2.31        0.00        0.23        1.03        0.53        0.07      148.19      -32.99    -1171.67        9.77        7.59
  2.32        0.00        0.24        1.04        0.53        0.08      147.14      -32.86    -1165.88        9.76        7.59
  2.33        0.00        0.24        1.04        0.54        0.08      146.08      -32.73    -1160.09        9.75        7.59
  2.34        0.00        0.25        1.05        0.54        0.08      145.03      -32.59    -1154.29        9.74        7.58
  2.35        0.00        0.25        1.05        0.55        0.08      143.97      -32.46    -1148.48        9.73        7.58
  2.36        0.00        0.24        1.06        0.55        0.08      142.92      -32.32    -1142.66        9.73        7.58
  2.37        0.00        0.23        1.07        0.56        0.08      141.86      -32.19    -1136.84        9.72        7.58
  2.38        0.00        0.22        1.07        0.56        0.07      140.80      -32.05    -1131.01        9.72        7.58
  2.39        0.00        0.21        1.08        0.57        0.07      139.74      -31.92    -1125.17        9.71        7.58
  2.40        0.00        0.19        1.08        0.57        0.06      138.68      -31.78    -1119.33        9.71        7.58
  2.41        0.00        0.18        1.09        0.58        0.06      137.61      -31.65    -1113.47        9.71        7.57
  2.42        0.00        0.16        1.09        0.58        0.05      136.55      -31.51    -1107.61        9.71        7.57
  2.43        0.00        0.14        1.10        0.59        0.04      135.48      -31.38    -1101.75        9.71        7.57
  2.44        0.00        0.11        1.11        0.59        0.04      134.41      -31.24    -1095.87        9.71        7.57
  2.45        0.00        0.09        1.11        0.60        0.03      133.35      -31.10    -1089.99        9.71        7.57
  2.46        0.00        0.07        1.12        0.61        0.02      132.28      -30.97    -1084.11        9.71        7.57
  2.47        0.00        0.04        1.12        0.61        0.01      131.20      -30.83    -1078.21        9.71        7.57
  2.48       -0.00        0.02        1.13        0.62        0.01      130.13      -30.70    -1072.31        9.71        7.57
  2.49       -3.14        0.00        1.13        0.62        0.00      129.06      -30.56    -1066.40        9.71        7.56
  2.50       -3.14        0.03        1.14        0.63        0.01      127.98      -30.42    -1060.49        9.70        7.56
  2.51        3.14        0.05        1.15        0.63        0.01      126.91      -30.29    -1054.57        9.68        7.56
  2.52        3.14        0.07        1.15        0.64        0.02      125.83      -30.15    -1048.64        9.67        7.56
  2.53       -3.14        0.08        1.16        0.64        0.03      124.75      -30.01    -1042.70        9.65        7.56
  2.54       -3.14        0.10        1.16        0.65        0.03      123.67      -29.87    -1036.76        9.64        7.56
  2.55        3.14        0.11        1.17        0.65        0.03      122.59      -29.74    -1030.81        9.63        7.56
  2.56        3.14        0.12        1.17        0.66        0.04      121.51      -29.60    -1024.86        9.62        7.55
  2.57       -3.14        0.13        1.18        0.66        0.04      120.43      -29.46    -1018.90        9.60        7.55
  2.58       -3.14        0.14        1.19        0.67        0.04      119.34      -29.32    -1012.93        9.59        7.55
  2.59        3.14        0.14        1.19        0.67        0.04      118.26      -29.18    -1006.96        9.59        7.55
  2.60        3.14        0.14        1.20        0.68        0.04      117.17      -29.05    -1000.98        9.58        7.55
  2.61       -3.14        0.14        1.20        0.68        0.04       79.74      -25.39     -802.14        9.56        7.55
  2.62       -3.14        0.13        1.21        0.68        0.04       79.37      -25.32     -799.96        9.54        7.55
  2.63        3.14        0.12        1.22        0.67        0.04       79.00      -25.26     -797.78        9.53        7.55
  2.64        3.14        0.12        1.22        0.67        0.04       78.63      -25.19     -795.59        9.51        7.54
  2.65       -3.14        0.11        1.23        0.67        0.03       78.26      -25.12     -793.40        9.50        7.54
  2.66       -3.14        0.09        1.23        0.67        0.03       77.88      -25.05     -791.20        9.48        7.54
  2.67       -3.14        0.08        1.24        0.66        0.02       77.51      -24.98     -789.01        9.47        7.54
  2.68       -3.14        0.06        1.25        0.66        0.02       77.14      -24.91     -786.80        9.45        7.54
  2.69       -3.14        0.05        1.25        0.66        0.01       76.76      -24.84     -784.60        9.44        7.54
  2.70        3.14        0.03        1.26        0.66        0.01       76.39      -24.77     -782.39        9.43        7.54
  2.71        3.14        0.02        1.26        0.65        0.01       76.01      -24.70     -780.17        9.41        7.53
  2.72        3.14        0.00        1.27        0.65        0.00       75.63      -24.63     -777.95        9.40        7.53
  2.73       -0.00        0.01        1.27        0.65        0.00       75.25      -24.56     -775.73        9.37        7.53
  2.74       -0.00        0.03        1.28        0.64        0.01       74.88      -24.49     -773.51        9.34        7.53
  2.75       -0.00        0.04        1.29        0.64        0.01       74.50      -24.41     -771.28        9.32        7.53
  2.76       -0.00        0.06        1.29        0.64        0.02       74.12      -24.34     -769.04        9.29        7.53
  2.77       -0.00        0.07        1.30        0.64        0.02       73.74      -24.27     -766.81        9.26        7.53
  2.78       -0.00        0.08        1.30        0.63        0.02       73.36      -24.20     -764.56        9.24        7.52
  2.79       -0.00        0.09        1.31        0.63        0.03       72.97      -24.13     -762.32        9.21        7.52
  2.80       -0.00        0.10        1.32        0.63        0.03       72.59      -24.06     -760.07        9.19        7.52
  2.81       -0.00        0.10        1.32        0.63        0.03       72.21      -23.99     -757.82        9.16        7.52
  2.82       -0.00        0.11        1.33        0.62        0.03       71.83      -23.92     -755.56        9.14        7.52
  2.83       -0.00        0.11        1.34        0.62        0.03       71.44      -23.84     -753.30        9.12        7.52
  2.84       -0.00        0.11        1.34        0.62        0.03       71.06      -23.77     -751.03        9.10        7.52
  2.85       -0.00        0.11        1.35        0.62        0.03       70.67      -23.70     -748.76        9.08        7.52
  2.86       -0.00        0.11        1.35        0.61        0.03       70.28      -23.63     -746.49        9.06        7.51
  2.87       -0.00        0.11        1.36        0.61        0.03       69.90      -23.56     -744.21        9.04        7.51
  2.88       -0.00        0.10        1.37        0.61        0.03       69.51      -23.48     -741.93        9.02        7.51
  2.89       -0.00        0.10        1.37        0.61        0.03       69.12      -23.41     -739.65        9.00        7.51
  2.90       -0.00        0.09        1.38        0.60        0.03       68.73      -23.34     -737.36        8.98        7.51
  2.91       -0.00        0.08        1.38        0.60        0.02       68.34      -23.27     -735.06        8.96        7.51
