          t(sec)     p(kgf/cm^2)     TF_sea(kgf)  TF_vacuum(kgf)   dm/dt(kg/sec)
            0.00          106.70         6295.90         6564.90           24.40
            0.01          107.30         6331.83         6600.84           24.54
            0.02          107.90         6367.76         6636.77           24.68
            0.03          108.50         6403.69         6672.71           24.81
            0.04          109.10         6439.62         6708.64           24.95
            0.05          109.70         6475.55         6744.58           25.09
            0.06          110.30         6511.49         6780.52           25.23
            0.07          110.90         6547.42         6816.45           25.37
            0.08          111.50         6583.35         6852.39           25.50
            0.09          112.10         6619.28         6888.32           25.64
            0.10          112.70         6655.21         6924.26           25.78
            0.11          113.30         6691.14         6960.20           25.92
            0.12          113.90         6727.07         6996.13           26.06
            0.13          114.50         6763.00         7032.07           26.19
            0.14          115.10         6798.93         7068.00           26.33
            0.15          115.70         6834.86         7103.94           26.47
            0.16          116.30         6870.80         7139.88           26.61
            0.17          116.90         6906.73         7175.81           26.75
            0.18          117.50         6942.66         7211.75           26.88
            0.19          118.10         6978.59         7247.68           27.02
            0.20          118.70         7014.52         7283.62           27.16
            0.21          119.30         7050.45         7319.56           27.30
            0.22          119.90         7086.38         7355.49           27.44
            0.23          120.50         7122.31         7391.43           27.57
            0.24          121.10         7158.24         7427.36           27.71
            0.25          121.70         7194.17         7463.30           27.85
            0.26          122.30         7230.11         7499.24           27.99
            0.27          122.90         7266.04         7535.17           28.13
            0.28          123.50         7301.97         7571.11           28.26
            0.29          124.10         7337.90         7607.04           28.40
            0.30          124.70         7373.83         7642.98           28.54
            0.31          125.30         7409.76         7678.92           28.68
            0.32          125.90         7445.69         7714.85           28.82
            0.33          126.50         7481.62         7750.79           28.95
            0.34          127.10         7517.55         7786.72           29.09
            0.35          127.70         7553.48         7822.66           29.23
            0.36          128.30         7589.42         7858.60           29.37
            0.37          128.90         7625.35         7894.53           29.51
            0.38          129.50         7661.28         7930.47           29.64
            0.39          130.10         7697.21         7966.40           29.78
            0.40          130.70         7733.14         8002.34           29.92
            0.41          131.30         7769.07         8038.28           30.06
            0.42          131.90         7805.00         8074.21           30.20
            0.43          132.50         7840.93         8110.15           30.33
            0.44          133.10         7876.86         8146.08           30.47
            0.45          133.70         7912.79         8182.02           30.61
            0.46          134.30         7948.73         8217.96           30.75
            0.47          134.90         7984.66         8253.89           30.89
            0.48          135.50         8020.59         8289.83           31.02
            0.49          136.10         8056.52         8325.76           31.16
            0.50          136.70         8092.45         8361.70           31.30
            0.51          137.30         8128.38         8397.64           31.44
            0.52          137.90         8164.31         8433.57           31.58
            0.53          138.50         8200.24         8469.51           31.71
            0.54          139.10         8236.17         8505.44           31.85
            0.55          139.70         8272.10         8541.38           31.99
            0.56          140.30         8308.04         8577.32           32.13
            0.57          140.90         8343.97         8613.25           32.27
            0.58          141.50         8379.90         8649.19           32.40
            0.59          142.10         8415.83         8685.12           32.54
            0.60          142.70         8451.76         8721.06           32.68
            0.61          143.30         8487.69         8757.00           32.82
            0.62          143.90         8523.62         8792.93           32.96
            0.63          144.50         8559.55         8828.87           33.09
            0.64          145.10         8595.48         8864.80           33.23
            0.65          145.70         8631.41         8900.74           33.37
            0.66          146.30         8667.35         8936.68           33.51
            0.67          146.90         8703.28         8972.61           33.65
            0.68          147.50         8739.21         9008.55           33.78
            0.69          148.10         8775.14         9044.48           33.92
            0.70          148.70         8811.07         9080.42           34.06
            0.71          149.30         8847.00         9116.36           34.20
            0.72          149.90         8882.93         9152.29           34.34
            0.73          150.50         8918.86         9188.23           34.47
            0.74          151.10         8954.79         9224.16           34.61
            0.75          151.70         8990.72         9260.10           34.75
            0.76          152.30         9026.66         9296.04           34.89
            0.77          152.90         9062.59         9331.97           35.03
            0.78          153.50         9098.52         9367.91           35.16
            0.79          154.10         9134.45         9403.84           35.30
            0.80          154.70         9170.38         9439.78           35.44
            0.81          155.30         9206.31         9475.72           35.58
            0.82          155.90         9242.24         9511.65           35.72
            0.83          156.50         9278.17         9547.59           35.85
            0.84          157.10         9314.10         9583.52           35.99
            0.85          157.70         9350.03         9619.46           36.13
            0.86          158.30         9385.97         9655.40           36.27
            0.87          158.90         9421.90         9691.33           36.41
            0.88          159.50         9457.83         9727.27           36.54
            0.89          160.10         9493.76         9763.20           36.68
            0.90          160.70         9529.69         9799.14           36.82
            0.91          161.30         9565.62         9835.08           36.96
            0.92          161.90         9601.55         9871.01           37.10
            0.93          162.50         9637.48         9906.95           37.23
            0.94          163.10         9673.41         9942.88           37.37
            0.95          163.70         9709.34         9978.82           37.51
            0.96          164.30         9745.28        10014.76           37.65
            0.97          164.90         9781.21        10050.69           37.79
            0.98          165.50         9817.14        10086.63           37.92
            0.99          166.10         9853.07        10122.56           38.06
            1.00          166.70         9889.00        10158.50           38.20
            1.01          166.86         9899.30        10168.79           38.24
            1.02          167.03         9909.60        10179.09           38.28
            1.03          167.19         9919.90        10189.38           38.31
            1.04          167.36         9930.20        10199.68           38.35
            1.05          167.52         9940.50        10209.97           38.39
            1.06          167.68         9950.80        10220.26           38.43
            1.07          167.85         9961.10        10230.56           38.47
            1.08          168.01         9971.40        10240.85           38.50
            1.09          168.18         9981.70        10251.15           38.54
            1.10          168.34         9992.00        10261.44           38.58
            1.11          168.50        10002.30        10271.73           38.62
            1.12          168.67        10012.60        10282.03           38.66
            1.13          168.83        10022.90        10292.32           38.69
            1.14          169.00        10033.20        10302.62           38.73
            1.15          169.16        10043.50        10312.91           38.77
            1.16          169.32        10053.80        10323.20           38.81
            1.17          169.49        10064.10        10333.50           38.85
            1.18          169.65        10074.40        10343.79           38.88
            1.19          169.82        10084.70        10354.09           38.92
            1.20          169.98        10095.00        10364.38           38.96
            1.21          170.14        10105.30        10374.67           39.00
            1.22          170.31        10115.60        10384.97           39.04
            1.23          170.47        10125.90        10395.26           39.07
            1.24          170.64        10136.20        10405.56           39.11
            1.25          170.80        10146.50        10415.85           39.15
            1.26          170.96        10156.80        10426.14           39.19
            1.27          171.13        10167.10        10436.44           39.23
            1.28          171.29        10177.40        10446.73           39.26
            1.29          171.46        10187.70        10457.03           39.30
            1.30          171.62        10198.00        10467.32           39.34
            1.31          171.78        10208.30        10477.61           39.38
            1.32          171.95        10218.60        10487.91           39.42
            1.33          172.11        10228.90        10498.20           39.45
            1.34          172.28        10239.20        10508.50           39.49
            1.35          172.44        10249.50        10518.79           39.53
            1.36          172.60        10259.80        10529.08           39.57
            1.37          172.77        10270.10        10539.38           39.61
            1.38          172.93        10280.40        10549.67           39.64
            1.39          173.10        10290.70        10559.97           39.68
            1.40          173.26        10301.00        10570.26           39.72
            1.41          173.42        10311.30        10580.55           39.76
            1.42          173.59        10321.60        10590.85           39.80
            1.43          173.75        10331.90        10601.14           39.83
            1.44          173.92        10342.20        10611.44           39.87
            1.45          174.08        10352.50        10621.73           39.91
            1.46          174.24        10362.80        10632.02           39.95
            1.47          174.41        10373.10        10642.32           39.99
            1.48          174.57        10383.40        10652.61           40.02
            1.49          174.74        10393.70        10662.91           40.06
            1.50          174.90        10404.00        10673.20           40.10
            1.51          175.06        10414.30        10683.49           40.14
            1.52          175.23        10424.60        10693.79           40.18
            1.53          175.39        10434.90        10704.08           40.21
            1.54          175.56        10445.20        10714.38           40.25
            1.55          175.72        10455.50        10724.67           40.29
            1.56          175.88        10465.80        10734.96           40.33
            1.57          176.05        10476.10        10745.26           40.37
            1.58          176.21        10486.40        10755.55           40.40
            1.59          176.38        10496.70        10765.85           40.44
            1.60          176.54        10507.00        10776.14           40.48
            1.61          176.70        10517.30        10786.43           40.52
            1.62          176.87        10527.60        10796.73           40.56
            1.63          177.03        10537.90        10807.02           40.59
            1.64          177.20        10548.20        10817.32           40.63
            1.65          177.36        10558.50        10827.61           40.67
            1.66          177.52        10568.80        10837.90           40.71
            1.67          177.69        10579.10        10848.20           40.75
            1.68          177.85        10589.40        10858.49           40.78
            1.69          178.02        10599.70        10868.79           40.82
            1.70          178.18        10610.00        10879.08           40.86
            1.71          178.34        10620.30        10889.37           40.90
            1.72          178.51        10630.60        10899.67           40.94
            1.73          178.67        10640.90        10909.96           40.97
            1.74          178.84        10651.20        10920.26           41.01
            1.75          179.00        10661.50        10930.55           41.05
            1.76          179.16        10671.80        10940.84           41.09
            1.77          179.33        10682.10        10951.14           41.13
            1.78          179.49        10692.40        10961.43           41.16
            1.79          179.66        10702.70        10971.73           41.20
            1.80          179.82        10713.00        10982.02           41.24
            1.81          179.98        10723.30        10992.31           41.28
            1.82          180.15        10733.60        11002.61           41.32
            1.83          180.31        10743.90        11012.90           41.35
            1.84          180.48        10754.20        11023.20           41.39
            1.85          180.64        10764.50        11033.49           41.43
            1.86          180.80        10774.80        11043.78           41.47
            1.87          180.97        10785.10        11054.08           41.51
            1.88          181.13        10795.40        11064.37           41.54
            1.89          181.30        10805.70        11074.67           41.58
            1.90          181.46        10816.00        11084.96           41.62
            1.91          181.62        10826.30        11095.25           41.66
            1.92          181.79        10836.60        11105.55           41.70
            1.93          181.95        10846.90        11115.84           41.73
            1.94          182.12        10857.20        11126.14           41.77
            1.95          182.28        10867.50        11136.43           41.81
            1.96          182.44        10877.80        11146.72           41.85
            1.97          182.61        10888.10        11157.02           41.89
            1.98          182.77        10898.40        11167.31           41.92
            1.99          182.94        10908.70        11177.61           41.96
            2.00          183.10        10919.00        11187.90           42.00
            2.01          183.28        10930.62        11199.56           42.04
            2.02          183.47        10942.24        11211.23           42.09
            2.03          183.65        10953.86        11222.89           42.13
            2.04          183.84        10965.48        11234.56           42.18
            2.05          184.02        10977.10        11246.22           42.22
            2.06          184.21        10988.72        11257.89           42.27
            2.07          184.39        11000.34        11269.55           42.31
            2.08          184.58        11011.96        11281.22           42.36
            2.09          184.76        11023.58        11292.88           42.40
            2.10          184.95        11035.20        11304.55           42.45
            2.11          185.13        11046.82        11316.21           42.49
            2.12          185.32        11058.44        11327.88           42.54
            2.13          185.50        11070.06        11339.54           42.58
            2.14          185.69        11081.68        11351.21           42.63
            2.15          185.87        11093.30        11362.87           42.67
            2.16          186.06        11104.92        11374.54           42.72
            2.17          186.24        11116.54        11386.20           42.76
            2.18          186.43        11128.16        11397.87           42.81
            2.19          186.61        11139.78        11409.53           42.85
            2.20          186.80        11151.40        11421.20           42.90
            2.21          186.98        11163.02        11432.86           42.94
            2.22          187.17        11174.64        11444.53           42.99
            2.23          187.35        11186.26        11456.19           43.03
            2.24          187.54        11197.88        11467.86           43.08
            2.25          187.72        11209.50        11479.52           43.12
            2.26          187.91        11221.12        11491.19           43.17
            2.27          188.09        11232.74        11502.85           43.21
            2.28          188.28        11244.36        11514.52           43.26
            2.29          188.46        11255.98        11526.18           43.30
            2.30          188.65        11267.60        11537.85           43.35
            2.31          188.83        11279.22        11549.51           43.39
            2.32          189.02        11290.84        11561.18           43.44
            2.33          189.20        11302.46        11572.84           43.48
            2.34          189.39        11314.08        11584.51           43.53
            2.35          189.57        11325.70        11596.17           43.57
            2.36          189.76        11337.32        11607.84           43.62
            2.37          189.94        11348.94        11619.50           43.66
            2.38          190.13        11360.56        11631.17           43.71
            2.39          190.31        11372.18        11642.83           43.75
            2.40          190.50        11383.80        11654.50           43.80
            2.41          190.68        11395.42        11666.16           43.84
            2.42          190.87        11407.04        11677.83           43.89
            2.43          191.05        11418.66        11689.49           43.93
            2.44          191.24        11430.28        11701.16           43.98
            2.45          191.42        11441.90        11712.82           44.02
            2.46          191.61        11453.52        11724.49           44.07
            2.47          191.79        11465.14        11736.15           44.11
            2.48          191.98        11476.76        11747.82           44.16
            2.49          192.16        11488.38        11759.48           44.20
            2.50          192.35        11500.00        11771.15           44.25
            2.51          192.53        11511.62        11782.81           44.29
            2.52          192.72        11523.24        11794.48           44.34
            2.53          192.90        11534.86        11806.14           44.38
            2.54          193.09        11546.48        11817.81           44.43
            2.55          193.27        11558.10        11829.47           44.47
            2.56          193.46        11569.72        11841.14           44.52
            2.57          193.64        11581.34        11852.80           44.56
            2.58          193.83        11592.96        11864.47           44.61
            2.59          194.01        11604.58        11876.13           44.65
            2.60          194.20        11616.20        11887.80           44.70
            2.61          194.38        11627.82        11899.46           44.74
            2.62          194.57        11639.44        11911.13           44.79
            2.63          194.75        11651.06        11922.79           44.83
            2.64          194.94        11662.68        11934.46           44.88
            2.65          195.12        11674.30        11946.12           44.92
            2.66          195.31        11685.92        11957.79           44.97
            2.67          195.49        11697.54        11969.45           45.01
            2.68          195.68        11709.16        11981.12           45.06
            2.69          195.86        11720.78        11992.78           45.10
            2.70          196.05        11732.40        12004.45           45.15
            2.71          196.23        11744.02        12016.11           45.19
            2.72          196.42        11755.64        12027.78           45.24
            2.73          196.60        11767.26        12039.44           45.28
            2.74          196.79        11778.88        12051.11           45.33
            2.75          196.97        11790.50        12062.77           45.37
            2.76          197.16        11802.12        12074.44           45.42
            2.77          197.34        11813.74        12086.10           45.46
            2.78          197.53        11825.36        12097.77           45.51
            2.79          197.71        11836.98        12109.43           45.55
            2.80          197.90        11848.60        12121.10           45.60
            2.81          198.08        11860.22        12132.76           45.64
            2.82          198.27        11871.84        12144.43           45.69
            2.83          198.45        11883.46        12156.09           45.73
            2.84          198.64        11895.08        12167.76           45.78
            2.85          198.82        11906.70        12179.42           45.82
            2.86          199.01        11918.32        12191.09           45.87
            2.87          199.19        11929.94        12202.75           45.91
            2.88          199.38        11941.56        12214.42           45.96
            2.89          199.56        11953.18        12226.08           46.00
            2.90          199.75        11964.80        12237.75           46.05
            2.91          199.93        11976.42        12249.41           46.09
            2.92          200.12        11988.04        12261.08           46.14
            2.93          200.30        11999.66        12272.74           46.18
            2.94          200.49        12011.28        12284.41           46.23
            2.95          200.67        12022.90        12296.07           46.27
            2.96          200.86        12034.52        12307.74           46.32
            2.97          201.04        12046.14        12319.40           46.36
            2.98          201.23        12057.76        12331.07           46.41
            2.99          201.41        12069.38        12342.73           46.45
            3.00          201.60        12081.00        12354.40           46.50
            3.01          200.72        12026.84        12300.19           46.30
            3.02          199.83        11972.68        12245.97           46.11
            3.03          198.95        11918.52        12191.76           45.91
            3.04          198.06        11864.36        12137.54           45.72
            3.05          197.18        11810.20        12083.33           45.52
            3.06          196.30        11756.04        12029.12           45.32
            3.07          195.41        11701.88        11974.90           45.13
            3.08          194.53        11647.72        11920.69           44.93
            3.09          193.64        11593.56        11866.47           44.74
            3.10          192.76        11539.40        11812.26           44.54
            3.11          191.88        11485.24        11758.05           44.34
            3.12          190.99        11431.08        11703.83           44.15
            3.13          190.11        11376.92        11649.62           43.95
            3.14          189.22        11322.76        11595.40           43.76
            3.15          188.34        11268.60        11541.19           43.56
            3.16          187.46        11214.44        11486.98           43.36
            3.17          186.57        11160.28        11432.76           43.17
            3.18          185.69        11106.12        11378.55           42.97
            3.19          184.80        11051.96        11324.33           42.78
            3.20          183.92        10997.80        11270.12           42.58
            3.21          183.04        10943.64        11215.91           42.38
            3.22          182.15        10889.48        11161.69           42.19
            3.23          181.27        10835.32        11107.48           41.99
            3.24          180.38        10781.16        11053.26           41.80
            3.25          179.50        10727.00        10999.05           41.60
            3.26          178.62        10672.84        10944.84           41.40
            3.27          177.73        10618.68        10890.62           41.21
            3.28          176.85        10564.52        10836.41           41.01
            3.29          175.96        10510.36        10782.19           40.82
            3.30          175.08        10456.20        10727.98           40.62
            3.31          174.20        10402.04        10673.77           40.42
            3.32          173.31        10347.88        10619.55           40.23
            3.33          172.43        10293.72        10565.34           40.03
            3.34          171.54        10239.56        10511.12           39.84
            3.35          170.66        10185.40        10456.91           39.64
            3.36          169.78        10131.24        10402.70           39.44
            3.37          168.89        10077.08        10348.48           39.25
            3.38          168.01        10022.92        10294.27           39.05
            3.39          167.12         9968.76        10240.05           38.86
            3.40          166.24         9914.60        10185.84           38.66
            3.41          165.36         9860.44        10131.63           38.46
            3.42          164.47         9806.28        10077.41           38.27
            3.43          163.59         9752.12        10023.20           38.07
            3.44          162.70         9697.96         9968.98           37.88
            3.45          161.82         9643.80         9914.77           37.68
            3.46          160.94         9589.64         9860.56           37.48
            3.47          160.05         9535.48         9806.34           37.29
            3.48          159.17         9481.32         9752.13           37.09
            3.49          158.28         9427.16         9697.91           36.90
            3.50          157.40         9373.00         9643.70           36.70
            3.51          156.52         9318.84         9589.49           36.50
            3.52          155.63         9264.68         9535.27           36.31
            3.53          154.75         9210.52         9481.06           36.11
            3.54          153.86         9156.36         9426.84           35.92
            3.55          152.98         9102.20         9372.63           35.72
            3.56          152.10         9048.04         9318.42           35.52
            3.57          151.21         8993.88         9264.20           35.33
            3.58          150.33         8939.72         9209.99           35.13
            3.59          149.44         8885.56         9155.77           34.94
            3.60          148.56         8831.40         9101.56           34.74
            3.61          147.68         8777.24         9047.35           34.54
            3.62          146.79         8723.08         8993.13           34.35
            3.63          145.91         8668.92         8938.92           34.15
            3.64          145.02         8614.76         8884.70           33.96
            3.65          144.14         8560.60         8830.49           33.76
            3.66          143.26         8506.44         8776.28           33.56
            3.67          142.37         8452.28         8722.06           33.37
            3.68          141.49         8398.12         8667.85           33.17
            3.69          140.60         8343.96         8613.63           32.98
            3.70          139.72         8289.80         8559.42           32.78
            3.71          138.84         8235.64         8505.21           32.58
            3.72          137.95         8181.48         8450.99           32.39
            3.73          137.07         8127.32         8396.78           32.19
            3.74          136.18         8073.16         8342.56           32.00
            3.75          135.30         8019.00         8288.35           31.80
            3.76          134.42         7964.84         8234.14           31.60
            3.77          133.53         7910.68         8179.92           31.41
            3.78          132.65         7856.52         8125.71           31.21
            3.79          131.76         7802.36         8071.49           31.02
            3.80          130.88         7748.20         8017.28           30.82
            3.81          130.00         7694.04         7963.07           30.62
            3.82          129.11         7639.88         7908.85           30.43
            3.83          128.23         7585.72         7854.64           30.23
            3.84          127.34         7531.56         7800.42           30.04
            3.85          126.46         7477.40         7746.21           29.84
            3.86          125.58         7423.24         7692.00           29.64
            3.87          124.69         7369.08         7637.78           29.45
            3.88          123.81         7314.92         7583.57           29.25
            3.89          122.92         7260.76         7529.35           29.06
            3.90          122.04         7206.60         7475.14           28.86
            3.91          121.16         7152.44         7420.93           28.66
            3.92          120.27         7098.28         7366.71           28.47
            3.93          119.39         7044.12         7312.50           28.27
            3.94          118.50         6989.96         7258.28           28.08
            3.95          117.62         6935.80         7204.07           27.88
            3.96          116.74         6881.64         7149.86           27.68
            3.97          115.85         6827.48         7095.64           27.49
            3.98          114.97         6773.32         7041.43           27.29
            3.99          114.08         6719.16         6987.21           27.10
            4.00          113.20         6665.00         6933.00           26.90
            4.01          112.53         6623.85         6891.85           26.75
            4.02          111.86         6582.70         6850.70           26.60
            4.03          111.19         6541.55         6809.55           26.45
            4.04          110.52         6500.40         6768.40           26.30
            4.05          109.85         6459.25         6727.25           26.16
            4.06          109.18         6418.10         6686.10           26.01
            4.07          108.51         6376.95         6644.95           25.86
            4.08          107.84         6335.80         6603.80           25.71
            4.09          107.17         6294.65         6562.65           25.56
            4.10          106.50         6253.50         6521.50           25.41
            4.11          105.83         6212.35         6480.35           25.26
            4.12          105.16         6171.20         6439.20           25.11
            4.13          104.49         6130.05         6398.05           24.96
            4.14          103.82         6088.90         6356.90           24.81
            4.15          103.15         6047.75         6315.75           24.67
            4.16          102.48         6006.60         6274.60           24.52
            4.17          101.81         5965.45         6233.45           24.37
            4.18          101.14         5924.30         6192.30           24.22
            4.19          100.47         5883.15         6151.15           24.07
            4.20           99.80         5842.00         6110.00           23.92
            4.21           99.13         5800.85         6068.85           23.77
            4.22           98.46         5759.70         6027.70           23.62
            4.23           97.79         5718.55         5986.55           23.47
            4.24           97.12         5677.40         5945.40           23.32
            4.25           96.45         5636.25         5904.25           23.18
            4.26           95.78         5595.10         5863.10           23.03
            4.27           95.11         5553.95         5821.95           22.88
            4.28           94.44         5512.80         5780.80           22.73
            4.29           93.77         5471.65         5739.65           22.58
            4.30           93.10         5430.50         5698.50           22.43
            4.31           92.43         5389.35         5657.35           22.28
            4.32           91.76         5348.20         5616.20           22.13
            4.33           91.09         5307.05         5575.05           21.98
            4.34           90.42         5265.90         5533.90           21.83
            4.35           89.75         5224.75         5492.75           21.69
            4.36           89.08         5183.60         5451.60           21.54
            4.37           88.41         5142.45         5410.45           21.39
            4.38           87.74         5101.30         5369.30           21.24
            4.39           87.07         5060.15         5328.15           21.09
            4.40           86.40         5019.00         5287.00           20.94
            4.41           85.73         4977.85         5245.85           20.79
            4.42           85.06         4936.70         5204.70           20.64
            4.43           84.39         4895.55         5163.55           20.49
            4.44           83.72         4854.40         5122.40           20.34
            4.45           83.05         4813.25         5081.25           20.20
            4.46           82.38         4772.10         5040.10           20.05
            4.47           81.71         4730.95         4998.95           19.90
            4.48           81.04         4689.80         4957.80           19.75
            4.49           80.37         4648.65         4916.65           19.60
            4.50           79.70         4607.50         4875.50           19.45
            4.51           79.03         4566.35         4834.35           19.30
            4.52           78.36         4525.20         4793.20           19.15
            4.53           77.69         4484.05         4752.05           19.00
            4.54           77.02         4442.90         4710.90           18.85
            4.55           76.35         4401.75         4669.75           18.71
            4.56           75.68         4360.60         4628.60           18.56
            4.57           75.01         4319.45         4587.45           18.41
            4.58           74.34         4278.30         4546.30           18.26
            4.59           73.67         4237.15         4505.15           18.11
            4.60           73.00         4196.00         4464.00           17.96
            4.61           72.33         4154.85         4422.85           17.81
            4.62           71.66         4113.70         4381.70           17.66
            4.63           70.99         4072.55         4340.55           17.51
            4.64           70.32         4031.40         4299.40           17.36
            4.65           69.65         3990.25         4258.25           17.22
            4.66           68.98         3949.10         4217.10           17.07
            4.67           68.31         3907.95         4175.95           16.92
            4.68           67.64         3866.80         4134.80           16.77
            4.69           66.97         3825.65         4093.65           16.62
            4.70           66.30         3784.50         4052.50           16.47
            4.71           65.63         3743.35         4011.35           16.32
            4.72           64.96         3702.20         3970.20           16.17
            4.73           64.29         3661.05         3929.05           16.02
            4.74           63.62         3619.90         3887.90           15.87
            4.75           62.95         3578.75         3846.75           15.73
            4.76           62.28         3537.60         3805.60           15.58
            4.77           61.61         3496.45         3764.45           15.43
            4.78           60.94         3455.30         3723.30           15.28
            4.79           60.27         3414.15         3682.15           15.13
            4.80           59.60         3373.00         3641.00           14.98
            4.81           58.93         3331.85         3599.85           14.83
            4.82           58.26         3290.70         3558.70           14.68
            4.83           57.59         3249.55         3517.55           14.53
            4.84           56.92         3208.40         3476.40           14.38
            4.85           56.25         3167.25         3435.25           14.24
            4.86           55.58         3126.10         3394.10           14.09
            4.87           54.91         3084.95         3352.95           13.94
            4.88           54.24         3043.80         3311.80           13.79
            4.89           53.57         3002.65         3270.65           13.64
            4.90           52.90         2961.50         3229.50           13.49
            4.91           52.23         2920.35         3188.35           13.34
            4.92           51.56         2879.20         3147.20           13.19
            4.93           50.89         2838.05         3106.05           13.04
            4.94           50.22         2796.90         3064.90           12.89
            4.95           49.55         2755.75         3023.75           12.75
            4.96           48.88         2714.60         2982.60           12.60
            4.97           48.21         2673.45         2941.45           12.45
            4.98           47.54         2632.30         2900.30           12.30
            4.99           46.87         2591.15         2859.15           12.15
            5.00           46.20         2550.00         2818.00           12.00
            5.01           46.07         2541.83         2809.84           11.97
            5.02           45.93         2533.66         2801.68           11.94
            5.03           45.80         2525.49         2793.52           11.91
            5.04           45.66         2517.32         2785.36           11.88
            5.05           45.53         2509.15         2777.20           11.85
            5.06           45.40         2500.98         2769.04           11.81
            5.07           45.26         2492.81         2760.88           11.78
            5.08           45.13         2484.64         2752.72           11.75
            5.09           44.99         2476.47         2744.56           11.72
            5.10           44.86         2468.30         2736.40           11.69
            5.11           44.73         2460.13         2728.24           11.66
            5.12           44.59         2451.96         2720.08           11.63
            5.13           44.46         2443.79         2711.92           11.60
            5.14           44.32         2435.62         2703.76           11.57
            5.15           44.19         2427.45         2695.60           11.54
            5.16           44.06         2419.28         2687.44           11.50
            5.17           43.92         2411.11         2679.28           11.47
            5.18           43.79         2402.94         2671.12           11.44
            5.19           43.65         2394.77         2662.96           11.41
            5.20           43.52         2386.60         2654.80           11.38
            5.21           43.39         2378.43         2646.64           11.35
            5.22           43.25         2370.26         2638.48           11.32
            5.23           43.12         2362.09         2630.32           11.29
            5.24           42.98         2353.92         2622.16           11.26
            5.25           42.85         2345.75         2614.00           11.23
            5.26           42.72         2337.58         2605.84           11.19
            5.27           42.58         2329.41         2597.68           11.16
            5.28           42.45         2321.24         2589.52           11.13
            5.29           42.31         2313.07         2581.36           11.10
            5.30           42.18         2304.90         2573.20           11.07
            5.31           42.05         2296.73         2565.04           11.04
            5.32           41.91         2288.56         2556.88           11.01
            5.33           41.78         2280.39         2548.72           10.98
            5.34           41.64         2272.22         2540.56           10.95
            5.35           41.51         2264.05         2532.40           10.92
            5.36           41.38         2255.88         2524.24           10.88
            5.37           41.24         2247.71         2516.08           10.85
            5.38           41.11         2239.54         2507.92           10.82
            5.39           40.97         2231.37         2499.76           10.79
            5.40           40.84         2223.20         2491.60           10.76
            5.41           40.71         2215.03         2483.44           10.73
            5.42           40.57         2206.86         2475.28           10.70
            5.43           40.44         2198.69         2467.12           10.67
            5.44           40.30         2190.52         2458.96           10.64
            5.45           40.17         2182.35         2450.80           10.61
            5.46           40.04         2174.18         2442.64           10.57
            5.47           39.90         2166.01         2434.48           10.54
            5.48           39.77         2157.84         2426.32           10.51
            5.49           39.63         2149.67         2418.16           10.48
            5.50           39.50         2141.50         2410.00           10.45
            5.51           39.37         2133.33         2401.84           10.42
            5.52           39.23         2125.16         2393.68           10.39
            5.53           39.10         2116.99         2385.52           10.36
            5.54           38.96         2108.82         2377.36           10.33
