  t(s)       AF(deg)     apha(deg)    phi_c(deg)        V(m/s)       Cs(m/s)            Ma      mass(kg)
  1.07          0.23         -0.00          0.05        133.70        340.15          0.39        597.44
  1.08          0.31         -0.00          0.05        135.28        340.14          0.40        597.05
  1.09          0.37         -0.00          0.05        136.86        340.14          0.40        596.65
  1.10          0.44         -0.00          0.05        138.44        340.14          0.41        596.26
  1.11          0.51         -0.00          0.05        140.02        340.13          0.41        595.86
  1.12          0.57         -0.00          0.05        141.61        340.13          0.42        595.46
  1.13          0.63         -0.00          0.05        143.20        340.13          0.42        595.07
  1.14          0.69         -0.00          0.05        144.79        340.12          0.43        594.67
  1.15          0.75         -0.00          0.05        146.38        340.12          0.43        594.27
  1.16          0.80         -0.00          0.05        147.98        340.12          0.44        593.88
  1.17          0.85         -0.00          0.05        149.58        340.11          0.44        593.48
  1.18          0.90         -0.00          0.05        151.18        340.11          0.44        593.08
  1.19          0.95         -0.00          0.05        152.79        340.11          0.45        592.68
  1.20          0.99         -0.00          0.05        154.39        340.10          0.45        592.28
  1.21          1.03         -0.00          0.05        156.01        340.10          0.46        591.88
  1.22          1.06         -0.00          0.05        157.62        340.10          0.46        591.48
  1.23          1.10         -0.00          0.05        159.24        340.09          0.47        591.08
  1.24          1.12         -0.00          0.05        160.85        340.09          0.47        590.68
  1.25          1.15         -0.00          0.05        162.48        340.09          0.48        590.28
  1.26          1.17         -0.00          0.05        164.10        340.08          0.48        589.88
  1.27          1.18         -0.00          0.05        165.73        340.08          0.49        589.47
  1.28          1.20         -0.00          0.05        167.36        340.08          0.49        589.07
  1.29          1.21         -0.00          0.05        168.99        340.07          0.50        588.67
  1.30          1.21         -0.00          0.05        170.63        340.07          0.50        588.26
  1.31          1.21         -0.00          0.05        172.26        340.07          0.51        587.86
  1.32          1.21         -0.00          0.05        173.91        340.06          0.51        587.46
  1.33          1.20         -0.00          0.05        175.55        340.06          0.52        587.05
  1.34          1.19         -0.00          0.05        177.20        340.05          0.52        586.65
  1.35          1.17         -0.00          0.05        178.85        340.05          0.53        586.24
  1.36          1.15         -0.00         -0.05        180.50        340.05          0.53        585.84
  1.37          1.12         -0.00         -0.05        182.15        340.04          0.54        585.43
  1.38          1.10         -0.00         -0.05        183.81        340.04          0.54        585.02
  1.39          1.06         -0.00         -0.05        185.47        340.03          0.55        584.62
  1.40          1.03         -0.00         -0.05        187.14        340.03          0.55        584.21
  1.41          0.99         -0.00         -0.05        188.80        340.03          0.56        583.80
  1.42          0.94         -0.00         -0.05        190.47        340.02          0.56        583.39
  1.43          0.90         -0.00         -0.05        192.14        340.02          0.57        582.99
  1.44          0.85         -0.00         -0.05        193.82        340.01          0.57        582.58
  1.45          0.79         -0.00         -0.05        195.50        340.01          0.57        582.17
  1.46          0.74         -0.00         -0.05        197.18        340.01          0.58        581.76
  1.47          0.68         -0.00          0.05        198.86        340.00          0.58        581.35
  1.48          0.62         -0.00          0.05        200.55        340.00          0.59        580.94
  1.49          0.56         -0.00         -0.05        202.24        339.99          0.59        580.53
  1.50          0.50         -0.00         -0.05        203.93        339.99          0.60        580.12
  1.51          0.43         -0.00         -0.05        205.62        339.98          0.60        579.70
  1.52          0.37         -0.00          0.05        207.32        339.98          0.61        579.29
  1.53          0.30         -0.00          0.05        209.02        339.98          0.61        578.88
  1.54          0.23         -0.00         -0.05        210.72        339.97          0.62        578.47
  1.55          0.17         -0.00         -0.05        212.43        339.97          0.62        578.05
  1.56          0.10         -0.00         -0.05        214.14        339.96          0.63        577.64
  1.57          0.04         -0.00         -0.05        215.85        339.96          0.63        577.23
  1.58          0.03          0.00         -0.00        217.56        339.95          0.64        576.81
  1.59          0.09          0.00         -0.00        219.28        339.95          0.65        576.40
  1.60          0.15          0.00         -0.00        221.00        339.94          0.65        575.98
  1.61          0.21          0.00         -0.00        222.72        339.94          0.66        575.57
  1.62          0.27          0.00         -0.00        224.45        339.93          0.66        575.15
  1.63          0.32          0.00         -0.00        226.18        339.93          0.67        574.74
  1.64          0.37          0.00         -0.00        227.91        339.93          0.67        574.32
  1.65          0.42          0.00         -0.00        229.64        339.92          0.68        573.90
  1.66          0.46          0.00         -0.00        231.38        339.92          0.68        573.48
  1.67          0.50          0.00         -0.00        233.12        339.91          0.69        573.07
  1.68          0.54          0.00         -0.00        234.86        339.91          0.69        572.65
  1.69          0.57          0.00         -0.00        236.61        339.90          0.70        572.23
  1.70          0.60          0.00         -0.00        238.36        339.90          0.70        571.81
  1.71          0.62          0.00         -0.00        240.11        339.89          0.71        571.39
  1.72          0.64          0.00         -0.00        241.86        339.89          0.71        570.97
  1.73          0.65          0.00         -0.00        243.62        339.88          0.72        570.55
  1.74          0.65          0.00         -0.00        245.38        339.88          0.72        570.13
  1.75          0.65          0.00         -0.00        247.14        339.87          0.73        569.71
  1.76          0.65          0.00         -0.00        248.90        339.87          0.73        569.29
  1.77          0.64          0.00         -0.00        250.67        339.86          0.74        568.87
  1.78          0.63          0.00         -0.00        252.44        339.86          0.74        568.45
  1.79          0.61          0.00         -0.00        254.22        339.85          0.75        568.02
  1.80          0.58          0.00         -0.00        255.99        339.84          0.75        567.60
  1.81          0.56          0.00         -0.00        257.77        339.84          0.76        567.18
  1.82          0.52          0.00         -0.00        259.55        339.83          0.76        566.75
  1.83          0.49          0.00         -0.00        261.34        339.83          0.77        566.33
  1.84          0.45          0.00         -0.00        263.13        339.82          0.77        565.91
  1.85          0.40          0.00         -0.00        264.92        339.82          0.78        565.48
  1.86          0.36          0.00         -0.00        266.71        339.81          0.78        565.06
  1.87          0.31          0.00         -0.00        268.51        339.81          0.79        564.63
  1.88          0.26          0.00         -0.00        270.31        339.80          0.80        564.20
  1.89          0.21          0.00         -0.00        272.11        339.79          0.80        563.78
  1.90          0.16          0.00         -0.00        273.92        339.79          0.81        563.35
  1.91          0.11          0.00          0.00        275.72        339.78          0.81        562.92
  1.92          0.05          0.00          0.00        277.53        339.78          0.82        562.50
  1.93          0.00          0.00          0.00        279.35        339.77          0.82        562.07
  1.94          0.04         -0.00         -0.05        281.16        339.77          0.83        561.64
  1.95          0.09         -0.00         -0.05        282.98        339.76          0.83        561.21
  1.96          0.13         -0.00          0.05        284.80        339.75          0.84        560.78
  1.97          0.17         -0.00         -0.05        286.62        339.75          0.84        560.35
  1.98          0.21         -0.00          0.05        288.45        339.74          0.85        559.92
  1.99          0.25         -0.00         -0.05        290.27        339.74          0.85        559.49
  2.00          0.28         -0.00          0.05        292.10        339.73          0.86        559.06
  2.01          0.30         -0.00         -0.05        293.94        339.72          0.87        558.63
  2.02          0.32         -0.00          0.05        295.77        339.72          0.87        558.20
  2.03          0.34         -0.00         -0.05        297.61        339.71          0.88        557.77
  2.04          0.35         -0.00          0.05        299.45        339.71          0.88        557.34
  2.05          0.36         -0.00         -0.05        301.30        339.70          0.89        556.90
  2.06          0.36         -0.00          0.05        303.14        339.69          0.89        556.47
  2.07          0.36         -0.00          0.05        304.99        339.69          0.90        556.04
  2.08          0.36         -0.00          0.05        306.84        339.68          0.90        555.60
  2.09          0.35         -0.00          0.05        308.70        339.67          0.91        555.17
  2.10          0.33         -0.00          0.05        310.55        339.67          0.91        554.73
  2.11          0.32         -0.00          0.05        312.41        339.66          0.92        554.30
  2.12          0.30         -0.00          0.05        314.28        339.66          0.93        553.86
  2.13          0.27         -0.00          0.05        316.14        339.65          0.93        553.42
  2.14          0.25         -0.00          0.05        318.01        339.64          0.94        552.99
  2.15          0.22         -0.00         -0.05        319.88        339.64          0.94        552.55
  2.16          0.19         -0.00         -0.05        321.75        339.63          0.95        552.11
  2.17          0.15         -0.00         -0.05        323.63        339.62          0.95        551.67
  2.18          0.12         -0.00          0.05        325.50        339.62          0.96        551.23
  2.19          0.09         -0.00         -0.05        327.38        339.61          0.96        550.79
  2.20          0.05         -0.00         -0.05        329.27        339.60          0.97        550.35
  2.21          0.02         -0.00         -0.05        331.15        339.60          0.98        549.91
  2.22          0.02          0.00          0.00        333.04        339.59          0.98        549.47
  2.23          0.05          0.00          0.00        334.93        339.58          0.99        549.03
  2.24          0.08          0.00          0.00        336.82        339.58          0.99        548.59
  2.25          0.11          0.00          0.00        338.72        339.57          1.00        548.15
  2.26          0.14          0.00          0.00        340.62        339.56          1.00        547.71
  2.27          0.16          0.00          0.00        342.52        339.55          1.01        547.26
  2.28          0.18          0.00          0.00        344.42        339.55          1.01        546.82
  2.29          0.20          0.00          0.00        346.33        339.54          1.02        546.37
  2.30          0.22          0.00          0.00        348.23        339.53          1.03        545.93
  2.31          0.23          0.00          0.00        350.14        339.53          1.03        545.49
  2.32          0.24          0.00          0.00        352.05        339.52          1.04        545.04
  2.33          0.24          0.00          0.00        353.97        339.51          1.04        544.59
  2.34          0.25          0.00          0.00        355.89        339.50          1.05        544.15
  2.35          0.25          0.00          0.00        357.81        339.50          1.05        543.70
  2.36          0.24          0.00          0.00        359.73        339.49          1.06        543.25
  2.37          0.23          0.00          0.00        361.65        339.48          1.07        542.81
  2.38          0.22          0.00          0.00        363.58        339.48          1.07        542.36
  2.39          0.21          0.00          0.00        365.51        339.47          1.08        541.91
  2.40          0.19          0.00          0.00        367.44        339.46          1.08        541.46
  2.41          0.18          0.00          0.00        369.37        339.45          1.09        541.01
  2.42          0.16          0.00          0.00        371.31        339.45          1.09        540.56
  2.43          0.14          0.00          0.00        373.24        339.44          1.10        540.11
  2.44          0.11          0.00          0.00        375.18        339.43          1.11        539.66
  2.45          0.09          0.00          0.00        377.13        339.42          1.11        539.21
  2.46          0.07          0.00          0.00        379.07        339.41          1.12        538.76
  2.47          0.04          0.00          0.00        381.02        339.41          1.12        538.30
  2.48          0.02          0.00         -0.00        382.96        339.40          1.13        537.85
  2.49          0.00         -0.00         -0.05        384.92        339.39          1.13        537.40
  2.50          0.03         -0.00          0.05        386.87        339.38          1.14        536.94
  2.51          0.05         -0.00         -0.05        388.82        339.38          1.15        536.49
  2.52          0.07         -0.00          0.05        390.78        339.37          1.15        536.04
  2.53          0.08         -0.00          0.05        392.74        339.36          1.16        535.58
  2.54          0.10         -0.00         -0.05        394.70        339.35          1.16        535.13
  2.55          0.11         -0.00         -0.05        396.66        339.34          1.17        534.67
  2.56          0.12         -0.00          0.05        398.63        339.34          1.17        534.21
  2.57          0.13         -0.00          0.05        400.60        339.33          1.18        533.76
  2.58          0.14         -0.00         -0.05        402.56        339.32          1.19        533.30
  2.59          0.14         -0.00         -0.05        404.54        339.31          1.19        532.84
  2.60          0.14         -0.00          0.05        406.51        339.30          1.20        532.38
  2.61          0.14         -0.00          0.05        408.48        339.29          1.20        531.92
  2.62          0.13         -0.00         -0.05        410.46        339.29          1.21        531.46
  2.63          0.12         -0.00         -0.05        412.44        339.28          1.22        531.01
  2.64          0.12         -0.00          0.05        414.43        339.27          1.22        530.55
  2.65          0.11         -0.00          0.05        416.42        339.26          1.23        530.08
  2.66          0.09         -0.00         -0.05        418.41        339.25          1.23        529.62
  2.67          0.08         -0.00         -0.05        420.40        339.24          1.24        529.16
  2.68          0.06         -0.00         -0.05        422.40        339.24          1.25        528.70
  2.69          0.05         -0.00         -0.05        424.40        339.23          1.25        528.24
  2.70          0.03         -0.00          0.05        426.41        339.22          1.26        527.77
  2.71          0.02         -0.00          0.05        428.42        339.21          1.26        527.31
  2.72          0.00         -0.00          0.05        430.43        339.20          1.27        526.85
  2.73          0.01          0.00         -0.00        432.44        339.19          1.27        526.38
  2.74          0.03          0.00         -0.00        434.46        339.18          1.28        525.92
  2.75          0.04          0.00         -0.00        436.48        339.18          1.29        525.45
  2.76          0.06          0.00         -0.00        438.51        339.17          1.29        524.99
  2.77          0.07          0.00         -0.00        440.54        339.16          1.30        524.52
  2.78          0.08          0.00         -0.00        442.57        339.15          1.30        524.06
  2.79          0.09          0.00         -0.00        444.60        339.14          1.31        523.59
  2.80          0.10          0.00         -0.00        446.64        339.13          1.32        523.12
  2.81          0.10          0.00         -0.00        448.68        339.12          1.32        522.65
  2.82          0.11          0.00         -0.00        450.73        339.11          1.33        522.18
  2.83          0.11          0.00         -0.00        452.78        339.10          1.34        521.72
  2.84          0.11          0.00         -0.00        454.83        339.09          1.34        521.25
  2.85          0.11          0.00         -0.00        456.89        339.09          1.35        520.78
  2.86          0.11          0.00         -0.00        458.95        339.08          1.35        520.31
  2.87          0.11          0.00         -0.00        461.01        339.07          1.36        519.84
  2.88          0.10          0.00         -0.00        463.08        339.06          1.37        519.36
  2.89          0.10          0.00         -0.00        465.15        339.05          1.37        518.89
  2.90          0.09          0.00         -0.00        467.22        339.04          1.38        518.42
  2.91          0.08          0.00         -0.00        469.30        339.03          1.38        517.95
  2.92          0.07          0.00         -0.00        471.38        339.02          1.39        517.47
  2.93          0.06          0.00         -0.00        473.46        339.01          1.40        517.00
  2.94          0.05          0.00         -0.00        475.55        339.00          1.40        516.53
  2.95          0.04          0.00         -0.00        477.64        338.99          1.41        516.05
  2.96          0.03          0.00         -0.00        479.74        338.98          1.42        515.58
  2.97          0.02          0.00         -0.00        481.84        338.97          1.42        515.10
  2.98          0.01          0.00         -0.00        483.94        338.96          1.43        514.63
  2.99          0.00         -0.00          0.05        486.05        338.95          1.43        514.15
  3.00          0.01         -0.00         -0.05        488.16        338.94          1.44        513.67
  3.01          0.02         -0.00         -0.05        490.27        338.93          1.45        513.20
  3.02          0.03         -0.00          0.05        492.37        338.92          1.45        512.72
  3.03          0.04         -0.00          0.05        494.46        338.91          1.46        512.25
  3.04          0.04         -0.00         -0.05        496.54        338.90          1.47        511.78
  3.05          0.05         -0.00          0.05        498.61        338.89          1.47        511.31
  3.06          0.06         -0.00         -0.05        500.67        338.88          1.48        510.85
  3.07          0.06         -0.00          0.05        502.73        338.87          1.48        510.38
  3.08          0.06         -0.00          0.05        504.77        338.86          1.49        509.92
  3.09          0.06         -0.00         -0.05        506.81        338.85          1.50        509.46
  3.10          0.07         -0.00          0.05        508.84        338.84          1.50        509.00
  3.11          0.07         -0.00         -0.05        510.85        338.83          1.51        508.55
  3.12          0.06         -0.00          0.05        512.86        338.82          1.51        508.09
  3.13          0.06         -0.00          0.05        514.86        338.81          1.52        507.64
  3.14          0.06         -0.00         -0.05        516.85        338.80          1.53        507.19
  3.15          0.06         -0.00          0.05        518.83        338.79          1.53        506.75
  3.16          0.05         -0.00         -0.05        520.80        338.78          1.54        506.30
  3.17          0.05         -0.00          0.05        522.76        338.77          1.54        505.86
  3.18          0.04         -0.00          0.05        524.72        338.76          1.55        505.41
  3.19          0.04         -0.00         -0.05        526.66        338.75          1.55        504.97
  3.20          0.03         -0.00          0.05        528.59        338.74          1.56        504.54
  3.21          0.03         -0.00          0.05        530.51        338.73          1.57        504.10
  3.22          0.02         -0.00         -0.05        532.43        338.72          1.57        503.67
  3.23          0.01         -0.00         -0.05        534.33        338.71          1.58        503.23
  3.24          0.00         -0.00          0.05        536.22        338.70          1.58        502.81
  3.25          0.00          0.00          0.00        538.11        338.69          1.59        502.38
  3.26          0.01          0.00          0.00        539.98        338.68          1.59        501.95
  3.27          0.02          0.00          0.00        541.85        338.67          1.60        501.53
  3.28          0.02          0.00          0.00        543.70        338.65          1.61        501.11
  3.29          0.03          0.00          0.00        545.55        338.64          1.61        500.69
  3.30          0.03          0.00          0.00        547.38        338.63          1.62        500.27
  3.31          0.04          0.00          0.00        549.21        338.62          1.62        499.85
  3.32          0.04          0.00          0.00        551.02        338.61          1.63        499.44
  3.33          0.05          0.00          0.00        552.83        338.60          1.63        499.03
  3.34          0.05          0.00          0.00        554.62        338.59          1.64        498.62
  3.35          0.05          0.00          0.00        556.41        338.58          1.64        498.21
  3.36          0.06          0.00          0.00        558.19        338.57          1.65        497.81
  3.37          0.06          0.00          0.00        559.95        338.56          1.65        497.40
  3.38          0.06          0.00          0.00        561.71        338.55          1.66        497.00
  3.39          0.06          0.00          0.00        563.45        338.53          1.66        496.60
  3.40          0.06          0.00          0.00        565.19        338.52          1.67        496.20
  3.41          0.06          0.00         -0.00        566.92        338.51          1.67        495.81
  3.42          0.06          0.00         -0.00        568.63        338.50          1.68        495.41
  3.43          0.05          0.00         -0.00        570.34        338.49          1.68        495.02
  3.44          0.05          0.00         -0.00        572.03        338.48          1.69        494.63
  3.45          0.05          0.00         -0.00        573.72        338.47          1.70        494.25
  3.46          0.05          0.00         -0.00        575.40        338.45          1.70        493.86
  3.47          0.04          0.00         -0.00        577.06        338.44          1.71        493.48
  3.48          0.04          0.00         -0.00        578.72        338.43          1.71        493.10
  3.49          0.03          0.00         -0.00        580.36        338.42          1.71        492.72
  3.50          0.03          0.00         -0.00        582.00        338.41          1.72        492.34
  3.51          0.03          0.00         -0.00        583.63        338.40          1.72        491.96
  3.52          0.02          0.00         -0.00        585.24        338.39          1.73        491.59
  3.53          0.02          0.00         -0.00        586.85        338.37          1.73        491.22
  3.54          0.01          0.00         -0.00        588.44        338.36          1.74        490.85
  3.55          0.01          0.00         -0.00        590.03        338.35          1.74        490.48
  3.56          0.00          0.00         -0.00        591.60        338.34          1.75        490.12
  3.57          0.00         -0.00         -0.05        593.16        338.33          1.75        489.75
  3.58          0.00         -0.00          0.05        594.72        338.32          1.76        489.39
  3.59          0.01         -0.00         -0.05        596.26        338.30          1.76        489.03
  3.60          0.01         -0.00          0.05        597.79        338.29          1.77        488.67
  3.61          0.01         -0.00          0.05        599.32        338.28          1.77        488.32
  3.62          0.02         -0.00          0.05        600.83        338.27          1.78        487.97
  3.63          0.02         -0.00          0.05        602.33        338.26          1.78        487.61
  3.64          0.02         -0.00          0.05        603.82        338.25          1.79        487.26
  3.65          0.02         -0.00          0.05        605.30        338.23          1.79        486.92
  3.66          0.02         -0.00         -0.05        606.78        338.22          1.79        486.57
  3.67          0.02         -0.00         -0.05        608.24        338.21          1.80        486.23
  3.68          0.02         -0.00         -0.05        609.69        338.20          1.80        485.89
  3.69          0.02         -0.00         -0.05        611.13        338.19          1.81        485.55
  3.70          0.02         -0.00         -0.05        612.56        338.17          1.81        485.21
  3.71          0.02         -0.00         -0.05        613.97        338.16          1.82        484.88
  3.72          0.02         -0.00          0.05        615.38        338.15          1.82        484.54
  3.73          0.02         -0.00          0.05        616.78        338.14          1.82        484.21
  3.74          0.02         -0.00          0.05        618.17        338.12          1.83        483.88
  3.75          0.02         -0.00         -0.05        619.54        338.11          1.83        483.56
  3.76          0.01         -0.00         -0.05        620.91        338.10          1.84        483.23
  3.77          0.01         -0.00          0.05        622.27        338.09          1.84        482.91
  3.78          0.01         -0.00          0.05        623.61        338.08          1.84        482.59
  3.79          0.01         -0.00         -0.05        624.95        338.06          1.85        482.27
  3.80          0.00         -0.00         -0.05        626.27        338.05          1.85        481.95
  3.81          0.00          0.00         -0.00        627.58        338.04          1.86        481.63
  3.82          0.00          0.00         -0.00        628.89        338.03          1.86        481.32
  3.83          0.01          0.00         -0.00        630.18        338.01          1.86        481.01
  3.84          0.01          0.00         -0.00        631.46        338.00          1.87        480.70
  3.85          0.01          0.00         -0.00        632.73        337.99          1.87        480.39
  3.86          0.02          0.00         -0.00        633.99        337.98          1.88        480.09
  3.87          0.02          0.00         -0.00        635.24        337.96          1.88        479.79
  3.88          0.02          0.00         -0.00        636.48        337.95          1.88        479.48
  3.89          0.02          0.00         -0.00        637.70        337.94          1.89        479.19
  3.90          0.02          0.00         -0.00        638.92        337.93          1.89        478.89
  3.91          0.03          0.00         -0.00        640.13        337.91          1.89        478.59
  3.92          0.03          0.00         -0.00        641.32        337.90          1.90        478.30
  3.93          0.03          0.00         -0.00        642.51        337.89          1.90        478.01
  3.94          0.03          0.00         -0.00        643.68        337.88          1.91        477.72
  3.95          0.03          0.00         -0.00        644.85        337.86          1.91        477.43
  3.96          0.03          0.00         -0.00        646.00        337.85          1.91        477.15
  3.97          0.03          0.00         -0.00        647.14        337.84          1.92        476.87
  3.98          0.03          0.00         -0.00        648.27        337.83          1.92        476.58
  3.99          0.03          0.00         -0.00        649.39        337.81          1.92        476.31
  4.00          0.03          0.00         -0.00        650.50        337.80          1.93        476.03
  4.01          0.03          0.00         -0.00        651.60        337.79          1.93        475.75
  4.02          0.03          0.00         -0.00        652.69        337.77          1.93        475.48
  4.03          0.03          0.00         -0.00        653.77        337.76          1.94        475.21
  4.04          0.03          0.00         -0.00        654.85        337.75          1.94        474.94
  4.05          0.03          0.00         -0.00        655.91        337.74          1.94        474.67
  4.06          0.03          0.00         -0.00        656.97        337.72          1.95        474.40
  4.07          0.03          0.00         -0.00        658.02        337.71          1.95        474.13
  4.08          0.03          0.00         -0.00        659.07        337.70          1.95        473.87
  4.09          0.02          0.00         -0.00        660.10        337.68          1.95        473.61
