  t(s)       AF(deg)     apha(deg)    phi_c(deg)        V(m/s)       Cs(m/s)            Ma      mass(kg)
  0.00          0.00          0.00          0.00          0.00          0.00          0.00        632.30
  0.01          4.69          0.00          0.00          0.92        340.29          0.20        632.05
  0.02          4.67          0.00          0.00          1.84        340.29          0.20        631.80
  0.03          4.66          0.00          0.00          2.78        340.29          0.20        631.54
  0.04          4.64          0.00          0.00          3.71        340.29          0.20        631.29
  0.05          4.63          0.00          0.00          4.66        340.29          0.20        631.03
  0.06          4.61          0.00          0.00          5.61        340.29          0.20        630.77
  0.07          4.59          0.00          0.00          6.56        340.29          0.20        630.51
  0.08          4.58          0.00          0.00          7.52        340.29          0.20        630.25
  0.09          4.56          0.00          0.00          8.49        340.29          0.20        629.99
  0.10          4.55          0.00          0.00          9.46        340.29          0.20        629.73
  0.11          4.53          0.00          0.00         10.44        340.29          0.20        629.46
  0.12          4.52          0.00          0.00         11.43        340.29          0.20        629.19
  0.13          4.50          0.00          0.00         12.42        340.29          0.20        628.93
  0.14          4.49          0.00          0.00         13.42        340.29          0.20        628.66
  0.15          4.47          0.00          0.00         14.42        340.29          0.20        628.39
  0.16          4.46          0.00          0.00         15.43        340.29          0.20        628.11
  0.17          4.44          0.00          0.00         16.44        340.29          0.20        627.84
  0.18          4.42          0.00          0.00         17.47        340.29          0.20        627.57
  0.19          4.41          0.00          0.00         18.49        340.29          0.20        627.29
  0.20          4.39          0.00          0.00         19.53        340.29          0.20        627.01
  0.21          4.37          0.00          0.00         20.57        340.29          0.20        626.73
  0.22          4.36          0.00          0.00         21.61        340.29          0.20        626.45
  0.23          4.34          0.00          0.00         22.67        340.29          0.20        626.17
  0.24          4.32          0.00          0.00         23.72        340.28          0.20        625.89
  0.25          4.30          0.00          0.00         24.79        340.28          0.20        625.60
  0.26          4.29          0.00          0.00         25.86        340.28          0.20        625.31
  0.27          4.27          0.00          0.00         26.93        340.28          0.20        625.03
  0.28          4.25          0.00          0.00         28.02        340.28          0.20        624.74
  0.29          4.23          0.00          0.00         29.10        340.28          0.20        624.45
  0.30          4.21          0.00          0.00         30.20        340.28          0.20        624.15
  0.31          4.19          0.00          0.00         31.30        340.28          0.20        623.86
  0.32          4.17          0.00          0.00         32.41        340.28          0.20        623.57
  0.33          4.14          0.00          0.00         33.52        340.28          0.20        623.27
  0.34          4.12          0.00          0.00         34.64        340.28          0.20        622.97
  0.35          4.10          0.00          0.00         35.77        340.28          0.20        622.67
  0.36          4.08          0.00          0.00         36.90        340.28          0.20        622.37
  0.37          4.05          0.00          0.00         38.04        340.28          0.20        622.07
  0.38          4.03          0.00          0.00         39.18        340.27          0.20        621.77
  0.39          4.00          0.00          0.00         40.33        340.27          0.20        621.46
  0.40          3.97          0.00          0.00         41.49        340.27          0.20        621.16
  0.41          3.95          0.00          0.00         42.65        340.27          0.20        620.85
  0.42          3.92          0.00          0.00         43.82        340.27          0.20        620.54
  0.43          3.89          0.00          0.00         45.00        340.27          0.20        620.23
  0.44          3.86          0.00          0.00         46.18        340.27          0.20        619.92
  0.45          3.82          0.00          0.00         47.37        340.27          0.20        619.60
  0.46          3.79          0.00          0.00         48.56        340.27          0.20        619.29
  0.47          3.76          0.00          0.00         49.76        340.27          0.20        618.97
  0.48          3.72          0.00          0.00         50.97        340.26          0.20        618.66
  0.49          3.69          0.00          0.00         52.18        340.26          0.20        618.34
  0.50          3.65          0.00          0.00         53.40        340.26          0.20        618.02
  0.51          3.61          0.00          0.00         54.63        340.26          0.20        617.69
  0.52          3.57          0.00          0.00         55.86        340.26          0.20        617.37
  0.53          3.53          0.00          0.00         57.10        340.26          0.20        617.05
  0.54          3.49          0.00          0.00         58.34        340.26          0.20        616.72
  0.55          3.44          0.00          0.00         59.60        340.26          0.20        616.39
  0.56          3.40          0.00          0.00         60.85        340.25          0.20        616.06
  0.57          3.35          0.00          0.00         62.12        340.25          0.20        615.73
  0.58          3.30          0.00          0.00         63.39        340.25          0.20        615.40
  0.59          3.25          0.00          0.00         64.67        340.25          0.20        615.07
  0.60          3.20          0.00          0.00         65.95        340.25          0.20        614.74
  0.61          3.15          0.00          0.00         67.24        340.25          0.20        614.40
  0.62          3.10          0.00          0.00         68.54        340.25          0.20        614.06
  0.63          3.04          0.00          0.00         69.84        340.24          0.21        613.72
  0.64          2.98          0.00          0.00         71.15        340.24          0.21        613.38
  0.65          2.93          0.00          0.00         72.47        340.24          0.21        613.04
  0.66          2.87          0.00          0.00         73.79        340.24          0.22        612.70
  0.67          2.81          0.00          0.00         75.12        340.24          0.22        612.35
  0.68          2.74          0.00          0.00         76.46        340.24          0.22        612.01
  0.69          2.68          0.00          0.00         77.80        340.23          0.23        611.66
  0.70          2.61          0.00          0.00         79.15        340.23          0.23        611.31
  0.71          2.55          0.00          0.00         80.50        340.23          0.24        610.96
  0.72          2.48          0.00          0.00         81.87        340.23          0.24        610.61
  0.73          2.41          0.00          0.00         83.24        340.23          0.24        610.26
  0.74          2.34          0.00          0.00         84.61        340.23          0.25        609.90
  0.75          2.27          0.00          0.00         85.99        340.22          0.25        609.55
  0.76          2.20          0.00          0.00         87.38        340.22          0.26        609.19
  0.77          2.12          0.00          0.00         88.78        340.22          0.26        608.83
  0.78          2.05          0.00          0.00         90.18        340.22          0.27        608.47
  0.79          1.98          0.00          0.00         91.59        340.22          0.27        608.11
  0.80          1.90          0.00          0.00         93.01        340.21          0.27        607.75
  0.81          1.82          0.00          0.00         94.43        340.21          0.28        607.38
  0.82          1.75          0.00          0.00         95.86        340.21          0.28        607.02
  0.83          1.67          0.00          0.00         97.30        340.21          0.29        606.65
  0.84          1.59          0.00          0.00         98.74        340.20          0.29        606.28
  0.85          1.51          0.00          0.00        100.19        340.20          0.29        605.91
  0.86          1.43          0.00          0.00        101.64        340.20          0.30        605.54
  0.87          1.35          0.00          0.00        103.11        340.20          0.30        605.17
  0.88          1.27          0.00          0.00        104.58        340.20          0.31        604.79
  0.89          1.19          0.00          0.00        106.05        340.19          0.31        604.42
  0.90          1.11          0.00          0.00        107.54        340.19          0.32        604.04
  0.91          1.03          0.00          0.00        109.03        340.19          0.32        603.66
  0.92          0.95          0.00          0.00        110.52        340.19          0.32        603.28
  0.93          0.86          0.00          0.00        112.03        340.18          0.33        602.90
  0.94          0.78          0.00          0.00        113.54        340.18          0.33        602.52
  0.95          0.70          0.00          0.00        115.06        340.18          0.34        602.14
  0.96          0.62          0.00          0.00        116.58        340.18          0.34        601.75
  0.97          0.54          0.00          0.00        118.11        340.17          0.35        601.36
  0.98          0.46          0.00          0.00        119.65        340.17          0.35        600.98
  0.99          0.38          0.00          0.00        121.20        340.17          0.36        600.59
  1.00          0.30          0.00          0.00        122.75        340.17          0.36        600.19
  1.01          0.22          0.00          0.00        124.30        340.16          0.37        599.80
  1.02          0.14          0.00          0.00        125.86        340.16          0.37        599.41
  1.03          0.06          0.00          0.00        127.43        340.16          0.37        599.02
  1.04          0.01         -0.00          0.05        128.99        340.15          0.38        598.62
  1.05          0.09         -0.00          0.05        130.56        340.15          0.38        598.23
  1.06          0.16         -0.00          0.05        132.13        340.15          0.39        597.84
