     t      mass       XCG       Ixx       Iyy         p    TF_sea TF_vacuum     dm/dt
     s        kg         m    kg-m^2    kg-m^2  kgf/cm^2       kgf       kgf    kg/sec
 27.49    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 27.50    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 27.51    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 27.52    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 27.53    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 27.54    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 27.55    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 27.56    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 27.57    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 27.58    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 27.59    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 27.60    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 27.61    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 27.62    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 27.63    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 27.64    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 27.65    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 27.66    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 27.67    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 27.68    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 27.69    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 27.70    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 27.71    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 27.72    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 27.73    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 27.74    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 27.75    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 27.76    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 27.77    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 27.78    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 27.79    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 27.80    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 27.81    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 27.82    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 27.83    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 27.84    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 27.85    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 27.86    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 27.87    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 27.88    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 27.89    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 27.90    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 27.91    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 27.92    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 27.93    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 27.94    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 27.95    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 27.96    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 27.97    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 27.98    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 27.99    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.00    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.01    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.02    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.03    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.04    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.05    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.06    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.07    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.08    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.09    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.10    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.11    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.12    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.13    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.14    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.15    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.16    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.17    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.18    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.19    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.20    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.21    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.22    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.23    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.24    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.25    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.26    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.27    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.28    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.29    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.30    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.31    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.32    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.33    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.34    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.35    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.36    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.37    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.38    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.39    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.40    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.41    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.42    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.43    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.44    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.45    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.46    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.47    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.48    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.49    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.50    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.51    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.52    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.53    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.54    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.55    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.56    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.57    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.58    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.59    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.60    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.61    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.62    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.63    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.64    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.65    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.66    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.67    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.68    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.69    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.70    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.71    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.72    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.73    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.74    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.75    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.76    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.77    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.78    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.79    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.80    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.81    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.82    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.83    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.84    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.85    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.86    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.87    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.88    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.89    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.90    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.91    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.92    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.93    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.94    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.95    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.96    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.97    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.98    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 28.99    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.00    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.01    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.02    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.03    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.04    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.05    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.06    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.07    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.08    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.09    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.10    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.11    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.12    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.13    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.14    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.15    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.16    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.17    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.18    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.19    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.20    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.21    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.22    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.23    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.24    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.25    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.26    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.27    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.28    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.29    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.30    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.31    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.32    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.33    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.34    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.35    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.36    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.37    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.38    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.39    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.40    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.41    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.42    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.43    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.44    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.45    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.46    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.47    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.48    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.49    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.50    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.51    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.52    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.53    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.54    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.55    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.56    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.57    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.58    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.59    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.60    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.61    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.62    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.63    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.64    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.65    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.66    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.67    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.68    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.69    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.70    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.71    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.72    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.73    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.74    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.75    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.76    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.77    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.78    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.79    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.80    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.81    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.82    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.83    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.84    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.85    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.86    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.87    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.88    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.89    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.90    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.91    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.92    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.93    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.94    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.95    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.96    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.97    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.98    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 29.99    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.00    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.01    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.02    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.03    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.04    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.05    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.06    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.07    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.08    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.09    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.10    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.11    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.12    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.13    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.14    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.15    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.16    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.17    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.18    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.19    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.20    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.21    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.22    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.23    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.24    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.25    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.26    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.27    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.28    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.29    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.30    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.31    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.32    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.33    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.34    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.35    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.36    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.37    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.38    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.39    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.40    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.41    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.42    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.43    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.44    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.45    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.46    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.47    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.48    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.49    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.50    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.51    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.52    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.53    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.54    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.55    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.56    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.57    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.58    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.59    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.60    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.61    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.62    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.63    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.64    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.65    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.66    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.67    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.68    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.69    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.70    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.71    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.72    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.73    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.74    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.75    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.76    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.77    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.78    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.79    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.80    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.81    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.82    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.83    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.84    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.85    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.86    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.87    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.88    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.89    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.90    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.91    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.92    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.93    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.94    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.95    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.96    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.97    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.98    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 30.99    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 31.00    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 31.01    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 31.02    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 31.03    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 31.04    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 31.05    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 31.06    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 31.07    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 31.08    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 31.09    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 31.10    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 31.11    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 31.12    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 31.13    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
 31.14    324.50      2.38      7.50    483.00      0.90   -149.00    120.00      0.30
