  t(s)     Range(km)         H(km)       AF(deg)        V(m/s)            Ma      mass(kg)
  0.84          0.03          0.03          1.50         97.65          0.29        606.28
  0.85          0.03          0.03          1.44         99.09          0.29        605.91
  0.86          0.03          0.03          1.37        100.53          0.30        605.54
  0.87          0.03          0.03          1.31        101.98          0.30        605.17
  0.88          0.03          0.03          1.24        103.43          0.30        604.79
  0.89          0.03          0.03          1.18        104.90          0.31        604.42
  0.90          0.03          0.03          1.11        106.37          0.31        604.04
  0.91          0.03          0.03          1.04        107.84          0.32        603.66
  0.92          0.03          0.03          0.98        109.33          0.32        603.28
  0.93          0.03          0.04          0.91        110.82          0.33        602.90
  0.94          0.03          0.04          0.84        112.31          0.33        602.52
  0.95          0.03          0.04          0.77        113.82          0.33        602.14
  0.96          0.03          0.04          0.70        115.33          0.34        601.75
  0.97          0.04          0.04          0.63        116.85          0.34        601.36
  0.98          0.04          0.04          0.57        118.37          0.35        600.98
  0.99          0.04          0.04          0.50        119.90          0.35        600.59
  1.00          0.04          0.04          0.43        121.44          0.36        600.19
  1.01          0.04          0.04          0.36        122.98          0.36        599.80
  1.02          0.04          0.04          0.30        124.53          0.37        599.41
  1.03          0.04          0.04          0.23        126.08          0.37        599.02
  1.04          0.04          0.04          0.16        127.63          0.38        598.62
  1.05          0.04          0.05          0.10        129.18          0.38        598.23
  1.06          0.04          0.05          0.03        130.74          0.38        597.84
  1.07          0.04          0.05          0.03        132.30          0.39        597.44
  1.08          0.05          0.05          0.09        133.86          0.39        597.05
  1.09          0.05          0.05          0.15        135.42          0.40        596.65
  1.10          0.05          0.05          0.21        136.99          0.40        596.26
  1.11          0.05          0.05          0.27        138.56          0.41        595.86
  1.12          0.05          0.05          0.33        140.13          0.41        595.46
  1.13          0.05          0.05          0.39        141.71          0.42        595.07
  1.14          0.05          0.05          0.44        143.28          0.42        594.67
  1.15          0.05          0.06          0.49        144.86          0.43        594.27
  1.16          0.05          0.06          0.54        146.45          0.43        593.88
  1.17          0.05          0.06          0.59        148.03          0.44        593.48
  1.18          0.06          0.06          0.64        149.62          0.44        593.08
  1.19          0.06          0.06          0.68        151.21          0.44        592.68
  1.20          0.06          0.06          0.72        152.81          0.45        592.28
  1.21          0.06          0.06          0.76        154.40          0.45        591.88
  1.22          0.06          0.06          0.80        156.00          0.46        591.48
  1.23          0.06          0.06          0.83        157.61          0.46        591.08
  1.24          0.06          0.07          0.86        159.21          0.47        590.68
  1.25          0.06          0.07          0.89        160.82          0.47        590.28
  1.26          0.06          0.07          0.92        162.43          0.48        589.88
  1.27          0.07          0.07          0.94        164.04          0.48        589.47
  1.28          0.07          0.07          0.96        165.66          0.49        589.07
  1.29          0.07          0.07          0.97        167.28          0.49        588.67
  1.30          0.07          0.07          0.98        168.90          0.50        588.26
  1.31          0.07          0.07          0.99        170.52          0.50        587.86
  1.32          0.07          0.07          1.00        172.15          0.51        587.46
  1.33          0.07          0.08          1.00        173.78          0.51        587.05
  1.34          0.07          0.08          1.00        175.41          0.52        586.65
  1.35          0.07          0.08          0.99        177.05          0.52        586.24
  1.36          0.08          0.08          0.98        178.69          0.53        585.84
  1.37          0.08          0.08          0.97        180.33          0.53        585.43
  1.38          0.08          0.08          0.95        181.97          0.54        585.02
  1.39          0.08          0.08          0.93        183.62          0.54        584.62
  1.40          0.08          0.08          0.91        185.27          0.54        584.21
  1.41          0.08          0.09          0.89        186.92          0.55        583.80
  1.42          0.08          0.09          0.86        188.57          0.55        583.39
  1.43          0.09          0.09          0.82        190.23          0.56        582.99
  1.44          0.09          0.09          0.79        191.89          0.56        582.58
  1.45          0.09          0.09          0.75        193.56          0.57        582.17
  1.46          0.09          0.09          0.71        195.22          0.57        581.76
  1.47          0.09          0.09          0.67        196.89          0.58        581.35
  1.48          0.09          0.10          0.62        198.56          0.58        580.94
  1.49          0.09          0.10          0.57        200.24          0.59        580.53
  1.50          0.09          0.10          0.52        201.92          0.59        580.12
  1.51          0.10          0.10          0.47        203.60          0.60        579.70
  1.52          0.10          0.10          0.42        205.28          0.60        579.29
  1.53          0.10          0.10          0.37        206.97          0.61        578.88
  1.54          0.10          0.10          0.31        208.65          0.61        578.47
  1.55          0.10          0.11          0.26        210.35          0.62        578.05
  1.56          0.10          0.11          0.20        212.04          0.62        577.64
  1.57          0.11          0.11          0.15        213.74          0.63        577.23
  1.58          0.11          0.11          0.09        215.44          0.63        576.81
  1.59          0.11          0.11          0.04        217.14          0.64        576.40
  1.60          0.11          0.11          0.02        218.85          0.64        575.98
  1.61          0.11          0.11          0.07        220.55          0.65        575.57
  1.62          0.11          0.12          0.12        222.27          0.65        575.15
  1.63          0.11          0.12          0.17        223.98          0.66        574.74
  1.64          0.12          0.12          0.22        225.70          0.66        574.32
  1.65          0.12          0.12          0.26        227.42          0.67        573.90
  1.66          0.12          0.12          0.31        229.14          0.67        573.48
  1.67          0.12          0.12          0.35        230.87          0.68        573.07
  1.68          0.12          0.13          0.38        232.59          0.68        572.65
  1.69          0.12          0.13          0.42        234.32          0.69        572.23
  1.70          0.13          0.13          0.45        236.06          0.69        571.81
  1.71          0.13          0.13          0.47        237.80          0.70        571.39
  1.72          0.13          0.13          0.49        239.53          0.70        570.97
  1.73          0.13          0.13          0.51        241.28          0.71        570.55
  1.74          0.13          0.14          0.53        243.02          0.72        570.13
  1.75          0.13          0.14          0.54        244.77          0.72        569.71
  1.76          0.14          0.14          0.54        246.52          0.73        569.29
  1.77          0.14          0.14          0.54        248.27          0.73        568.87
  1.78          0.14          0.14          0.54        250.03          0.74        568.45
  1.79          0.14          0.14          0.53        251.79          0.74        568.02
  1.80          0.14          0.15          0.52        253.55          0.75        567.60
  1.81          0.15          0.15          0.51        255.32          0.75        567.18
  1.82          0.15          0.15          0.49        257.09          0.76        566.75
  1.83          0.15          0.15          0.46        258.86          0.76        566.33
  1.84          0.15          0.15          0.44        260.63          0.77        565.91
  1.85          0.15          0.15          0.41        262.41          0.77        565.48
  1.86          0.15          0.16          0.37        264.19          0.78        565.06
  1.87          0.16          0.16          0.34        265.97          0.78        564.63
  1.88          0.16          0.16          0.30        267.75          0.79        564.20
  1.89          0.16          0.16          0.26        269.54          0.79        563.78
  1.90          0.16          0.16          0.22        271.33          0.80        563.35
  1.91          0.16          0.17          0.17        273.13          0.80        562.92
  1.92          0.17          0.17          0.13        274.92          0.81        562.50
  1.93          0.17          0.17          0.09        276.72          0.81        562.07
  1.94          0.17          0.17          0.05        278.52          0.82        561.64
  1.95          0.17          0.17          0.00        280.33          0.83        561.21
  1.96          0.17          0.18          0.04        282.13          0.83        560.78
  1.97          0.18          0.18          0.07        283.94          0.84        560.35
  1.98          0.18          0.18          0.11        285.75          0.84        559.92
  1.99          0.18          0.18          0.14        287.57          0.85        559.49
  2.00          0.18          0.18          0.17        289.38          0.85        559.06
  2.01          0.18          0.19          0.20        291.20          0.86        558.63
  2.02          0.19          0.19          0.23        293.03          0.86        558.20
  2.03          0.19          0.19          0.25        294.85          0.87        557.77
  2.04          0.19          0.19          0.27        296.68          0.87        557.34
  2.05          0.19          0.19          0.28        298.51          0.88        556.90
  2.06          0.20          0.20          0.29        300.34          0.88        556.47
  2.07          0.20          0.20          0.30        302.18          0.89        556.04
  2.08          0.20          0.20          0.30        304.02          0.90        555.60
  2.09          0.20          0.20          0.30        305.86          0.90        555.17
  2.10          0.20          0.20          0.30        307.70          0.91        554.73
  2.11          0.21          0.21          0.29        309.55          0.91        554.30
  2.12          0.21          0.21          0.28        311.40          0.92        553.86
  2.13          0.21          0.21          0.26        313.25          0.92        553.42
  2.14          0.21          0.21          0.24        315.10          0.93        552.99
  2.15          0.22          0.21          0.22        316.96          0.93        552.55
  2.16          0.22          0.22          0.20        318.82          0.94        552.11
  2.17          0.22          0.22          0.18        320.68          0.94        551.67
  2.18          0.22          0.22          0.15        322.54          0.95        551.23
  2.19          0.23          0.22          0.13        324.41          0.96        550.79
  2.20          0.23          0.23          0.10        326.28          0.96        550.35
  2.21          0.23          0.23          0.07        328.15          0.97        549.91
  2.22          0.23          0.23          0.04        330.03          0.97        549.47
  2.23          0.23          0.23          0.01        331.91          0.98        549.03
  2.24          0.24          0.24          0.02        333.79          0.98        548.59
  2.25          0.24          0.24          0.04        335.67          0.99        548.15
  2.26          0.24          0.24          0.07        337.55          0.99        547.71
  2.27          0.24          0.24          0.09        339.44          1.00        547.26
  2.28          0.25          0.24          0.11        341.33          1.01        546.82
  2.29          0.25          0.25          0.13        343.22          1.01        546.37
  2.30          0.25          0.25          0.15        345.12          1.02        545.93
  2.31          0.25          0.25          0.17        347.02          1.02        545.49
  2.32          0.26          0.25          0.18        348.92          1.03        545.04
  2.33          0.26          0.26          0.19        350.82          1.03        544.59
  2.34          0.26          0.26          0.20        352.72          1.04        544.15
  2.35          0.26          0.26          0.20        354.63          1.05        543.70
  2.36          0.27          0.26          0.20        356.54          1.05        543.25
  2.37          0.27          0.27          0.20        358.45          1.06        542.81
  2.38          0.27          0.27          0.20        360.37          1.06        542.36
  2.39          0.27          0.27          0.19        362.28          1.07        541.91
  2.40          0.28          0.27          0.18        364.20          1.07        541.46
  2.41          0.28          0.28          0.17        366.12          1.08        541.01
  2.42          0.28          0.28          0.16        368.05          1.08        540.56
  2.43          0.29          0.28          0.15        369.97          1.09        540.11
  2.44          0.29          0.28          0.13        371.90          1.10        539.66
  2.45          0.29          0.29          0.11        373.83          1.10        539.21
  2.46          0.29          0.29          0.09        375.76          1.11        538.76
  2.47          0.30          0.29          0.07        377.70          1.11        538.30
  2.48          0.30          0.29          0.05        379.63          1.12        537.85
  2.49          0.30          0.30          0.03        381.57          1.13        537.40
  2.50          0.30          0.30          0.01        383.51          1.13        536.94
  2.51          0.31          0.30          0.01        385.46          1.14        536.49
  2.52          0.31          0.30          0.02        387.40          1.14        536.04
  2.53          0.31          0.31          0.04        389.35          1.15        535.58
  2.54          0.32          0.31          0.06        391.30          1.15        535.13
  2.55          0.32          0.31          0.07        393.25          1.16        534.67
  2.56          0.32          0.31          0.08        395.21          1.17        534.21
  2.57          0.32          0.32          0.09        397.16          1.17        533.76
  2.58          0.33          0.32          0.10        399.12          1.18        533.30
  2.59          0.33          0.32          0.11        401.08          1.18        532.84
  2.60          0.33          0.33          0.11        403.04          1.19        532.38
  2.61          0.34          0.33          0.11        405.01          1.19        531.92
  2.62          0.34          0.33          0.11        406.97          1.20        531.46
  2.63          0.34          0.33          0.11        408.94          1.21        531.01
  2.64          0.35          0.34          0.11        410.91          1.21        530.55
  2.65          0.35          0.34          0.10        412.89          1.22        530.08
  2.66          0.35          0.34          0.10        414.87          1.22        529.62
  2.67          0.35          0.35          0.09        416.85          1.23        529.16
  2.68          0.36          0.35          0.08        418.83          1.24        528.70
  2.69          0.36          0.35          0.07        420.82          1.24        528.24
  2.70          0.36          0.35          0.05        422.82          1.25        527.77
  2.71          0.37          0.36          0.04        424.81          1.25        527.31
  2.72          0.37          0.36          0.03        426.81          1.26        526.85
  2.73          0.37          0.36          0.01        428.81          1.27        526.38
  2.74          0.38          0.37          0.00        430.82          1.27        525.92
  2.75          0.38          0.37          0.01        432.83          1.28        525.45
  2.76          0.38          0.37          0.03        434.84          1.28        524.99
  2.77          0.39          0.37          0.04        436.85          1.29        524.52
  2.78          0.39          0.38          0.05        438.87          1.30        524.06
  2.79          0.39          0.38          0.06        440.90          1.30        523.59
  2.80          0.40          0.38          0.07        442.92          1.31        523.12
  2.81          0.40          0.39          0.08        444.95          1.31        522.65
  2.82          0.40          0.39          0.08        446.98          1.32        522.18
  2.83          0.41          0.39          0.09        449.02          1.33        521.72
  2.84          0.41          0.40          0.09        451.06          1.33        521.25
  2.85          0.41          0.40          0.09        453.10          1.34        520.78
  2.86          0.42          0.40          0.09        455.15          1.34        520.31
  2.87          0.42          0.40          0.09        457.20          1.35        519.84
  2.88          0.42          0.41          0.09        459.26          1.36        519.36
  2.89          0.43          0.41          0.09        461.31          1.36        518.89
  2.90          0.43          0.41          0.09        463.38          1.37        518.42
  2.91          0.43          0.42          0.08        465.44          1.37        517.95
  2.92          0.44          0.42          0.07        467.51          1.38        517.47
  2.93          0.44          0.42          0.07        469.58          1.39        517.00
  2.94          0.44          0.43          0.06        471.66          1.39        516.53
  2.95          0.45          0.43          0.05        473.74          1.40        516.05
  2.96          0.45          0.43          0.04        475.82          1.41        515.58
  2.97          0.45          0.44          0.03        477.91          1.41        515.10
  2.98          0.46          0.44          0.03        480.00          1.42        514.63
  2.99          0.46          0.44          0.02        482.09          1.42        514.15
  3.00          0.46          0.45          0.01        484.19          1.43        513.67
  3.01          0.47          0.45          0.00        486.29          1.44        513.20
  3.02          0.47          0.45          0.01        488.37          1.44        512.72
  3.03          0.47          0.46          0.02        490.45          1.45        512.25
  3.04          0.48          0.46          0.02        492.52          1.45        511.78
  3.05          0.48          0.46          0.03        494.58          1.46        511.31
  3.06          0.49          0.47          0.04        496.63          1.47        510.85
  3.07          0.49          0.47          0.04        498.67          1.47        510.38
  3.08          0.49          0.47          0.05        500.70          1.48        509.92
  3.09          0.50          0.48          0.05        502.73          1.49        509.46
  3.10          0.50          0.48          0.05        504.74          1.49        509.00
  3.11          0.50          0.48          0.05        506.75          1.50        508.55
  3.12          0.51          0.49          0.05        508.75          1.50        508.09
  3.13          0.51          0.49          0.05        510.73          1.51        507.64
  3.14          0.51          0.49          0.05        512.71          1.52        507.19
  3.15          0.52          0.50          0.05        514.68          1.52        506.75
  3.16          0.52          0.50          0.05        516.64          1.53        506.30
  3.17          0.53          0.50          0.05        518.59          1.53        505.86
  3.18          0.53          0.51          0.04        520.53          1.54        505.41
  3.19          0.53          0.51          0.04        522.46          1.54        504.97
  3.20          0.54          0.51          0.04        524.38          1.55        504.54
  3.21          0.54          0.52          0.03        526.29          1.56        504.10
  3.22          0.55          0.52          0.03        528.20          1.56        503.67
  3.23          0.55          0.53          0.02        530.09          1.57        503.23
  3.24          0.55          0.53          0.02        531.97          1.57        502.81
  3.25          0.56          0.53          0.01        533.84          1.58        502.38
  3.26          0.56          0.54          0.00        535.71          1.58        501.95
  3.27          0.57          0.54          0.00        537.56          1.59        501.53
  3.28          0.57          0.54          0.01        539.40          1.59        501.11
  3.29          0.57          0.55          0.01        541.24          1.60        500.69
  3.30          0.58          0.55          0.02        543.06          1.61        500.27
  3.31          0.58          0.55          0.02        544.88          1.61        499.85
  3.32          0.59          0.56          0.03        546.68          1.62        499.44
  3.33          0.59          0.56          0.03        548.48          1.62        499.03
  3.34          0.59          0.57          0.04        550.26          1.63        498.62
  3.35          0.60          0.57          0.04        552.04          1.63        498.21
  3.36          0.60          0.57          0.04        553.80          1.64        497.81
  3.37          0.61          0.58          0.04        555.56          1.64        497.40
  3.38          0.61          0.58          0.05        557.30          1.65        497.00
  3.39          0.61          0.58          0.05        559.04          1.65        496.60
  3.40          0.62          0.59          0.05        560.77          1.66        496.20
  3.41          0.62          0.59          0.05        562.48          1.66        495.81
  3.42          0.63          0.60          0.05        564.19          1.67        495.41
  3.43          0.63          0.60          0.05        565.88          1.67        495.02
  3.44          0.63          0.60          0.05        567.57          1.68        494.63
  3.45          0.64          0.61          0.05        569.24          1.68        494.25
  3.46          0.64          0.61          0.04        570.91          1.69        493.86
  3.47          0.65          0.61          0.04        572.57          1.69        493.48
  3.48          0.65          0.62          0.04        574.21          1.70        493.10
  3.49          0.66          0.62          0.04        575.85          1.70        492.72
  3.50          0.66          0.63          0.03        577.47          1.71        492.34
  3.51          0.66          0.63          0.03        579.09          1.71        491.96
  3.52          0.67          0.63          0.03        580.69          1.72        491.59
  3.53          0.67          0.64          0.02        582.29          1.72        491.22
  3.54          0.68          0.64          0.02        583.87          1.73        490.85
  3.55          0.68          0.65          0.02        585.45          1.73        490.48
  3.56          0.69          0.65          0.01        587.01          1.74        490.12
  3.57          0.69          0.65          0.01        588.57          1.74        489.75
  3.58          0.69          0.66          0.00        590.11          1.75        489.39
  3.59          0.70          0.66          0.00        591.64          1.75        489.03
  3.60          0.70          0.67          0.00        593.17          1.76        488.67
  3.61          0.71          0.67          0.01        594.68          1.76        488.32
  3.62          0.71          0.67          0.01        596.18          1.77        487.97
  3.63          0.72          0.68          0.01        597.67          1.77        487.61
  3.64          0.72          0.68          0.01        599.16          1.77        487.26
  3.65          0.73          0.69          0.02        600.63          1.78        486.92
  3.66          0.73          0.69          0.02        602.09          1.78        486.57
  3.67          0.73          0.69          0.02        603.54          1.79        486.23
  3.68          0.74          0.70          0.02        604.98          1.79        485.89
  3.69          0.74          0.70          0.02        606.41          1.80        485.55
  3.70          0.75          0.71          0.02        607.83          1.80        485.21
  3.71          0.75          0.71          0.02        609.24          1.80        484.88
  3.72          0.76          0.71          0.02        610.64          1.81        484.54
  3.73          0.76          0.72          0.02        612.03          1.81        484.21
  3.74          0.77          0.72          0.02        613.41          1.82        483.88
  3.75          0.77          0.73          0.02        614.77          1.82        483.56
  3.76          0.78          0.73          0.02        616.13          1.83        483.23
  3.77          0.78          0.73          0.01        617.48          1.83        482.91
  3.78          0.78          0.74          0.01        618.81          1.83        482.59
  3.79          0.79          0.74          0.01        620.14          1.84        482.27
  3.80          0.79          0.75          0.01        621.45          1.84        481.95
  3.81          0.80          0.75          0.01        622.76          1.85        481.63
  3.82          0.80          0.76          0.00        624.05          1.85        481.32
  3.83          0.81          0.76          0.00        625.33          1.85        481.01
  3.84          0.81          0.76          0.00        626.61          1.86        480.70
  3.85          0.82          0.77          0.00        627.87          1.86        480.39
  3.86          0.82          0.77          0.01        629.12          1.87        480.09
  3.87          0.83          0.78          0.01        630.36          1.87        479.79
  3.88          0.83          0.78          0.01        631.59          1.87        479.48
  3.89          0.84          0.79          0.01        632.81          1.88        479.19
  3.90          0.84          0.79          0.02        634.02          1.88        478.89
  3.91          0.84          0.79          0.02        635.22          1.88        478.59
  3.92          0.85          0.80          0.02        636.40          1.89        478.30
  3.93          0.85          0.80          0.02        637.58          1.89        478.01
  3.94          0.86          0.81          0.02        638.74          1.89        477.72
  3.95          0.86          0.81          0.02        639.90          1.90        477.43
  3.96          0.87          0.81          0.03        641.04          1.90        477.15
  3.97          0.87          0.82          0.03        642.18          1.90        476.87
  3.98          0.88          0.82          0.03        643.30          1.91        476.58
  3.99          0.88          0.83          0.03        644.41          1.91        476.31
  4.00          0.89          0.83          0.03        645.51          1.91        476.03
  4.01          0.89          0.84          0.03        646.60          1.92        475.75
  4.02          0.90          0.84          0.03        647.68          1.92        475.48
  4.03          0.90          0.85          0.03        648.76          1.92        475.21
  4.04          0.91          0.85          0.03        649.83          1.93        474.94
  4.05          0.91          0.85          0.03        650.89          1.93        474.67
  4.06          0.92          0.86          0.03        651.94          1.93        474.40
  4.07          0.92          0.86          0.03        652.98          1.94        474.13
  4.08          0.93          0.87          0.02        654.01          1.94        473.87
  4.09          0.93          0.87          0.02        655.04          1.94        473.61
  4.10          0.94          0.88          0.02        656.06          1.95        473.35
  4.11          0.94          0.88          0.02        657.06          1.95        473.09
  4.12          0.95          0.88          0.02        658.07          1.95        472.83
  4.13          0.95          0.89          0.02        659.06          1.96        472.57
  4.14          0.96          0.89          0.02        660.04          1.96        472.32
  4.15          0.96          0.90          0.02        661.02          1.96        472.06
  4.16          0.97          0.90          0.01        661.99          1.97        471.81
  4.17          0.97          0.91          0.01        662.95          1.97        471.56
  4.18          0.98          0.91          0.01        663.90          1.97        471.31
  4.19          0.98          0.92          0.01        664.84          1.97        471.06
  4.20          0.99          0.92          0.01        665.78          1.98        470.82
  4.21          0.99          0.92          0.01        666.70          1.98        470.57
  4.22          1.00          0.93          0.01        667.62          1.98        470.33
  4.23          1.00          0.93          0.00        668.53          1.99        470.09
  4.24          1.01          0.94          0.00        669.44          1.99        469.85
  4.25          1.01          0.94          0.00        670.33          1.99        469.61
  4.26          1.02          0.95          0.00        671.21          1.99        469.37
  4.27          1.02          0.95          0.00        672.09          2.00        469.14
  4.28          1.03          0.96          0.00        672.96          2.00        468.90
  4.29          1.03          0.96          0.00        673.82          2.00        468.67
  4.30          1.04          0.96          0.00        674.67          2.00        468.44
  4.31          1.04          0.97          0.00        675.51          2.01        468.21
  4.32          1.05          0.97          0.00        676.35          2.01        467.98
  4.33          1.05          0.98          0.00        677.17          2.01        467.76
  4.34          1.06          0.98          0.00        677.99          2.01        467.53
  4.35          1.06          0.99          0.00        678.80          2.02        467.31
  4.36          1.07          0.99          0.00        679.60          2.02        467.09
  4.37          1.07          1.00          0.00        680.40          2.02        466.87
  4.38          1.08          1.00          0.00        681.18          2.02        466.65
  4.39          1.08          1.01          0.00        681.95          2.03        466.43
  4.40          1.09          1.01          0.00        682.72          2.03        466.21
  4.41          1.09          1.01          0.00        683.48          2.03        466.00
  4.42          1.10          1.02          0.00        684.23          2.03        465.79
  4.43          1.10          1.02          0.00        684.97          2.04        465.58
  4.44          1.11          1.03          0.00        685.70          2.04        465.37
  4.45          1.11          1.03          0.00        686.43          2.04        465.16
  4.46          1.12          1.04          0.00        687.14          2.04        464.95
  4.47          1.12          1.04          0.01        687.85          2.05        464.75
  4.48          1.13          1.05          0.01        688.55          2.05        464.55
  4.49          1.13          1.05          0.01        689.24          2.05        464.34
  4.50          1.14          1.06          0.01        689.92          2.05        464.14
  4.51          1.14          1.06          0.01        690.59          2.05        463.94
  4.52          1.15          1.06          0.01        691.26          2.06        463.75
  4.53          1.15          1.07          0.01        691.91          2.06        463.55
  4.54          1.16          1.07          0.01        692.56          2.06        463.36
  4.55          1.16          1.08          0.01        693.20          2.06        463.16
  4.56          1.17          1.08          0.01        693.83          2.06        462.97
  4.57          1.17          1.09          0.01        694.45          2.07        462.78
  4.58          1.18          1.09          0.01        695.06          2.07        462.60
  4.59          1.18          1.10          0.02        695.67          2.07        462.41
  4.60          1.19          1.10          0.02        696.26          2.07        462.22
  4.61          1.19          1.11          0.02        696.85          2.07        462.04
  4.62          1.20          1.11          0.02        697.43          2.08        461.86
  4.63          1.20          1.12          0.02        698.00          2.08        461.68
  4.64          1.21          1.12          0.02        698.56          2.08        461.50
  4.65          1.22          1.12          0.02        699.11          2.08        461.32
  4.66          1.22          1.13          0.02        699.66          2.08        461.15
  4.67          1.23          1.13          0.02        700.19          2.08        460.97
  4.68          1.23          1.14          0.02        700.72          2.09        460.80
  4.69          1.24          1.14          0.02        701.24          2.09        460.63
  4.70          1.24          1.15          0.02        701.75          2.09        460.46
  4.71          1.25          1.15          0.02        702.25          2.09        460.29
  4.72          1.25          1.16          0.02        702.74          2.09        460.12
  4.73          1.26          1.16          0.02        703.22          2.09        459.96
  4.74          1.26          1.17          0.02        703.70          2.10        459.80
  4.75          1.27          1.17          0.02        704.16          2.10        459.63
  4.76          1.27          1.18          0.02        704.62          2.10        459.47
  4.77          1.28          1.18          0.02        705.07          2.10        459.31
  4.78          1.28          1.18          0.02        705.51          2.10        459.16
