  t(s)     Range(km)         H(km)       AF(deg)        V(m/s)            Ma      mass(kg)
  0.00          0.00          0.00          0.00          0.00          0.00        632.30
  0.01          0.00          0.00          3.99          0.91          0.20        632.05
  0.02          0.00          0.00          3.97          1.82          0.20        631.80
  0.03          0.00          0.00          3.96          2.74          0.20        631.54
  0.04          0.00          0.00          3.95          3.66          0.20        631.29
  0.05          0.00          0.00          3.93          4.59          0.20        631.03
  0.06          0.00          0.00          3.92          5.53          0.20        630.77
  0.07          0.00          0.00          3.91          6.47          0.20        630.51
  0.08          0.00          0.00          3.90          7.42          0.20        630.25
  0.09          0.00          0.00          3.88          8.37          0.20        629.99
  0.10          0.00          0.00          3.87          9.33          0.20        629.73
  0.11          0.00          0.00          3.86         10.30          0.20        629.46
  0.12          0.00          0.00          3.84         11.27          0.20        629.19
  0.13          0.00          0.00          3.83         12.25          0.20        628.93
  0.14          0.00          0.00          3.82         13.24          0.20        628.66
  0.15          0.00          0.00          3.80         14.23          0.20        628.39
  0.16          0.00          0.00          3.79         15.22          0.20        628.11
  0.17          0.00          0.00          3.78         16.23          0.20        627.84
  0.18          0.00          0.00          3.76         17.23          0.20        627.57
  0.19          0.00          0.00          3.75         18.25          0.20        627.29
  0.20          0.00          0.00          3.73         19.27          0.20        627.01
  0.21          0.00          0.00          3.72         20.30          0.20        626.73
  0.22          0.00          0.00          3.71         21.33          0.20        626.45
  0.23          0.00          0.00          3.69         22.37          0.20        626.17
  0.24          0.00          0.00          3.68         23.41          0.20        625.89
  0.25          0.00          0.00          3.66         24.46          0.20        625.60
  0.26          0.00          0.00          3.65         25.52          0.20        625.31
  0.27          0.00          0.00          3.63         26.59          0.20        625.03
  0.28          0.00          0.00          3.61         27.66          0.20        624.74
  0.29          0.00          0.00          3.60         28.73          0.20        624.45
  0.30          0.00          0.00          3.58         29.81          0.20        624.15
  0.31          0.00          0.00          3.56         30.90          0.20        623.86
  0.32          0.00          0.00          3.55         32.00          0.20        623.57
  0.33          0.00          0.00          3.53         33.10          0.20        623.27
  0.34          0.00          0.00          3.51         34.20          0.20        622.97
  0.35          0.00          0.01          3.49         35.32          0.20        622.67
  0.36          0.00          0.01          3.47         36.43          0.20        622.37
  0.37          0.00          0.01          3.45         37.56          0.20        622.07
  0.38          0.00          0.01          3.43         38.69          0.20        621.77
  0.39          0.01          0.01          3.41         39.83          0.20        621.46
  0.40          0.01          0.01          3.39         40.97          0.20        621.16
  0.41          0.01          0.01          3.37         42.12          0.20        620.85
  0.42          0.01          0.01          3.34         43.28          0.20        620.54
  0.43          0.01          0.01          3.32         44.44          0.20        620.23
  0.44          0.01          0.01          3.30         45.61          0.20        619.92
  0.45          0.01          0.01          3.27         46.79          0.20        619.60
  0.46          0.01          0.01          3.24         47.97          0.20        619.29
  0.47          0.01          0.01          3.22         49.16          0.20        618.97
  0.48          0.01          0.01          3.19         50.35          0.20        618.66
  0.49          0.01          0.01          3.16         51.55          0.20        618.34
  0.50          0.01          0.01          3.13         52.76          0.20        618.02
  0.51          0.01          0.01          3.10         53.97          0.20        617.69
  0.52          0.01          0.01          3.07         55.19          0.20        617.37
  0.53          0.01          0.01          3.04         56.42          0.20        617.05
  0.54          0.01          0.01          3.00         57.65          0.20        616.72
  0.55          0.01          0.01          2.97         58.89          0.20        616.39
  0.56          0.01          0.01          2.93         60.13          0.20        616.06
  0.57          0.01          0.01          2.89         61.39          0.20        615.73
  0.58          0.01          0.01          2.86         62.64          0.20        615.40
  0.59          0.01          0.01          2.82         63.91          0.20        615.07
  0.60          0.01          0.01          2.78         65.18          0.20        614.74
  0.61          0.01          0.01          2.74         66.46          0.20        614.40
  0.62          0.01          0.02          2.69         67.74          0.20        614.06
  0.63          0.01          0.02          2.65         69.03          0.20        613.72
  0.64          0.01          0.02          2.61         70.33          0.21        613.38
  0.65          0.02          0.02          2.56         71.63          0.21        613.04
  0.66          0.02          0.02          2.51         72.94          0.21        612.70
  0.67          0.02          0.02          2.47         74.26          0.22        612.35
  0.68          0.02          0.02          2.42         75.58          0.22        612.01
  0.69          0.02          0.02          2.37         76.91          0.23        611.66
  0.70          0.02          0.02          2.32         78.25          0.23        611.31
  0.71          0.02          0.02          2.26         79.59          0.23        610.96
  0.72          0.02          0.02          2.21         80.94          0.24        610.61
  0.73          0.02          0.02          2.16         82.30          0.24        610.26
  0.74          0.02          0.02          2.10         83.66          0.25        609.90
  0.75          0.02          0.02          2.04         85.03          0.25        609.55
  0.76          0.02          0.02          1.99         86.40          0.25        609.19
  0.77          0.02          0.02          1.93         87.79          0.26        608.83
  0.78          0.02          0.02          1.87         89.17          0.26        608.47
  0.79          0.02          0.02          1.81         90.57          0.27        608.11
  0.80          0.02          0.03          1.75         91.97          0.27        607.75
  0.81          0.02          0.03          1.69         93.38          0.27        607.38
  0.82          0.02          0.03          1.63         94.80          0.28        607.02
  0.83          0.03          0.03          1.57         96.22          0.28        606.65
